gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
0.0,0.0,0.0,0.0,-1.9999999993140536e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,1.664791901161944e-14,-1.6647919007795053e-06,0.0,-4.700000000301685e-08,-7.453318329186942e-08
0.0,0.0,0.0,0.0,3.32958379967691e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-6.906636668135846e-08
0.0,0.0,0.0,0.0,1.0056242971033064e-14,0.0,0.0,-4.700000000301685e-08,-6.35995500708475e-08
0.0,0.0,0.0,0.0,1.9999999993140536e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,1.6760404934075253e-14,-1.6760404957238961e-06,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,1.1248594892559148e-16,-1.1248593168033949e-08,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,1.653543306269385e-14,-1.6535433076114714e-06,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,3.318335207431329e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-6.373453315111632e-08
0.0,0.0,0.0,0.0,3.999999998628107e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-6.920134987264959e-08
0.0,0.0,0.0,0.0,2.704161977648972e-14,-1.3520809893918795e-06,0.0,-4.700000000301685e-08,-7.466816648316055e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-7.154105732274776e-15,3.5770528761247533e-07,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,1.3858267721786745e-14,-6.929133853361691e-07,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-3.36332958170761e-14,1.3633295843362703e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-1.6985376831926436e-14,0.0,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,3.9662542165974077e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,7.379077603656179e-15,-3.689538807805093e-07,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-3.999999998628107e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,9.606299201800477e-15,-9.606299222753023e-07,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.973003368633158e-08
0.0,0.0,0.0,0.0,1.7097862754382248e-14,-1.7097862770043548e-06,0.0,-4.700000000301685e-08,-7.426321707582062e-08
0.0,0.0,0.0,0.0,4.499437692325863e-16,-4.4994376224849475e-08,0.0,-4.700000000301685e-08,-6.879640046530966e-08
0.0,0.0,0.0,0.0,3.239595048477371e-14,-1.6197975263310127e-06,0.0,-4.700000000301685e-08,-6.332958379928755e-08
0.0,0.0,0.0,0.0,1.430821146454955e-14,-7.154105734485938e-07,3.20584925272982e-09,-4.700000000301685e-08,-6.213723280357186e-08
0.0,0.0,0.0,0.0,0.0,0.0,1.1406074251762988e-08,-4.700000000301685e-08,-6.760404946959397e-08
0.0,0.0,0.0,0.0,6.141732271353791e-15,-6.141732278308609e-07,1.9606299250796155e-08,-4.700000000301685e-08,-7.307086608010493e-08
0.0,0.0,0.0,0.0,0.0,0.0,2.780652413880702e-08,-4.700000000301685e-08,-7.85376828016382e-08
0.0,0.0,0.0,0.0,1.9999999993140536e-14,-2.000000000279556e-06,2.399325083057846e-08,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-3.608548931307158e-14,1.608548931386622e-06,1.5793025831545293e-08,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-7.266591681200367e-15,7.266591683929846e-07,7.592800832512125e-09,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,2.938132732355961e-14,-2.000000000279556e-06,1.2148481109974796e-09,-4.6048368902706915e-08,-8.080989877257139e-08
0.0,0.0,0.0,0.0,3.397075363738309e-14,-2.000000000279556e-06,1.7615298109063815e-08,-3.3201349801392777e-08,-9.174353210461561e-08
0.0,0.0,0.0,0.0,1.732283465223343e-14,-1.7322834651167796e-06,3.4015748051619e-08,-2.0354330700078638e-08,-1.0267716538114868e-07
0.0,0.0,0.0,0.0,-2.883259325084363e-09,0.1651989325084351,5.041619793866303e-08,-7.507311501619984e-09,-1.1361079865768176e-07
0.0,0.0,0.0,0.0,-7.438058053993257e-09,0.42616940269966186,5.848818898090968e-07,5.146569179020899e-07,-3.9039370075544255e-07
0.0,0.0,0.0,0.0,-6.476922620922393e-09,0.3710989999999992,1.8477165354413572e-06,1.7528908886968453e-06,-1.0409448819026501e-06
0.00079894846,-0.00079894846,-1.3944281e-11,0.0,4.5967926884139424e-10,-0.026339000000000112,3.1105511811291287e-06,2.991124859401395e-06,-1.6914960629943465e-06
0.0010652647,-0.0010652647,-1.8592374e-11,0.0,1.1491681664791971e-09,-0.06584240832396127,4.3733858268169e-06,4.229358830203089e-06,-2.342047244086043e-06
0.0010652647,-0.0013315806,-1.1780615e-10,0.0,1.3789500000000059e-09,-0.07900700000000072,8.881574803110137e-06,7.702292463503124e-06,-4.739460067459955e-06
0.0013315806,-0.001864213,-1.0346094e-10,0.0,1.5043099999999977e-09,-0.08619000000000021,1.44303937008039e-05,1.1891787401602238e-05,-7.697007874063466e-06
0.001864213,-0.002396845,5.2732905e-11,0.0,1.608790000000004e-09,-0.09217700000000129,1.9997216429090692e-05,1.610123658533219e-05,-1.065755631890486e-05
0.0021305294,-0.0031957938,-3.3947445e-10,0.0,1.7341400000000124e-09,-0.0993580000000005,2.635912260967599e-05,2.0360560180010534e-05,-1.4080877390298951e-05
0.001864213,-0.0039947424,-9.208128e-10,0.0,2.6212276602924476e-09,-0.1501852395950518,3.988773903257359e-05,2.4976982002232473e-05,-2.171226096731038e-05
0.0013315806,-0.004527375,-1.1192408e-09,0.0,5.02735393700785e-09,-0.28804657255343,5.3612602681329946e-05,2.9766602590214353e-05,-2.9449533335390576e-05
0.0010652647,-0.005060006,-7.26632e-10,0.0,9.009071777277843e-09,-0.5161825736782895,6.783307086605239e-05,3.4993620922407764e-05,-3.745421822271e-05
0.0010652647,-0.0055926396,-2.8674155e-10,0.0,1.2240485219347594e-08,-0.7013287986501684,8.600293588301167e-05,4.004270753649175e-05,-4.780195725528902e-05
0.0010652647,-0.007190536,-4.0919565e-10,0.0,1.1704586456692893e-08,-0.6706231181102371,0.00010824362204714388,4.402811811028001e-05,-6.061574803151171e-05
0.00079894846,-0.007456852,-8.6303087e-10,0.0,9.284928425196825e-09,-0.5319870697412821,0.0001310133137749636,4.804961095069421e-05,-7.373642233904354e-05
0.0,-0.008255801,-8.769752e-10,0.0,6.526315838020245e-09,-0.3739293239595032,0.00015579773903257044,5.2208524184499394e-05,-8.802587176603982e-05
0.0,-0.0085221175,-1.48739e-10,0.0,4.273419977502821e-09,-0.24484665916760306,0.00018470107986501283,5.43866344207139e-05,-0.00010486373453322262
0.0,-0.008553272597502814,-1.4928275896962882e-10,0.0,2.7955427334083216e-09,-0.1601733948256463,0.00021432340832394647,5.598287739036478e-05,-0.0001221630371203708
0.0,-0.008774953098965131,-1.5315181317660295e-10,0.0,1.936434105736775e-09,-0.110948704161979,0.00024394573678293563,5.757912035994628e-05,-0.0001394623397075745
0.0,-0.00920483349176603,-1.6065464165804275e-10,-0.0011971011,1.3877110573678436e-09,-0.07950966479190136,0.000274700917216375,5.65630725685648e-05,-0.00015761942966602271
-0.00026631617,-0.009648194360944884,-9.249184495669291e-10,-0.0035913025,1.0050053543307097e-09,-0.05758429921259811,0.0003052675590551335,5.024870866141007e-05,-0.00017607527559054814
-0.00079894834,-0.010210482509561308,-1.691258054008999e-09,-0.0047884034,5.997972440944841e-10,-0.03436582789651155,0.00033584912260969935,4.3910328458914016e-05,-0.00019454161979759466
-0.0021305294,-0.00985369628841395,-4.433346748605174e-09,-0.0047884043,2.396057705286707e-10,-0.013726847019123412,0.0003660173276989753,3.745877134957165e-05,-0.00021277212537618162
-0.0029294777,-0.009587380999999999,-4.659201745e-09,-0.0047884043,-1.1375789651294814e-10,0.006519001124861035,0.00039416580427453773,2.8843579302592626e-05,-0.0002299625871765576
-0.0031957938,-0.008788431999999999,-7.207813450000001e-10,-0.0047884043,-1.936432845894221e-10,0.01109574690663706,0.0004206240382452209,1.791265691791083e-05,-0.0002463178852643022
-0.0031957938,-0.008315414742744656,-4.288288976434196e-10,-0.0047884043,-3.6176035995500525e-10,0.020725213723284952,0.000447082272215904,6.981734533222095e-06,-0.00026267318335215784
-0.0029294777,-0.007665351422159728,1.4991151070753657e-10,-0.0047884043,-4.4418985376826e-10,0.025449422947131595,0.00047309445626730895,-3.965174596380627e-06,-0.000278771904052455
-0.0021305294,-0.006274155878740157,-3.858136918110236e-11,-0.0047884043,-3.711329921259849e-10,0.021264625984251495,0.0004921467716535455,-1.2470314960641438e-05,-0.00029060204724401517
-0.001864213,-0.005326323354668166,1.1981087745331835e-10,-0.0047884043,-3.362230933633319e-10,0.019263755905511104,0.0005093775140607715,-2.0395399325107144e-05,-0.000301320809898753
-0.0013315806,-0.0050600071,5.02721676e-10,-0.0047884043,-3.6179863892012385e-10,0.02072970078740255,0.0005265712485938989,-2.832601486636721e-05,-0.0003120173678290983
-0.0010652645,-0.004261057800000001,-1.92576744e-10,-0.007182605,-8.123621541057358e-09,0.4654488346456702,0.0005432117997749564,-3.6055519928239466e-05,-0.0003223689763779958
-0.0010652647,-0.004261058345894263,-7.436906245894264e-11,-0.005985504,-2.8075889460067468e-08,1.6086290933633283,0.0005575175253093034,-4.250220022493367e-05,-0.000331244713160872
-0.0010652647,-0.004527374,1.5548058e-11,-0.0047884043,-4.171142681664792e-08,2.389887696287965,0.000571773757030436,-4.895627784020501e-05,-0.00034009075365581953
-0.0010652645,-0.004944073145691789,-8.629047230708661e-11,-0.005985504,-1.947532536557931e-08,1.115852713160855,0.0005860275180130659,-5.541410862487661e-05,-0.00034893655884238317
