gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
0.0,0.0,0.0,0.0,-3.999999998628107e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-2.0412595115113365e-15,1.0206297496040406e-07,0.0,-4.700000000301685e-08,-7.489685116546241e-08
0.0,0.0,0.0,0.0,-1.79587404816292e-14,1.7958740503587478e-06,0.0,-4.700000000301685e-08,-6.979370253956674e-08
0.0,0.0,0.0,0.0,-1.9999999993140536e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-6.469055374713761e-08
0.0,0.0,0.0,0.0,-4.082518996552893e-15,4.0825189984161625e-07,0.0,-4.700000000301685e-08,-6.199141810991904e-08
0.0,0.0,0.0,0.0,-2.979370248166395e-14,1.4896851254775356e-06,0.0,-4.700000000301685e-08,-6.551574371904678e-08
0.0,0.0,0.0,0.0,-1.224755698965868e-14,6.123778497624244e-07,0.0,-4.700000000301685e-08,-7.061889245596475e-08
0.0,0.0,0.0,0.0,2.7144408230490654e-14,-7.144408247228284e-07,0.0,-4.700000000301685e-08,-7.572204124839388e-08
0.0,0.0,0.0,0.0,-1.1834962000034749e-14,0.0,0.0,-4.700000000301685e-08,-7.903775867124097e-08
0.0,0.0,0.0,0.0,1.628664495417626e-15,-1.0814332256359194e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-9.793702488523413e-15,9.793702506755153e-07,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,-1.9999999993140536e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-7.999999995789153e-08
0.0,0.0,0.0,0.0,1.9999999993140536e-14,0.0,0.0,-4.700000000301685e-08,-7.560931430949935e-08
0.0,0.0,0.0,0.0,-1.3268186745414348e-14,1.3268186762616097e-06,0.0,-4.700000000301685e-08,-6.414766556828155e-08
0.0,0.0,0.0,0.0,1.9999999993140536e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-5.1389793642719894e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-3.925446667718546e-08
0.0,0.0,0.0,0.0,-7.339847987388145e-15,3.669923991367341e-07,0.0,-4.700000000301685e-08,-3.247557006647028e-08
0.0,0.0,0.0,0.0,5.298588475876809e-15,-2.6492942417633003e-07,0.0,-4.700000000301685e-08,-4.0130293144091667e-08
0.0,0.0,0.0,0.0,-3.257328990835252e-15,1.6286644921592597e-07,0.0,-4.700000000301685e-08,-4.778501633273535e-08
0.0,0.0,0.0,0.0,-3.9391965246619114e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-5.534060326661816e-08
0.0,0.0,0.0,0.0,-2.0412595009234246e-14,2.000000000279556e-06,0.0,-4.700000000301685e-08,-5.990086388019122e-08
0.0,0.0,0.0,0.0,3.856677524090147e-14,-1.8566775246142697e-06,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,-1.509229099087e-14,-2.453854506256903e-07,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,-6.948968513781871e-15,3.4744842558609434e-07,0.0,-4.700000000301685e-08,-5.999999996841865e-08
0.0,0.0,0.0,0.0,3.999999998628107e-14,-2.000000000279556e-06,0.0,-4.700000000301685e-08,-6.285616321877185e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-6.757871878759758e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.268186752451555e-08
0.0,0.0,0.0,0.0,-2.4885993479393414e-14,1.2442996748518453e-06,0.0,-4.700000000301685e-08,-7.778501631694468e-08
0.0,0.0,0.0,0.0,2.2844733967882077e-14,-1.1422366998914413e-06,0.0,-4.700000000301685e-08,-7.695480735980809e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.700000000301685e-08,-7.200868618051359e-08
