gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
-0.0069352784,-0.0007904382,0.097107865,-0.60864025,-1.9132428,-9.367653,-0.62673753,-0.3045207,0.81277734
-0.004902812,0.019997803,-0.18429111,-0.40723845,-2.3697028,-9.990603,-0.6267969323326572,-0.30404104178498986,0.8124741735699798
-0.009680294,0.009990315,-0.3732055,0.43821746,-1.1336906,-9.691873,-0.6268563346653144,-0.3035613835699797,0.8121710071399595
-0.00953761,-0.015358611,-0.35575902,0.19848433,0.16803393,-8.982506,-0.6269157369979715,-0.3030817253549696,0.8118678407099391
0.008750876,0.00843564,-0.14617419,-0.9761829,0.20654331,-9.921658,-0.6269751393306288,-0.3026020671399594,0.8115646742799189
0.016485065,0.010497915,0.07675148,-0.06532658,1.5972067,-9.763301,-0.627034541663286,-0.3021224089249493,0.8112615078498986
0.039310552,-0.016512375,0.32211405,0.879026,0.11872746,-8.941794,-0.6270939439959432,-0.3016427507099391,0.8109583414198783
0.032413978,0.005908278,0.36881483,-0.5729757,-0.72738296,-9.070965,-0.6271533463286004,-0.301163092494929,0.8106551749898581
0.019499958,0.004560325,0.23192932,-0.014730389,-1.4782928,-9.814328,-0.6272127486612576,-0.30068343427991884,0.8103520085598378
-0.09760807,-0.023944195,-0.22873546,-0.3705631,-1.604445,-8.018627,-0.6272721509939148,-0.3002037760649087,0.8100488421298174
-0.14795433,-0.01831916,-0.35688898,0.07459111,-0.29128835,-8.3463745,-0.627331553326572,-0.29972411784989855,0.8097456756997972
-0.2529337,-0.007823673,-0.21025942,-0.17731933,0.6310574,-9.515674,-0.6273909556592292,-0.29924445963488844,0.8094425092697769
-0.30826977,0.006792095,0.13973098,0.15077116,0.36937845,-9.371323,-0.6274503579918864,-0.29876480141987827,0.8091393428397566
-0.3376263,0.009090875,0.32964024,0.3431161,-1.436589,-8.653769,-0.6275097603245436,-0.29828514320486815,0.8088361764097364
-0.38867626,0.02223905,0.3358015,-0.5696088,-0.5027088,-8.690599,-0.6275691626572008,-0.297805484989858,0.808533009979716
-0.35571754,0.043160994,0.1843055,0.02857514,-0.6628905,-8.896484,-0.627628564989858,-0.29732582677484787,0.8082298435496957
-0.36472312,0.03127921,-0.05911326,-0.17527872,-1.5894262,-9.391713,-0.6276879673225152,-0.2968461685598377,0.8079266771196755
-0.36773282,0.045390822,-0.27743754,-0.4821699,-2.4570198,-8.798131,-0.6277473696551724,-0.2963665103448276,0.8076235106896552
-0.36146578,0.058459327,-0.3665906,0.11504471,-0.41543177,-7.8976417,-0.6278067719878296,-0.2958868521298174,0.807320344259635
-0.23018691,0.074274786,-0.036318157,-0.10854267,0.22724974,-9.802343,-0.6278661743204869,-0.2954071939148073,0.8070171778296146
-0.20158638,0.09837632,0.21553522,-0.2661063,-0.92819756,-9.302037,-0.627925576653144,-0.2949275356997971,0.8067140113995943
-0.06444183,0.07637838,0.2614972,0.57436186,-0.14593446,-8.576123,-0.6279849789858012,-0.294447877484787,0.806410844969574
-0.06044572,0.070889376,0.07087812,-0.77679443,-1.7253397,-9.004774,-0.6280443813184584,-0.29396821926977684,0.8061076785395538
-0.06371177,0.065422334,-0.15929379,-0.72031623,-2.177584,-9.148173,-0.6281037836511156,-0.29348856105476673,0.8058045121095335
-0.079057634,-0.02800845,-0.29647043,0.7684952,0.71223533,-8.71836,-0.6281631859837729,-0.29300890283975656,0.8055013456795133
