timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
43807799,5000000.0,1.0,9471.415,0.0,5720,0,2950.0146,367,254,0,0,0,0.6920981,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44557733,5000000.0,1.0,9379.256,0.0,5851,0,9090.31,484,2039,0,0,0,4.21281,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44809782,5000000.0,1.0,9379.256,0.0,5895,0,9090.31,523,2294,0,0,0,4.3862333,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45811654,5000000.0,1.0,9273.271,0.0,6069,0,8710.287,676,3824,0,0,0,5.6568046,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46822776,5000000.0,1.0,9197.485,0.0,6248,0,8634.619,828,4844,0,0,0,5.8502417,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47806668,5000000.0,1.0,9217.703,0.0,6419,0,8893.347,979,5354,0,0,0,5.468846,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48814696,5000000.0,1.0,9240.261,0.0,6597,0,8571.617,1124,6119,0,0,0,5.44395,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49804653,5000000.0,1.0,9305.649,0.0,6772,0,8672.897,1270,6884,0,0,0,5.4204726,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50806717,5000000.0,1.0,9241.425,0.0,6947,0,8313.29,1416,7904,0,0,0,5.581921,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51814688,5000000.0,1.0,9293.515,0.0,7122,0,8578.937,1568,8924,0,0,0,5.6913266,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52813667,5000000.0,1.0,9175.639,0.0,7299,0,8433.125,1711,9179,0,0,0,5.364699,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53803667,5000000.0,1.0,9239.364,0.0,7471,0,8758.334,1859,9944,0,0,0,5.3491125,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54805706,5000000.0,1.0,9219.35,0.0,7647,0,8667.466,2010,10199,0,0,0,5.0741296,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55807654,5000000.0,1.0,9281.808,0.0,7825,0,8572.198,2157,11219,0,0,0,5.2012053,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56812677,5000000.0,1.0,9249.51,0.0,7999,0,8527.952,2304,11729,0,0,0,5.0907116,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57826654,5000000.0,1.0,9241.518,0.0,8176,0,8344.312,2445,12749,0,0,0,5.214315,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58808514,5000000.0,1.0,9175.512,0.0,8346,0,8064.7495,2587,13004,0,0,0,5.026672,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59806653,5000000.0,1.0,9241.6455,0.0,8522,0,8474.17,2731,14279,0,0,0,5.228488,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60808654,5000000.0,1.0,9259.296,0.0,8697,0,8470.889,2873,14279,0,0,0,4.970066,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61811655,5000000.0,1.0,9153.885,0.0,8870,0,8311.552,3018,15044,0,0,0,4.984758,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62807654,5000000.0,1.0,9215.677,0.0,9044,0,8428.705,3160,15809,0,0,0,5.002848,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63806676,5000000.0,1.0,9293.729,0.0,9219,0,8430.426,3305,17339,0,0,0,5.2462935,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64811707,5000000.0,1.0,9153.418,0.0,9392,0,8603.535,3453,19124,0,0,0,5.5383725,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65804667,5000000.0,1.0,9197.835,0.0,9564,0,8191.822,3594,20144,0,0,0,5.604897,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66809704,5000000.0,1.0,9239.4375,0.0,9740,0,8736.448,3744,21164,0,0,0,5.6527777,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67811666,5000000.0,1.0,9262.549,0.0,9915,0,8556.032,3891,22184,0,0,0,5.701362,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68810687,5000000.0,1.0,9110.817,0.0,10087,0,8674.64,4044,24224,0,0,0,5.990109,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69809663,5000000.0,1.0,9271.281,0.0,10262,0,8714.405,4191,24989,0,0,0,5.9625387,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70808738,5000000.0,1.0,9197.779,0.0,10435,0,8440.279,4337,25499,0,0,0,5.87941,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71804664,5000000.0,1.0,9175.549,0.0,10608,0,8835.232,4489,26520,0,0,0,5.9077744,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72815681,5000000.0,1.0,9259.397,0.0,10787,0,8354.216,4637,26775,0,0,0,5.7742076,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73817783,5000000.0,1.0,9362.463,0.0,10970,0,8788.599,4789,27795,0,0,0,5.8039255,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74804653,5000000.0,1.0,9266.468,0.0,11140,0,8684.631,4940,28050,0,0,0,5.678138,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
