timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
114388142,114384715,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,49.024265,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,470.0,473.0,447.0
115185267,115181979,6684682,1999.1115,1.9522573,60.59956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,487.0,460.0,444.0
115316502,115312552,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,54.664036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,498.0,473.0,496.0
115568911,115567781,6684682,1999.1115,1.9522573,nan,nan,nan,nan,89.701096,86.05702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,13.0,nan,nan,nan,nan,nan,nan,470.0,481.0,454.0
115572762,115569282,6684682,1999.1115,1.9522573,nan,nan,nan,nan,89.701096,86.05702,nan,nan,87.95236,nan,nan,nan,nan,nan,nan,nan,17.0,13.0,nan,nan,20.0,nan,nan,nan,470.0,481.0,484.0
115698951,115696897,6684682,1999.1115,1.9522573,nan,nan,nan,nan,nan,nan,nan,nan,89.528076,37.08515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,10.0,nan,nan,438.0,491.0,488.0
115825285,115824512,6684682,1999.1115,1.9522573,nan,nan,nan,nan,33.188374,nan,nan,nan,88.11511,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,25.0,nan,nan,nan,410.0,442.0,488.0
116082011,116081244,6684682,1999.1115,1.9522573,87.85158,nan,nan,nan,nan,nan,nan,nan,89.46764,48.640427,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,13.0,10.0,nan,nan,490.0,460.0,465.0
116208100,116207359,6684682,1999.1115,1.9522573,nan,nan,nan,nan,58.56772,nan,nan,nan,89.46764,48.640427,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,13.0,10.0,nan,nan,460.0,450.0,465.0
116212612,116208860,6684682,1999.1115,1.9522573,nan,nan,nan,nan,58.56772,nan,nan,nan,87.66954,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,26.0,nan,nan,nan,460.0,450.0,501.0
