timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
35125596,35125271,0,nan,nan,-0.00705001,0.0018281011,-0.06758574,-0.011755128,-0.012460613,-0.20478377,-0.0041436725,0.0030100315,0.00074780046,0.0010319061,0.00031346947,0.0026878614,-0.014507341,-0.008666123,-0.00014200702,0.004577763,0.3084939,0.18274258,nan,0.10020821,0.022674708,0.015283806,0.05316221,0.032961395,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35139110,35134280,0,nan,nan,-0.0070519485,0.0018221788,-0.06756996,-0.011755128,-0.012460613,-0.20478377,-0.0040974217,0.0030235117,0.00053879316,0.0008264527,0.00031346947,0.0026878614,-0.014507341,0.014847216,0.009218757,-0.029350774,0.3084882,0.18274258,nan,0.10019052,0.023076104,0.015530495,0.0536703,0.033243656,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35224689,35224372,0,nan,nan,-0.0070386166,0.001736618,-0.06742121,-0.011755128,-0.012460613,-0.20478377,-0.0038017945,0.0026634242,0.0005329158,0.0008532853,0.00031346947,0.0026878614,-0.014507341,0.0110375695,0.00040444295,-0.020500042,0.3085155,0.18274258,nan,0.10010744,0.022013346,0.014885194,0.052180897,0.03242189,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35328337,35327977,0,nan,nan,-0.0070018508,0.0016541259,-0.06727257,-0.011755128,-0.012460613,-0.20478377,-0.00506106,0.003402365,-5.5225373e-05,0.0002880832,0.00031346947,0.0026878614,-0.014507341,-0.22495347,0.30992255,-0.13434869,0.30848795,0.18274258,nan,0.10005028,0.021644827,0.014650691,0.051837303,0.032226056,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35426049,35425575,0,nan,nan,-0.00722864,0.0016945426,-0.0670838,-0.011755128,-0.012460613,-0.20478377,-0.008793569,0.0048069437,0.0018386311,0.0021864348,0.00031346947,0.0026878614,-0.014507341,-0.11484113,0.01921832,-0.08243836,0.3085935,0.18274258,nan,0.1,0.021256018,0.014406565,0.051379766,0.031964388,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35524989,35524677,0,nan,nan,-0.007849422,0.0018886097,-0.06676144,-0.011755128,-0.012460613,-0.20478377,-0.013224398,0.0051926603,0.0037938855,0.0041261436,0.00031346947,0.0026878614,-0.014507341,-0.13457572,-0.38047805,0.07639688,0.30852786,0.18274258,nan,0.1,0.021871056,0.014783619,0.05227431,0.03242372,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35627230,35622277,0,nan,nan,-0.008791376,0.0022236328,-0.06625516,-0.011755128,-0.012460613,-0.20478377,-0.016177531,0.008104882,0.0041980627,0.004489518,0.00031346947,0.0026878614,-0.014507341,-0.18119533,-0.19350456,-0.50994176,0.30838126,0.18274258,nan,0.1,0.021536527,0.01457071,0.05185588,0.03220585,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35732213,35731886,0,nan,nan,-0.010258324,0.002841375,-0.065647684,-0.011755128,-0.012460613,-0.20478377,-0.019705463,0.0128403185,0.0082082385,0.008420299,0.00031346947,0.0026878614,-0.014507341,0.29607838,1.010371,0.40383598,0.30833793,0.18274258,nan,0.1,0.02161325,0.014612619,0.052012865,0.03229713,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35828487,35823478,0,nan,nan,-0.011771139,0.003544139,-0.06503671,-0.011755128,-0.012460613,-0.20478377,-0.025520585,0.008803919,0.006729186,0.0068420456,0.00031346947,0.0026878614,-0.014507341,-0.6039395,-1.0586654,-0.53319085,0.30837348,0.18274258,nan,0.1,0.021924816,0.014804838,0.052364357,0.03251556,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
35927388,35927083,0,nan,nan,-0.013795134,0.0044254214,-0.06432483,-0.011755128,-0.012460613,-0.20478377,-0.029640563,0.012225388,0.008057962,0.00801635,0.00031346947,0.0026878614,-0.014507341,-0.09412601,0.032623485,0.08410026,0.30841738,0.18274258,nan,0.1,0.022441674,0.015133442,0.05285555,0.032809317,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
36029501,36029187,0,nan,nan,-0.015887193,0.005415513,-0.063695304,-0.011755128,-0.012460613,-0.20478377,-0.03160689,0.017044032,0.009972832,0.009693269,0.00031346947,0.0026878614,-0.014507341,-0.041772068,-0.0058526085,0.10462281,0.30837616,0.18274258,nan,0.1,0.021939518,0.014827978,0.052225843,0.032433018,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
36131660,36131290,0,nan,nan,-0.017920468,0.006378636,-0.06308586,-0.011755128,-0.012460613,-0.20478377,-0.032876983,0.01854575,0.011113923,0.010523086,0.00031346947,0.0026878614,-0.014507341,0.53713447,0.7414808,0.33737597,0.3082272,0.18274258,nan,0.1,0.021584013,0.014602212,0.051923636,0.032212105,inf,inf,inf,inf,1,1,1,1,2,1,1,1,1,0,0,1,0
