timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
30892737,30888054,0.99882,0.020561442,-0.0074178795,0.043370277,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
30898761,30898564,0.99881977,0.02055251,-0.007411744,0.043378986,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
30943801,30943610,0.99882203,0.020538775,-0.0074055316,0.04333512,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
30993348,30993160,0.99882406,0.020498548,-0.00737816,0.04331352,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31042899,31042711,0.9988243,0.020476222,-0.0073750005,0.04331806,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31090998,31090759,0.99883085,0.02045199,-0.007327325,0.043184668,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31145060,31144862,0.99882686,0.02044918,-0.0073027983,0.0432829,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31194551,31192867,0.9988283,0.020398345,-0.0071998467,0.04329198,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31242638,31242459,0.99882877,0.020432208,-0.0072662896,0.043254685,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31292145,31291963,0.9988294,0.020421183,-0.007273552,0.04324148,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31346204,31341514,0.9988296,0.020422535,-0.00730272,0.043232463,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31395753,31395569,0.9988327,0.020316541,-0.007240345,0.043221805,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31440802,31440615,0.99883264,0.020318696,-0.0072968216,0.043213833,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31494851,31494671,0.9988323,0.020283356,-0.0072884723,0.04323844,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31542986,31542805,0.9988319,0.020323362,-0.0072874445,0.043229572,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31588001,31587811,0.9988324,0.02036638,-0.0072779073,0.043199677,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31637491,31637314,0.9988323,0.020297157,-0.007316641,0.0432276,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31696038,31691369,0.99883515,0.020332746,-0.0072438237,0.043156043,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31745655,31745472,0.99883246,0.020410784,-0.007268888,0.043179765,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31795157,31794975,0.99883384,0.02040658,-0.0072845914,0.043146297,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31840202,31840022,0.9988331,0.020447493,-0.0072815786,0.04314402,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31888289,31888115,0.99883395,0.020398155,-0.0073221717,0.043141015,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31943817,31943626,0.99883676,0.020418536,-0.0073057204,0.04306868,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
31993407,31993224,0.9988356,0.020548234,-0.00731275,0.043032486,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32042901,32041225,0.99883807,0.020529427,-0.007279653,0.042988464,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32090995,32090821,0.9988377,0.02050724,-0.0073108873,0.0430031,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32140504,32140327,0.9988389,0.020482821,-0.007343435,0.042983238,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32196126,32195928,0.99884284,0.02041688,-0.0074120625,0.042909093,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32245617,32245433,0.9988407,0.0205235,-0.007433734,0.042906217,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32293707,32293527,0.99884224,0.020512016,-0.0074218996,0.04287853,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32343206,32343032,0.9988443,0.02036356,-0.007487995,0.042886697,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32392756,32392582,0.99884266,0.020492101,-0.007537486,0.042856164,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32442310,32442133,0.99884516,0.020445028,-0.0075648404,0.042815477,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32494846,32490182,0.99884915,0.020354437,-0.0075570606,0.042766925,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32545913,32545738,0.9988483,0.02043687,-0.007589125,0.04274064,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32595458,32595289,0.9988493,0.020393603,-0.0076360977,0.042732585,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32643532,32643353,0.9988532,0.020210508,-0.00765633,0.042724524,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32688563,32688383,0.99884737,0.020549439,-0.007662237,0.0426973,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32747111,32742439,0.99885243,0.020340078,-0.007718404,0.042668317,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32787666,32787485,0.99885,0.020326313,-0.007828068,0.04271208,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32841775,32841585,0.9988503,0.020420529,-0.0078116865,0.042664316,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32895769,32895595,0.9988511,0.020232951,-0.007888001,0.042718943,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32940821,32940641,0.99885005,0.02034236,-0.0078701535,0.04269592,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
32988873,32988690,0.9988496,0.020329837,-0.007950689,0.042698365,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33044471,33044292,0.9988509,0.020330077,-0.007983529,0.04266225,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33093995,33093797,0.9988549,0.020118723,-0.008049264,0.0426555,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33142107,33141892,0.99885476,0.02011138,-0.008077932,0.042654954,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33190076,33189898,0.99885494,0.020143963,-0.008096077,0.04263352,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33244137,33243952,0.9988563,0.020094195,-0.008122727,0.0426202,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33293680,33293501,0.9988578,0.020077923,-0.008182733,0.042581487,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33343233,33343051,0.99885744,0.020022163,-0.008192777,0.04261231,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33392828,33392602,0.99885863,0.019991614,-0.008242291,0.04258962,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33445321,33440651,0.99886006,0.019946614,-0.008280619,0.042569455,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33494923,33494751,0.99886066,0.019946184,-0.00830315,0.042550772,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33542935,33542755,0.9988603,0.019985221,-0.008378657,0.042525776,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33592528,33592351,0.9988654,0.019797914,-0.008388791,0.042492267,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33646529,33641856,0.99886346,0.019929452,-0.008467012,0.042460624,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33690114,33685401,0.99886674,0.01976546,-0.00852192,0.042450797,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33741138,33740957,0.998866,0.019807028,-0.008548147,0.04244276,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33795239,33795058,0.9988693,0.019730896,-0.008563599,0.042397875,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33844744,33844563,0.9988683,0.01981561,-0.008586622,0.042378433,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33888289,33888112,0.99886835,0.01972115,-0.008625019,0.04241239,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33946835,33942163,0.99887186,0.019698303,-0.008644021,0.042335093,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
33993397,33993215,0.99886984,0.01977168,-0.008682339,0.042341355,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34041440,34041264,0.9988705,0.019691102,-0.008779565,0.04234416,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34090993,34090815,0.9988718,0.019674163,-0.008813057,0.04231292,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34140593,34140412,0.99887276,0.019662691,-0.008864451,0.042285036,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34193130,34188414,0.9988772,0.019540979,-0.008839405,0.042241115,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34242650,34242472,0.9988784,0.019525506,-0.008805975,0.042227503,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34290752,34290564,0.9988791,0.019524537,-0.00888623,0.042195287,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34346256,34346076,0.99887794,0.019573832,-0.0089645125,0.042183667,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34394293,34389620,0.9988812,0.019492367,-0.009012328,0.042133808,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34443876,34443676,0.99888027,0.01955463,-0.00896808,0.042138252,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34493444,34493272,0.99888295,0.01952574,-0.008976833,0.04208399,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34542954,34542777,0.9988837,0.019449256,-0.008942638,0.042107735,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34592501,34592331,0.9988838,0.019426478,-0.00893604,0.042119972,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34646582,34646383,0.99888617,0.019413268,-0.008971234,0.042060815,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34696157,34695979,0.9988857,0.019432846,-0.008986574,0.04206075,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34745670,34745484,0.99888366,0.019454861,-0.009034302,0.04208795,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34790714,34790530,0.9988864,0.019353911,-0.009054858,0.042065073,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34840264,34838624,0.9988867,0.01936165,-0.009063611,0.042053152,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34895802,34891178,0.99889076,0.01925015,-0.008992063,0.042021304,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34939356,34939182,0.998892,0.019251045,-0.009001115,0.04199031,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
34996462,34996287,0.99889964,0.01898878,-0.008969795,0.041933723,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35045969,35045792,0.99890435,0.018858138,-0.008926731,0.041891947,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35089515,35089336,0.9989074,0.01870259,-0.008934473,0.041887935,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35139108,35138932,0.9989088,0.018696738,-0.008973884,0.041847076,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35194624,35194445,0.9989107,0.018615924,-0.008983642,0.041834306,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35242678,35242492,0.9989138,0.018467769,-0.008965176,0.041829955,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35292255,35292045,0.9989141,0.01861977,-0.008927818,0.041765485,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35341821,35341639,0.9989198,0.018484855,-0.00887077,0.04170213,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35391320,35391145,0.9989242,0.01837173,-0.008882453,0.04164338,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35445393,35445200,0.99892443,0.018381797,-0.008886736,0.04163225,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35493411,35488745,0.9989264,0.018258424,-0.008908781,0.04163231,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35544524,35544347,0.9989333,0.018067025,-0.008876493,0.041557495,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35592522,35592351,0.9989323,0.018157631,-0.008819417,0.04155604,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35637577,35637397,0.99893606,0.017936256,-0.008861047,0.041554116,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35697645,35697459,0.9989417,0.017780362,-0.008906244,0.04147325,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35745673,35741010,0.99894905,0.017693307,-0.008794494,0.04135703,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35795234,35795058,0.9989575,0.017576238,-0.00880724,0.041201916,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35840296,35840106,0.9989328,0.017254671,-0.00886336,0.04191629,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35889887,35889701,0.99900603,0.017119747,-0.008696912,0.040226996,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35937881,35937704,0.99899584,0.016388757,-0.008596493,0.040802468,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
35993450,35993264,0.99913365,0.015545115,-0.008053056,0.037756298,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36047537,36047362,0.9992007,0.014865685,-0.007639544,0.036315862,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36092585,36090861,0.9992734,0.013377537,-0.007198048,0.034956135,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36139112,36138934,0.99937594,0.010432019,-0.006470804,0.033125073,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36193146,36192966,0.99951184,0.00537247,-0.0043767337,0.03046609,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36247196,36247021,0.99961776,0.00041838657,-0.001183417,0.027619079,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36292242,36292068,0.9996743,-0.0006597639,0.00054836774,0.025506623,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36340369,36340186,0.99972284,-0.0003377846,0.0008617563,0.023528554,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36395850,36395674,0.9997678,0.002241711,0.00053612416,0.02142633,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36445453,36445270,0.9997992,0.0042435937,5.6137815e-05,0.019587439,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36494951,36493274,0.99980366,0.0075185844,0.0006674577,0.01832188,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36543045,36542870,0.99980074,0.010373352,0.00037893018,0.017056445,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36592555,36592376,0.99978465,0.012980422,-0.0023271632,0.016022908,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36637595,36637421,0.9997769,0.014478809,-0.002919254,0.015102548,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36694639,36689976,0.9997708,0.015258728,-0.0038924876,0.014505095,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36745760,36745578,0.9997508,0.016915673,-0.0053017107,0.013569636,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36795259,36795083,0.9997381,0.018700907,-0.0049785627,0.012217492,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36840318,36838628,0.99975526,0.018449692,-0.004729637,0.011260311,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36888398,36888224,0.99981964,0.01558502,-0.0040780427,0.010059393,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36946899,36942234,0.9998672,0.012940821,-0.0039057645,0.00910373,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
36993514,36993332,0.9998744,0.012003293,-0.0050602215,0.009027444,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37041534,37041335,0.9998755,0.011894618,-0.0053363047,0.008898157,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37091108,37090932,0.9998842,0.01121083,-0.0056797364,0.008587443,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37140617,37140438,0.99989486,0.010644183,-0.0059877476,0.007815983,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37193160,37188531,0.9999178,0.008193033,-0.0068710637,0.007083378,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37244223,37244042,0.9999107,0.0083814785,-0.0074870903,0.0072353994,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37293823,37293642,0.9999118,0.007528092,-0.0076124845,0.007861913,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37343327,37343146,0.9999103,0.007775243,-0.007297244,0.008114444,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37391421,37391238,0.9998956,0.008944504,-0.008285915,0.0077639353,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37440975,37440792,0.9999128,0.0075467676,-0.0084244665,0.006815194,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37496527,37496346,0.99990916,0.008109515,-0.009416375,0.0052204705,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37544517,37539845,0.99992234,0.007026141,-0.009048964,0.0049227867,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37594110,37589395,0.99991745,0.0068659303,-0.00959632,0.0050886683,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37643638,37643452,0.9999103,0.0065820706,-0.010054111,0.005927408,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37693174,37693002,0.99991846,0.0061567,-0.0098177865,0.005374604,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37738236,37738047,0.9999211,0.0059857387,-0.009928638,0.0048578787,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37796831,37796652,0.99993646,0.0049411096,-0.009504265,0.0035159036,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37846331,37846158,0.9999286,0.005869146,-0.009649096,0.0039173267,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37891384,37891203,0.9999319,0.006435271,-0.008888977,0.0039738086,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37940935,37939297,0.99991864,0.0071537257,-0.009649669,0.0043135965,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
37988982,37988802,0.9999163,0.0068995864,-0.009868479,0.004747518,0.9998014,-1.0943881e-09,-1.1390743e-09,0.019932108,1
