magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
-0.5557254,-0.18649177,0.8422594,38064529,2_6
-0.5339859,-0.18379708,0.8705635,38576754,2_6
-0.55429536,-0.24094278,0.91954464,39067158,2_6
-0.5410155,-0.23648466,0.69540447,39579023,2_6
-0.5563085,-0.2683207,0.76979566,40069772,2_6
-0.527088,-0.16103551,0.8338592,40581387,2_6
-0.55525464,-0.17852232,0.7039049,41072045,2_6
-0.532437,-0.17310672,0.87237096,41562667,2_6
-0.5374274,-0.17729296,0.80741763,42074227,2_6
-0.54319984,-0.24143265,0.7411487,42564876,2_6
