timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
30730649,5000000.0,1.0,9494.991,0.0,3969,0,2847.2998,361,509,0,0,0,1.4099723,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31483028,5000000.0,1.0,9288.404,0.0,4098,0,8729.523,473,1019,0,0,0,2.154334,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31732700,5000000.0,1.0,9288.404,0.0,4144,0,8729.523,506,1529,0,0,0,3.0217392,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32740791,5000000.0,1.0,9166.428,0.0,4316,0,8601.128,654,2294,0,0,0,3.5076454,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33733703,5000000.0,1.0,9153.802,0.0,4490,0,8531.04,804,3059,0,0,0,3.8047264,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34751621,5000000.0,1.0,9325.772,0.0,4669,0,8703.123,957,3824,0,0,0,3.9958203,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35753631,5000000.0,1.0,9238.96,0.0,4843,0,8755.428,1106,5099,0,0,0,4.610307,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36734732,5000000.0,1.0,9262.133,0.0,5018,0,8876.876,1258,6374,0,0,0,5.0667725,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37736731,5000000.0,1.0,9198.825,0.0,5194,0,8548.04,1408,7139,0,0,0,5.0703125,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38735972,5000000.0,1.0,9196.695,0.0,5365,0,8685.769,1554,8159,0,0,0,5.250322,0,1,1,1,1,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
