timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
30853008,30830416,3997730,171.01093,43.35,99287.74,1.1797025
30903165,30883079,3997730,170.88408,43.35,99289.24,1.1797205
31013502,30990872,3997730,170.79955,43.35,99290.25,1.1797324
31224017,31203935,3997730,170.54588,43.36,99293.24,1.179768
31434596,31417018,3997730,170.31071,43.37,99296.0,1.1798007
31655280,31632697,3997730,170.44019,43.39,99294.5,1.179783
31815710,31793088,3997730,170.3979,43.41,99294.99,1.1797888
32026231,32006154,3997730,170.33449,43.43,99295.74,1.1797976
32236836,32219264,3997730,170.18387,43.45,99297.5,1.1798185
32397312,32379739,3997730,170.35562,43.46,99295.49,1.1797947
32617814,32595231,3997730,170.35562,43.489998,99295.49,1.1797947
32828430,32808331,3997730,170.16273,43.5,99297.75,1.1798216
33039071,33021497,3997730,170.16273,43.51,99297.75,1.1798216
33199526,33181952,3997730,170.3979,43.53,99294.99,1.1797888
33420068,33397454,3997730,170.33449,43.54,99295.74,1.1797976
33630627,33610549,3997730,170.16273,43.55,99297.75,1.1798216
33841176,33823607,3997730,170.22617,43.559998,99297.0,1.1798127
34001589,33983995,3997730,170.26843,43.57,99296.5,1.1798067
34222099,34199506,3997730,170.22617,43.6,99297.0,1.1798127
34432679,34412567,3997730,170.07817,43.61,99298.75,1.1798334
34643219,34625637,3997730,170.37677,43.62,99295.24,1.1797917
34803693,34786107,3997730,169.86679,43.629997,99301.25,1.1798631
35024273,35001684,3997730,169.86679,43.64,99301.25,1.1798631
35234769,35214679,3997730,169.88794,43.64,99301.0,1.1798602
35445351,35427779,3997730,169.63428,43.64,99304.0,1.1798958
35605763,35588193,3997730,169.40175,43.649998,99306.75,1.1799284
35826298,35803714,3997730,169.23264,43.64,99308.74,1.1799521
36036884,36016802,3997730,167.71066,43.629997,99326.74,1.180166
36247450,36229869,3997730,166.58768,43.61,99340.0,1.1803236
36407856,36390273,3997730,168.95786,43.59,99312.0,1.1799909
36628470,36605889,3997730,170.6727,43.57,99291.75,1.1797502
36839050,36818971,3997730,171.328,43.55,99284.0,1.1796582
37049634,37032053,3997730,171.60281,43.54,99280.75,1.1796196
37210013,37192427,3997730,171.30685,43.53,99284.25,1.1796612
37430616,37408033,3997730,171.83533,43.53,99278.0,1.1795868
37641205,37621128,3997730,171.328,43.52,99284.0,1.1796582
37851789,37834204,3997730,171.98329,43.52,99276.24,1.179566
38012196,37994621,3997730,171.64508,43.52,99280.25,1.1796136
38232800,38210204,3997730,171.68736,43.51,99279.74,1.1796075
38443372,38423278,3997730,171.68736,43.51,99279.75,1.1796076
38653953,38636330,3997730,171.98329,43.5,99276.25,1.1795661
38814391,38796817,3997730,171.94101,43.489998,99276.74,1.179572
39035050,39012465,3997730,171.96216,43.48,99276.49,1.1795689
39245606,39225532,3997730,171.7719,43.469997,99278.75,1.1795958
39456208,39438615,3997730,171.85646,43.46,99277.75,1.1795839
39616588,39599015,3997730,172.27924,43.45,99272.75,1.1795244
39837217,39814627,3997730,171.98329,43.44,99276.25,1.1795661
40047767,40027689,3997730,171.89874,43.43,99277.25,1.179578
40208210,40188118,3997730,172.0467,43.42,99275.5,1.1795572
40418726,40401155,3997730,171.60281,43.41,99280.75,1.1796196
40639301,40616708,3997730,172.27924,43.39,99272.75,1.1795244
40849787,40829709,3997730,172.1524,43.39,99274.25,1.1795423
41010222,40990138,3997730,171.98329,43.37,99276.25,1.1795661
41220853,41203269,3997730,172.1524,43.36,99274.25,1.1795423
41441455,41418845,3997730,171.96216,43.34,99276.5,1.179569
41651927,41631851,3997730,171.85646,43.329998,99277.75,1.1795839
41812384,41792304,3997730,172.17355,43.309998,99274.0,1.1795393
42022949,42005344,3997730,171.58167,43.29,99280.99,1.1796224
42243496,42220904,3997730,172.02557,43.27,99275.75,1.1795602
42454090,42434001,3997730,171.85646,43.25,99277.75,1.1795839
42614570,42594492,3997730,171.75078,43.239998,99279.0,1.1795988
42825150,42807538,3997730,171.66621,43.23,99280.0,1.1796106
43045647,43023066,3997730,171.75078,43.21,99279.0,1.1795988
43256223,43236135,3997730,172.21582,43.19,99273.5,1.1795334
43416600,43396505,3997730,171.7085,43.19,99279.5,1.1796048
43627240,43609668,3997730,171.91989,43.18,99277.0,1.179575
43847815,43825236,3997730,171.96216,43.17,99276.5,1.179569
44008320,43985741,3997730,172.08897,43.17,99275.0,1.1795512
44218810,44198732,3997730,171.98329,43.16,99276.25,1.1795661
44429380,44411811,3997730,171.4337,43.149998,99282.75,1.1796434
44649998,44627401,3997730,171.79305,43.149998,99278.5,1.1795928
44810517,44787936,3997730,171.7719,43.14,99278.75,1.1795958
45021088,45000977,3997730,171.7719,43.12,99278.75,1.1795958
45231567,45213997,3997730,171.89874,43.12,99277.25,1.179578
45452154,45429574,3997730,171.94101,43.11,99276.75,1.179572
45612650,45589988,3997730,171.98329,43.11,99276.24,1.179566
45823258,45803093,3997730,172.00444,43.1,99276.0,1.179563
46033719,46016145,3997730,171.96216,43.09,99276.5,1.179569
46254432,46231824,3997730,171.94101,43.09,99276.75,1.179572
46414871,46392292,3997730,171.7719,43.07,99278.75,1.1795958
46625428,46605332,3997730,171.7085,43.07,99279.5,1.1796048
46835941,46818370,3997730,171.83533,43.059998,99278.0,1.1795868
46996365,46978792,3997730,171.72963,43.05,99279.24,1.1796016
47216928,47194313,3997730,171.79305,43.04,99278.5,1.1795928
47427484,47407407,3997730,171.98329,43.03,99276.25,1.1795661
47638059,47620486,3997730,171.62393,43.01,99280.5,1.1796166
47798491,47780886,3997730,171.85646,43.01,99277.75,1.1795839
48019095,47996497,3997730,171.85646,43.0,99277.75,1.1795839
48229628,48209552,3997730,171.7085,42.989998,99279.49,1.1796046
48440221,48422635,3997730,172.25809,42.98,99273.0,1.1795275
48600654,48583009,3997730,172.02557,42.969997,99275.75,1.1795602
48821292,48798688,3997730,171.85646,42.96,99277.75,1.1795839
49031816,49011738,3997730,172.1524,42.95,99274.25,1.1795423
49242417,49224844,3997730,171.89874,42.93,99277.25,1.179578
49402816,49385235,3997730,171.85646,42.91,99277.75,1.1795839
49623344,49600763,3997730,171.8142,42.879997,99278.25,1.1795899
49833896,49813821,3997730,172.00444,42.86,99276.0,1.179563
50044465,50026895,3997730,172.08897,42.829998,99274.99,1.1795511
50204851,50187275,3997730,172.17355,42.829998,99274.0,1.1795393
50425470,50402873,3997730,172.02557,42.809998,99275.74,1.1795601
50636053,50615949,3997730,172.21582,42.809998,99273.5,1.1795334
50846597,50828987,3997730,172.06786,42.8,99275.24,1.1795541
51007000,50989433,3997730,172.32152,42.79,99272.25,1.1795186
51227619,51205036,3997730,171.96216,42.77,99276.5,1.179569
51438193,51418116,3997730,171.8142,42.76,99278.25,1.1795899
51648750,51631170,3997730,171.98329,42.75,99276.25,1.1795661
51809194,51791622,3997730,171.94101,42.73,99276.75,1.179572
52029816,52007231,3997730,171.91989,42.71,99277.0,1.179575
52240378,52220291,3997730,172.0467,42.69,99275.5,1.1795572
52451010,52433376,3997730,172.40605,42.67,99271.25,1.1795067
52611342,52593773,3997730,171.91989,42.66,99276.99,1.1795748
52831937,52809354,3997730,172.13127,42.629997,99274.5,1.1795453
53042529,53022426,3997730,171.8776,42.61,99277.5,1.1795809
53253030,53235443,3997730,171.94101,42.579998,99276.75,1.179572
53413505,53395937,3997730,172.1524,42.57,99274.25,1.1795423
53634080,53611496,3997730,171.68736,42.54,99279.75,1.1796076
53844746,53824655,3997730,171.26459,42.52,99284.75,1.1796671
54055247,54037667,3997730,170.94751,42.51,99288.5,1.1797116
54215692,54198108,3997730,169.65541,42.489998,99303.75,1.1798928
54436274,54413697,3997730,168.1123,42.469997,99322.0,1.1801096
54646851,54626754,3997730,167.85863,42.44,99324.99,1.1801453
54857335,54839765,3997730,168.45052,42.42,99318.0,1.1800622
55017762,55000188,3997730,168.6619,42.399998,99315.5,1.1800324
55238448,55215850,3997730,168.89442,42.379997,99312.74,1.1799997
55449070,55428985,3997730,169.19037,42.37,99309.25,1.1799581
55609452,55589358,3997730,169.27493,42.36,99308.25,1.1799463
55819988,55802420,3997730,170.07817,42.36,99298.75,1.1798334
56040560,56017979,3997730,170.20766,42.36,99297.25,1.1798156
56251182,56231045,3997730,170.46132,42.36,99294.24,1.1797798
56411601,56391515,3997730,170.41904,42.36,99294.74,1.1797857
56622215,56604645,3997730,170.48247,42.36,99293.99,1.1797769
56842809,56820229,3997730,170.22617,42.37,99297.0,1.1798127
57053346,57033261,3997730,170.22617,42.37,99297.0,1.1798127
57213791,57193710,3997730,170.3979,42.379997,99294.99,1.1797888
57424367,57406800,3997730,170.16273,42.379997,99297.75,1.1798216
57644947,57622360,3997730,170.46132,42.399998,99294.24,1.1797798
57855477,57835373,3997730,170.84181,42.41,99289.75,1.1797265
58015894,57995817,3997730,170.90523,42.42,99289.0,1.1797175
58226532,58208957,3997730,170.90523,42.43,99289.0,1.1797175
58447114,58424503,3997730,171.2223,42.45,99285.25,1.179673
