timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
34826078,34826008,-0.010154338,0.030635681,-0.0014810127,0.001,0.0,0.0,0.0,-1.0
34829078,34829011,-0.010311918,0.030674536,-0.0013422196,0.001,0.0,0.0,0.0,-1.0
34877132,34877061,-0.009793082,0.03071059,-0.002058417,0.001,0.0,0.0,0.0,-1.0
34926690,34926619,-0.00937564,0.02992061,-0.0020054784,0.001,0.0,0.0,0.0,-1.0
34979238,34979170,-0.00996893,0.030697947,-0.0017444276,0.001,0.0,0.0,0.0,-1.0
35028812,35028742,-0.010718789,0.030188268,-0.005945749,0.001,0.0,0.0,0.0,-1.0
35076850,35076779,-0.0082385335,0.0330482,8.0988255e-05,0.001,0.0,0.0,0.0,-1.0
35129402,35129331,-0.007992836,0.02956764,0.000547793,0.001,0.0,0.0,0.0,-1.0
35178957,35178884,-0.009766134,0.029374741,-0.0025757644,0.001,0.0,0.0,0.0,-1.0
35227006,35226936,-0.008812371,0.030334545,-0.0030821965,0.001,0.0,0.0,0.0,-1.0
35276558,35276488,-0.010743796,0.029916834,-0.003988962,0.001,0.0,0.0,0.0,-1.0
35329115,35329045,-0.007345623,0.029416636,-0.0020433576,0.001,0.0,0.0,0.0,-1.0
35378712,35378643,-0.008818811,0.030162586,-0.0007419042,0.001,0.0,0.0,0.0,-1.0
35426717,35426649,-0.0100281425,0.030270258,0.0005698946,0.001,0.0,0.0,0.0,-1.0
35479275,35479206,-0.008590344,0.03106728,-0.000206085,0.001,0.0,0.0,0.0,-1.0
35528870,35528803,-0.01006168,0.030666398,-0.0022632373,0.001,0.0,0.0,0.0,-1.0
35578378,35578310,-0.008008726,0.029857012,-0.004486534,0.001,0.0,0.0,0.0,-1.0
35626477,35626408,-0.009880763,0.031233309,-0.0019992047,0.001,0.0,0.0,0.0,-1.0
35679034,35678963,-0.007966546,0.03082372,-0.003644768,0.001,0.0,0.0,0.0,-1.0
35728541,35728471,-0.009822825,0.029808454,-0.00085796084,0.001,0.0,0.0,0.0,-1.0
35776638,35776569,-0.009919419,0.030162105,-0.0031993676,0.001,0.0,0.0,0.0,-1.0
35829192,35829124,-0.0077850516,0.030015023,-8.467179e-05,0.001,0.0,0.0,0.0,-1.0
35878702,35878633,-0.008579879,0.03009008,-5.1474246e-05,0.001,0.0,0.0,0.0,-1.0
35928252,35928185,-0.009144921,0.031133356,-0.0020090514,0.001,0.0,0.0,0.0,-1.0
35976304,35976236,-0.009672245,0.030343348,-0.001497026,0.001,0.0,0.0,0.0,-1.0
36028867,36028793,-0.009252056,0.031635795,-0.0045628995,0.001,0.0,0.0,0.0,-1.0
36078414,36078345,-0.009000409,0.030111643,-0.0015404479,0.001,0.0,0.0,0.0,-1.0
36126463,36126397,-0.008082551,0.030726604,-0.0020214396,0.001,0.0,0.0,0.0,-1.0
36179026,36178953,-0.009200871,0.03140497,-0.00020469069,0.001,0.0,0.0,0.0,-1.0
36228574,36228506,-0.009399629,0.03093124,0.0007338869,0.001,0.0,0.0,0.0,-1.0
36278133,36278059,-0.009420886,0.030704103,-0.00022844215,0.001,0.0,0.0,0.0,-1.0
36326176,36326110,-0.009371862,0.030487565,-0.0002471094,0.001,0.0,0.0,0.0,-1.0
36378734,36378667,-0.008282815,0.030611865,-0.0027154528,0.001,0.0,0.0,0.0,-1.0
36428291,36428220,-0.009043064,0.031420577,-0.002999246,0.001,0.0,0.0,0.0,-1.0
36477839,36477773,-0.008547204,0.031532522,-0.0018287454,0.001,0.0,0.0,0.0,-1.0
36530399,36530332,-0.009330525,0.030027717,0.000110209425,0.001,0.0,0.0,0.0,-1.0
36578459,36578389,-0.009357002,0.030232342,0.00023061498,0.001,0.0,0.0,0.0,-1.0
36628006,36627936,-0.0077779866,0.03076284,-0.00013522658,0.001,0.0,0.0,0.0,-1.0
36676054,36675986,-0.0087916255,0.030846974,-0.00045242958,0.001,0.0,0.0,0.0,-1.0
36728613,36728543,-0.008744824,0.03097853,-0.0017542342,0.001,0.0,0.0,0.0,-1.0
36778164,36778095,-0.008890047,0.03127415,-0.0018750363,0.001,0.0,0.0,0.0,-1.0
36827762,36827693,-0.00976339,0.030694997,-0.0022620223,0.001,0.0,0.0,0.0,-1.0
36880317,36880250,-0.0075190277,0.031416424,-0.0012208959,0.001,0.0,0.0,0.0,-1.0
36928327,36928255,-0.008687793,0.030875092,-0.0016179137,0.001,0.0,0.0,0.0,-1.0
36977923,36977854,-0.009214417,0.030760743,-0.00136255,0.001,0.0,0.0,0.0,-1.0
37027431,37027361,-0.0066149095,0.030677635,-0.0017415606,0.001,0.0,0.0,0.0,-1.0
37078483,37078417,-0.009189464,0.031367656,0.000524682,0.001,0.0,0.0,0.0,-1.0
37128088,37128015,-0.008975607,0.031271804,-0.00018162478,0.001,0.0,0.0,0.0,-1.0
37177590,37177522,-0.008463434,0.030894455,0.00024103365,0.001,0.0,0.0,0.0,-1.0
37230148,37230079,-0.0072104004,0.03113453,-0.0009101305,0.001,0.0,0.0,0.0,-1.0
37278243,37278175,-0.008175453,0.030910078,-0.0022358433,0.001,0.0,0.0,0.0,-1.0
37327754,37327683,-0.007300795,0.03038455,-0.000791642,0.001,0.0,0.0,0.0,-1.0
37377305,37377236,-0.008985893,0.030830037,-0.0013841683,0.001,0.0,0.0,0.0,-1.0
37429863,37429792,-0.007990726,0.03217946,-0.0009930813,0.001,0.0,0.0,0.0,-1.0
37477911,37477844,-0.0081910435,0.032041077,0.00031972918,0.001,0.0,0.0,0.0,-1.0
37527467,37527398,-0.007836111,0.031938706,0.00077085505,0.001,0.0,0.0,0.0,-1.0
37580026,37579955,-0.009242387,0.03046395,-0.0028215293,0.001,0.0,0.0,0.0,-1.0
37628073,37628004,-0.007680899,0.031128459,-0.0024114056,0.001,0.0,0.0,0.0,-1.0
37677625,37677557,-0.008723066,0.030592874,-0.0015386938,0.001,0.0,0.0,0.0,-1.0
37727180,37727111,-0.007755902,0.03065265,-0.0015806428,0.001,0.0,0.0,0.0,-1.0
37779737,37779667,-0.0075067286,0.03192055,-0.0005831044,0.001,0.0,0.0,0.0,-1.0
37827788,37827718,-0.0073920223,0.03159499,-0.0009808377,0.001,0.0,0.0,0.0,-1.0
37877340,37877271,-0.008498041,0.03235776,-0.00012079531,0.001,0.0,0.0,0.0,-1.0
37929899,37929829,-0.008781489,0.031176921,-0.001549083,0.001,0.0,0.0,0.0,-1.0
37979452,37979380,-0.007384945,0.03068715,-0.0026582058,0.001,0.0,0.0,0.0,-1.0
38027499,38027434,-0.008906895,0.03075251,-0.0008528559,0.001,0.0,0.0,0.0,-1.0
38077053,38076986,-0.007993596,0.032184895,-0.0014733358,0.001,0.0,0.0,0.0,-1.0
38129608,38129541,-0.0072127706,0.030735098,-0.0017023467,0.001,0.0,0.0,0.0,-1.0
38177663,38177594,-0.006245106,0.03178422,-0.0007178652,0.001,0.0,0.0,0.0,-1.0
38227217,38227146,-0.008382835,0.031933565,-0.0015719056,0.001,0.0,0.0,0.0,-1.0
38279775,38279705,-0.0072233174,0.03228935,-0.00040109822,0.001,0.0,0.0,0.0,-1.0
38329384,38329318,-0.008328635,0.031177243,-0.000809375,0.001,0.0,0.0,0.0,-1.0
38377374,38377307,-0.00844784,0.03155081,-5.2694828e-05,0.001,0.0,0.0,0.0,-1.0
38426975,38426908,-0.005823056,0.0317793,-0.0015053564,0.001,0.0,0.0,0.0,-1.0
38479531,38479461,-0.009916911,0.030765865,-0.0006029384,0.001,0.0,0.0,0.0,-1.0
38527539,38527467,-0.006992628,0.03129074,-0.0027615477,0.001,0.0,0.0,0.0,-1.0
38577134,38577066,-0.0076759276,0.031348728,-0.0012650203,0.001,0.0,0.0,0.0,-1.0
38629698,38629622,-0.007819886,0.032029334,0.0008902822,0.001,0.0,0.0,0.0,-1.0
38679199,38679130,-0.005596785,0.032141425,-1.9537589e-05,0.001,0.0,0.0,0.0,-1.0
38727299,38727227,-0.008137358,0.032518797,-0.0004682949,0.001,0.0,0.0,0.0,-1.0
38776800,38776734,-0.008174251,0.030944558,-0.001177857,0.001,0.0,0.0,0.0,-1.0
38829358,38829292,-0.0085609555,0.028779479,-0.19847628,0.009436439,0.0,0.0,0.0,-1.0
38878911,38878843,-0.010028918,0.030506134,-0.19916838,0.0144629,0.0,0.0,0.0,-1.0
38926961,38926895,-0.008379376,0.029858056,-0.19861265,0.01934355,0.0,0.0,0.0,-1.0
38979521,38979451,-0.0072423248,0.028937208,-0.19750264,0.025318403,0.0,0.0,0.0,-1.0
39029071,39029004,-0.008142588,0.030917432,-0.19605811,0.031094687,0.0,0.0,0.0,-1.0
39077126,39077058,-0.00730069,0.030554462,-0.19818215,0.037591454,0.0,0.0,0.0,-1.0
39126678,39126609,-0.007825968,0.029324736,-0.1977789,0.046462048,0.0,0.0,0.0,-1.0
