gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
-0.053263225,-0.03302321,-3.1215638e-08,0.0,1.5237522e-07,-8.730458,22224000,2_6
-0.054328486,-0.030626353,-2.7367513e-08,0.0,1.5339899e-07,-8.789116,22236000,2_6
-0.054328486,-0.02902846,-5.838079e-08,0.0,1.5415117e-07,-8.832211,22240000,2_6
-0.053263225,-0.026631612,-1.5240714e-08,0.0,1.5538389e-07,-8.902842,22249000,2_6
-0.052197956,-0.025566345,-9.902748e-09,0.0,1.5594799e-07,-8.935162,22256000,2_6
-0.0511327,-0.024501085,-1.6976665e-08,0.0,1.5657481e-07,-8.971075,22260000,2_6
-0.048203215,-0.02263687,-1.1752695e-09,0.0,1.5772395e-07,-9.036917,22268000,2_6
-0.04660532,-0.022104237,3.1131426e-09,0.0,1.5832981e-07,-9.0716305,22273000,2_6
-0.04474111,-0.02130529,1.283051e-09,0.0,1.5910287e-07,-9.115923,22280000,2_6
-0.040746372,-0.019973712,4.828863e-09,0.0,1.606072e-07,-9.202114,22288000,2_6
-0.037550572,-0.018375812,-5.3343724e-10,0.0,1.6169366e-07,-9.264365,22296000,2_6
-0.03435478,-0.017044235,-3.6839348e-10,0.0,1.6273832e-07,-9.324219,22304000,2_6
-0.03275688,-0.01597897,-3.39957e-09,0.0,1.6330247e-07,-9.356543,22308000,2_6
-0.03115899,-0.015180021,-4.777156e-10,0.0,1.6386659e-07,-9.3888645,22312000,2_6
-0.029561087,-0.014647388,2.297646e-09,0.0,1.6438891e-07,-9.41879,22316000,2_6
-0.026365293,-0.0127831735,-2.7763771e-09,0.0,1.6547533e-07,-9.481039,22325000,2_6
-0.024234766,-0.011717909,-5.5915306e-10,0.0,1.6610214e-07,-9.516952,22332000,2_6
-0.021571603,-0.010652645,2.9583942e-09,0.0,1.6674983e-07,-9.554062,22337000,2_6
-0.01917476,-0.00958738,8.96533e-10,0.0,1.6729307e-07,-9.585188,22341000,2_6
-0.017044231,-0.008522116,-1.4873898e-10,0.0,1.677736e-07,-9.61272,22348000,2_6
-0.014913704,-0.007456852,-1.3014663e-10,0.0,1.6825416e-07,-9.640253,22352000,2_6
-0.0114515945,-0.0061252713,1.1224457e-09,0.0,1.6898545e-07,-9.682154,22360000,2_6
-0.0085221175,-0.005060006,6.44567e-10,0.0,1.6959135e-07,-9.716867,22368000,2_6
-0.007456852,-0.004527375,2.046817e-10,0.0,1.6988386e-07,-9.733627,22372000,2_6
-0.0063915877,-0.0042610588,8.7128643e-10,0.0,1.7017635e-07,-9.750386,22376000,2_6
-0.005060006,-0.0042610588,1.8169455e-09,0.0,1.7046887e-07,-9.767147,22380000,2_6
-0.0034621095,-0.0042610588,2.1952078e-09,0.0,1.7076138e-07,-9.783907,22384000,2_6
-0.002396845,-0.0042610588,1.4386817e-09,0.0,1.7105388e-07,-9.800665,22388000,2_6
-0.001864213,-0.0042610588,6.8215605e-10,0.0,1.7132551e-07,-9.816229,22392000,2_6
-0.0010652647,-0.0039947424,8.9957686e-10,0.0,1.7161803e-07,-9.832989,22400000,2_6
0.0,-0.0034621095,2.3982831e-09,0.0,1.719314e-07,-9.8509445,22404000,2_6
0.002130529,-0.0029294773,1.178225e-09,0.0,1.7232836e-07,-9.873688,22413000,2_6
0.0031957938,-0.002396845,1.7312741e-09,0.0,1.724955e-07,-9.883265,22419000,2_6
0.004527374,-0.002130529,3.4107828e-10,0.0,1.7280891e-07,-9.901221,22428000,2_6
0.0053263223,-0.001864213,1.1790863e-09,0.0,1.729134e-07,-9.907209,22432000,2_6
0.0061252713,-0.0013315806,1.4188863e-09,0.0,1.7299695e-07,-9.911995,22436000,2_6
0.006657903,-0.0010652647,7.5973255e-11,0.0,1.7316411e-07,-9.921572,22444000,2_6
0.007190536,-0.0010652647,1.705389e-10,0.0,1.732268e-07,-9.925163,22448000,2_6
0.007456852,-0.0010652647,7.5973484e-11,0.0,1.7326857e-07,-9.927559,22452000,2_6
0.007456852,-0.0010652647,-1.8592374e-11,0.0,1.7331038e-07,-9.929954,22456000,2_6
0.007456852,-0.0010652647,-1.8592374e-11,0.0,1.7335215e-07,-9.932346,22460000,2_6
0.007723167,-0.0010652647,7.5973255e-11,0.0,1.7341483e-07,-9.935939,22468000,2_6
0.0085221175,-0.0010652647,7.5973484e-11,0.0,1.7341483e-07,-9.935939,22476000,2_6
0.0085221175,-0.0010652647,-1.8592374e-11,0.0,1.7343572e-07,-9.937136,22480000,2_6
0.008522116,-0.0010652645,-1.8592372e-11,0.0,1.7347749e-07,-9.939528,22489000,2_6
0.007723167,-0.0010652647,-3.4957243e-10,0.0,1.7341483e-07,-9.935939,22500000,2_6
0.007456852,-0.001864213,-1.3564567e-09,0.0,1.7341483e-07,-9.935939,22508000,2_6
0.006657903,-0.0021305294,-4.154473e-10,0.0,1.7341483e-07,-9.935939,22516000,2_6
0.0063915867,-0.0029294773,-1.1859178e-09,0.0,1.7335215e-07,-9.932346,22525000,2_6
0.0061252713,-0.0031957938,-1.0900896e-09,0.0,1.7331038e-07,-9.929954,22529000,2_6
0.0055926396,-0.0031957938,-6.2317107e-10,0.0,1.7326855e-07,-9.927557,22535000,2_6
0.005060006,-0.0031957934,-9.068699e-10,0.0,1.7322678e-07,-9.925163,22540000,2_6
0.004527375,-0.0029294777,-1.9888671e-10,0.0,1.7318501e-07,-9.92277,22544000,2_6
0.0042610588,-0.002396845,5.0191995e-10,0.0,1.7316411e-07,-9.921572,22548000,2_6
0.0039947424,-0.0021305294,1.2830485e-10,0.0,1.7316411e-07,-9.921572,22552000,2_6
0.0034621095,-0.0021305294,-4.1544773e-10,0.0,1.7314322e-07,-9.920377,22556000,2_6
0.0029294777,-0.0013315806,3.7866366e-10,0.0,1.7308055e-07,-9.916785,22564000,2_6
0.002396845,-0.0010652647,5.0489786e-12,0.0,1.7305963e-07,-9.915586,22568000,2_6
0.001864213,-0.0010652647,-2.0772377e-10,0.0,1.7301787e-07,-9.913193,22572000,2_6
0.0013315806,-0.0010652647,-2.0772381e-10,0.0,1.7299695e-07,-9.911995,22576000,2_6
0.0010652647,-0.0010652647,-1.1315807e-10,0.0,1.7297607e-07,-9.9108,22580000,2_6
0.00079894846,-0.0013315806,-2.1237188e-10,0.0,1.7293429e-07,-9.908405,22588000,2_6
0.00026631617,-0.001864213,-7.890623e-10,0.0,1.7291339e-07,-9.907208,22592000,2_6
0.0,-0.0021305294,-2.2631617e-10,0.0,1.728925e-07,-9.90601,22596000,2_6
-0.00079894846,-0.0029294777,-4.2939186e-10,0.0,1.728298e-07,-9.902418,22604000,2_6
-0.0013315806,-0.0031957938,-5.049642e-10,0.0,1.728298e-07,-9.902418,22608000,2_6
-0.0021305294,-0.0031957938,-9.068685e-10,0.0,1.728298e-07,-9.902418,22612000,2_6
-0.0034621095,-0.0031957938,-6.2317096e-10,0.0,1.728298e-07,-9.902418,22620000,2_6
-0.0061252713,-0.002396845,-4.770118e-09,0.0,1.728298e-07,-9.902418,22632000,2_6
-0.007456851,-0.0018642128,-2.183906e-09,0.0,1.728298e-07,-9.902418,22637000,2_6
-0.00958738,-0.0002663161,-4.638368e-09,0.0,1.7289248e-07,-9.90601,22649000,2_6
-0.011717909,0.0,0.0,0.0,1.7289247e-07,-9.906009,22664000,2_6
-0.012516859,0.0,0.0,0.0,1.728507e-07,-9.903616,22668000,2_6
-0.012783175,0.0,0.0,0.0,1.728298e-07,-9.902418,22672000,2_6
-0.01304949,0.0,0.0,0.0,1.728298e-07,-9.902418,22676000,2_6
-0.013582122,0.0,0.0,0.0,1.728298e-07,-9.902418,22680000,2_6
-0.013848438,0.0,0.0,0.0,1.728298e-07,-9.902418,22684000,2_6
-0.014114756,0.0,0.0,0.0,1.728298e-07,-9.902418,22688000,2_6
-0.014647388,0.0,0.0,0.0,1.728298e-07,-9.902418,22692000,2_6
-0.014913704,2.6338962e-09,0.00079894846,0.0,1.728507e-07,-9.903616,22700000,2_6
-0.014913704,1.3053275e-09,0.0010652647,0.0,1.728925e-07,-9.90601,22708000,2_6
-0.014913704,-1.8592374e-11,0.0010652647,0.0,1.7291339e-07,-9.907208,22712000,2_6
-0.014913704,-1.8592374e-11,0.0010652647,0.0,1.7291339e-07,-9.907208,22720000,2_6
-0.015180021,-1.1315822e-10,0.0010652647,0.0,1.7291339e-07,-9.907208,22724000,2_6
