magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27656972,-0.033371296,0.47184402,44340000,2_7
0.27635917,-0.033297755,0.47197258,44363000,2_7
0.2763595,-0.03326943,0.47197443,44384000,2_7
0.27652362,-0.033417407,0.4718678,44407000,2_7
0.27670386,-0.033401813,0.47176322,44428000,2_7
0.27683467,-0.03285353,0.47172493,44448000,2_7
0.2768895,-0.03178974,0.47176564,44471000,2_7
0.27677882,-0.030965751,0.47188538,44492000,2_7
0.2764865,-0.030548755,0.47208396,44515000,2_7
0.27610102,-0.030665016,0.47230193,44536000,2_7
0.27567798,-0.031345762,0.47250432,44556000,2_7
0.275305,-0.032641288,0.47263384,44577000,2_7
0.2750143,-0.035179183,0.4726206,44598000,2_7
0.27488267,-0.039333858,0.47236836,44624000,2_7
0.274764,-0.044056118,0.47202107,44644000,2_7
0.27441847,-0.048633847,0.4717728,44666000,2_7
0.27390486,-0.05212167,0.47169897,44688000,2_7
0.27331376,-0.055356976,0.47167325,44710000,2_7
0.2728827,-0.057935853,0.47161347,44731000,2_7
0.27254656,-0.06010841,0.47153607,44752000,2_7
0.272222,-0.06165011,0.4715247,44776000,2_7
0.27180874,-0.06274782,0.47161847,44796000,2_7
0.27149606,-0.06309231,0.4717526,44820000,2_7
0.27122808,-0.06301557,0.471917,44843000,2_7
0.27105486,-0.062498163,0.47208524,44868000,2_7
0.27089375,-0.061526597,0.4723053,44888000,2_7
0.27077138,-0.060535647,0.47250342,44910000,2_7
0.27064916,-0.059164595,0.47274706,44932000,2_7
0.2705819,-0.057658482,0.4729714,44957000,2_7
0.27054322,-0.05585015,0.4732106,44978000,2_7
0.2705194,-0.054257154,0.47340944,45000000,2_7
0.2705085,-0.0526773,0.47359404,45023000,2_7
0.27051908,-0.050934933,0.47377864,45044000,2_7
0.2705527,-0.049271375,0.47393522,45068000,2_7
0.27062014,-0.04737013,0.47409073,45090000,2_7
0.27070358,-0.045865312,0.47419098,45112000,2_7
0.27081782,-0.044265818,0.4742778,45136000,2_7
0.2709559,-0.042635426,0.47434834,45159000,2_7
0.27108562,-0.041347556,0.4743882,45180000,2_7
0.27123085,-0.04014417,0.47440863,45200000,2_7
0.2714232,-0.038886733,0.47440338,45223000,2_7
0.2716721,-0.037826795,0.4743466,45244000,2_7
0.2720322,-0.036984175,0.47420672,45264000,2_7
0.2724559,-0.036389697,0.4740094,45284000,2_7
0.27289677,-0.03588379,0.47379434,45304000,2_7
0.27331945,-0.035364345,0.47358972,45327000,2_7
0.27366248,-0.034874227,0.47342798,45348000,2_7
0.27400076,-0.034398343,0.47326705,45371000,2_7
0.2743632,-0.03392432,0.47309127,45396000,2_7
0.274734,-0.03341745,0.47291213,45420000,2_7
0.27500674,-0.03295406,0.47278616,45443000,2_7
0.27516887,-0.03257498,0.4727181,45466000,2_7
0.27532876,-0.03214962,0.47265407,45486000,2_7
0.27547625,-0.03177596,0.47259346,45508000,2_7
0.27561462,-0.03140718,0.4725374,45531000,2_7
0.2757113,-0.031055525,0.4725043,45552000,2_7
0.2757606,-0.030767623,0.47249433,45572000,2_7
0.27579498,-0.030492777,0.47249207,45596000,2_7
0.27581915,-0.030218564,0.4724956,45616000,2_7
0.27581376,-0.030020459,0.47251138,45640000,2_7
0.27578908,-0.02984996,0.47253662,45664000,2_7
0.2757608,-0.02974392,0.47255978,45687000,2_7
0.27571863,-0.029699894,0.47258717,45709000,2_7
0.27566147,-0.029717114,0.47261944,45730000,2_7
0.275598,-0.029765055,0.47265348,45752000,2_7
0.27552578,-0.029851124,0.47269008,45776000,2_7
0.27546135,-0.029985622,0.47271913,45796000,2_7
0.27540994,-0.030166999,0.47273755,45820000,2_7
0.27536178,-0.030425368,0.47274905,45842000,2_7
0.27533206,-0.030660182,0.4727512,45864000,2_7
0.27531412,-0.030927554,0.47274423,45886000,2_7
0.27530858,-0.0312176,0.4727284,45908000,2_7
0.27531245,-0.031579114,0.47270215,45931000,2_7
0.27533168,-0.031867526,0.47267157,45952000,2_7
0.27537417,-0.032201335,0.47262418,45973000,2_7
0.27543736,-0.03256516,0.47256246,45998000,2_7
0.27550155,-0.032899715,0.47250187,46020000,2_7
0.27556977,-0.033195473,0.4724414,46044000,2_7
0.27566853,-0.03351384,0.47236133,46064000,2_7
0.27576664,-0.033765703,0.4722861,46084000,2_7
0.27587566,-0.03397723,0.47220728,46107000,2_7
0.27594507,-0.033991717,0.4721657,46128000,2_7
0.2760094,-0.03395979,0.47213036,46151000,2_7
0.27602383,-0.033928968,0.47212416,46176000,2_7
0.27598634,-0.033877917,0.47214973,46200000,2_7
0.2759559,-0.033838518,0.47217035,46220000,2_7
0.2759225,-0.03380012,0.47219262,46242000,2_7
0.27579767,-0.033780757,0.4722669,46262000,2_7
0.27555084,-0.03377535,0.47241133,46284000,2_7
0.27527505,-0.033781275,0.47257173,46306000,2_7
0.27507755,-0.03379119,0.47268596,46326000,2_7
0.27502388,-0.033788946,0.47271737,46348000,2_7
0.27512038,-0.033763926,0.47266302,46368000,2_7
0.27519518,-0.033739857,0.4726212,46388000,2_7
0.2752576,-0.03371535,0.4725866,46408000,2_7
0.27532586,-0.03369289,0.47254843,46429000,2_7
0.2753967,-0.03367076,0.47250873,46452000,2_7
0.27545932,-0.03365106,0.47247362,46472000,2_7
0.27551255,-0.03363593,0.47244364,46496000,2_7
0.2755383,-0.033640087,0.47242832,46520000,2_7
0.27550328,-0.03367968,0.47244594,46541000,2_7
0.2755176,-0.033692013,0.4724367,46564000,2_7
0.27557373,-0.033679884,0.4724048,46586000,2_7
0.27561083,-0.033670697,0.47238386,46608000,2_7
0.27563822,-0.03366314,0.4723684,46630000,2_7
0.27566752,-0.03365618,0.4723518,46652000,2_7
0.27569583,-0.033648577,0.47233582,46672000,2_7
0.27571392,-0.03364266,0.47232568,46695000,2_7
0.27565867,-0.03365984,0.4723567,46718000,2_7
0.27555138,-0.0336913,0.4724171,46739000,2_7
0.27556387,-0.03368344,0.47241032,46760000,2_7
0.27558607,-0.03366886,0.47239846,46780000,2_7
0.27559045,-0.03365523,0.47239685,46803000,2_7
0.27559772,-0.033639748,0.4723937,46823000,2_7
0.2756086,-0.0336262,0.47238833,46843000,2_7
0.27561843,-0.03361382,0.47238347,46864000,2_7
0.27556396,-0.03360406,0.47241592,46891000,2_7
0.2754665,-0.0335979,0.4724732,46912000,2_7
0.27548218,-0.033583097,0.4724651,46935000,2_7
0.27549976,-0.03356606,0.47245607,46958000,2_7
0.27552497,-0.03354931,0.47244257,46979000,2_7
0.27558047,-0.033533238,0.47241133,46999000,2_7
0.27564874,-0.033516746,0.47237268,47024000,2_7
