timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
19477000,19477000,2.6779451,3.5801747,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
19485000,19485000,2.4980917,3.5532904,-2.5132723,-1.2566352,1.9894433e-06,1.256639,2.513276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
20473000,20473000,-0.44417042,3.7310362,-2.5093932,-1.2531987,0.00013158751,1.2551638,2.5141187,0.118515514,0.11197827,0.105618924,0.10821532,0.11619271,-0.082591,-0.07802871,-0.08282916,-0.09036653,-0.09022396,0.19930753,0.20099895,0.20131002,0.19980858,0.19857496
21471000,21471000,-0.05303786,3.0379791,-2.4571502,-1.1802336,0.0030217394,1.1913496,2.479422,-0.096239924,-0.089279756,-0.025581438,0.011941049,-0.02939984,0.14405204,0.07532525,0.06005563,0.11405594,0.17008062,0.17032775,0.21329662,0.23979002,0.20873137,0.16785431
22465000,22465000,0.017142331,2.8026729,-2.4433558,-1.1486902,0.0065968065,1.159226,2.451948,0.058534775,0.05949181,0.012217723,-0.023026928,0.0012218021,-0.09291079,-0.037404805,-0.019487124,-0.055636518,-0.105561666,0.15472846,0.21473083,0.25897193,0.21615261,0.15541613
23477000,23477000,0.14036445,2.0691266,-2.3882518,-1.0311835,0.03449293,1.0673965,2.3567898,0.079495326,0.09464333,0.06179215,0.024229713,0.023222692,-0.01790082,0.031222943,0.056616094,0.0413965,-0.008095234,0.10307321,0.21027195,0.32694313,0.24373408,0.11597763
24472000,24472000,0.16151333,1.8865138,-2.3720407,-0.99711037,0.04333989,1.0448134,2.3284135,-0.1355874,-0.104457304,-0.06698867,-0.05773409,-0.09521753,-0.058274373,-0.097334675,-0.0856337,-0.04855855,-0.019123841,0.09017074,0.20692925,0.34568265,0.25126156,0.10595576
25473000,25473000,0.1880563,1.7968001,-2.3692274,-0.97966945,0.051421724,1.0352958,2.3096282,0.052480374,-0.007162934,0.000634782,0.04728942,0.09502709,0.12260939,0.08936773,0.03698265,0.016735215,0.058986396,0.08332333,0.20230392,0.35435417,0.25771153,0.10230698
26469000,26469000,0.20360439,1.5784608,-2.3505945,-0.93875784,0.06099619,1.004545,2.2686725,0.10985158,0.081849016,0.079531536,0.094993226,0.1192458,0.03820107,0.030938195,0.009630298,-0.0035400074,0.0066968,0.06848744,0.19670601,0.37821093,0.2666634,0.08993215
27465000,27465000,0.13372189,1.5128912,-2.3266563,-0.9367183,0.042427503,0.9819867,2.2688246,-0.010171572,0.051172473,0.044855207,0.0013004206,-0.0519607,-0.0104317665,0.023705933,0.07471493,0.09793086,0.059906475,0.06759642,0.20791431,0.3877326,0.25523445,0.08152222
28476000,28476000,0.13528265,1.3394904,-2.3013172,-0.9016581,0.04724837,0.95417994,2.2368279,0.0371629,0.05811053,0.024491414,-0.018058904,-0.03435729,-0.057454623,0.0026637372,0.032878347,0.02443103,-0.032528277,0.056604125,0.2054096,0.4091694,0.25825188,0.07056506
29473000,29473000,0.11136575,1.3076546,-2.2898426,-0.8986248,0.040660154,0.9442146,2.236104,0.0076346756,-0.0003552797,0.014546284,0.032855406,0.0392588,0.03673788,0.01036638,-0.002164986,0.0019906946,0.02704832,0.055722076,0.20981686,0.4139874,0.25346872,0.06700492
30473000,30473000,0.0902644,1.0884255,-2.2429628,-0.8520988,0.037012663,0.8947543,2.1888008,-0.024863355,-0.05390578,-0.028897963,0.011044109,0.041093197,0.032611758,-0.02180357,-0.05472924,-0.056725487,-0.0070769396,0.042437404,0.21017104,0.4460449,0.250222,0.0511247
