timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
32000,0,0,1,0,0,0,0,0
532000,0,0,1,0,0,0,0,0
1036000,0,0,1,0,0,0,0,0
1544000,0,0,1,0,0,0,0,0
2044000,0,0,1,0,0,0,0,0
2552000,0,0,1,0,0,0,0,0
3023000,0,0,1,0,0,0,0,0
3527000,0,0,1,0,0,0,0,0
4032000,0,0,1,0,0,0,0,0
4547000,0,0,1,0,0,0,0,0
5052000,0,0,1,0,0,0,0,0
5552000,0,0,1,0,0,0,0,0
6056000,0,0,1,0,0,0,0,0
6564000,0,0,1,0,0,0,0,0
7072000,0,0,1,0,0,0,0,0
7572000,0,0,1,0,0,0,0,0
8075000,0,0,1,0,0,0,0,0
8575000,0,0,1,0,0,0,0,0
9088000,0,0,1,0,0,0,0,0
9604000,0,0,1,0,0,0,0,0
10116000,0,0,1,0,0,0,0,0
10628000,0,0,1,0,0,0,0,0
11096000,0,0,1,0,0,0,0,0
11612000,0,0,1,0,0,0,0,0
12120000,0,0,1,0,0,0,0,0
12624000,0,0,1,0,0,0,0,0
13132000,0,0,1,0,0,0,0,0
13636000,0,0,1,0,0,0,0,0
14136000,0,0,1,0,0,0,0,0
14636000,0,0,1,0,0,0,0,0
15140000,0,0,1,0,0,0,0,0
15648000,0,0,1,0,0,0,0,0
16159000,0,0,1,0,0,0,0,0
16659000,0,0,1,0,0,0,0,0
17164000,0,0,1,0,0,0,0,0
17671000,0,0,1,0,0,0,0,0
18176000,0,0,1,0,0,0,0,0
18680000,0,0,1,0,0,0,0,0
19184000,0,0,1,0,0,0,0,0
19691000,0,0,1,0,0,0,0,0
20200000,0,0,1,0,0,0,0,0
20712000,0,0,1,0,0,0,0,0
21219000,0,0,1,0,0,0,0,0
21723000,0,0,1,0,0,0,0,0
22040000,0,0,1,0,0,0,0,0
22540000,0,0,1,0,0,0,0,0
22747000,1,0,1,0,0,0,0,0
22840000,1,0,1,0,0,0,0,0
22944000,1,0,1,0,0,0,0,0
23444000,1,0,1,0,0,0,0,0
23952000,1,0,1,0,0,0,0,0
24459000,1,0,1,0,0,0,0,0
24968000,1,0,1,0,0,0,0,0
25479000,1,0,1,0,0,0,0,0
25979000,1,0,1,0,0,0,0,0
26479000,1,0,1,0,0,0,0,0
26983000,1,0,1,0,0,0,0,0
27488000,1,0,1,0,0,0,0,0
27992000,1,0,1,0,0,0,0,0
28496000,1,0,1,0,0,0,0,0
28508000,1,0,1,0,0,0,0,0
29019000,1,0,1,0,0,0,0,0
29519000,1,0,1,0,0,0,0,0
30024000,1,0,1,0,0,0,0,0
30535000,1,0,1,0,0,0,0,0
31035000,1,0,1,0,0,0,0,0
31535000,1,0,1,0,0,0,0,0
32035000,1,0,1,0,0,0,0,0
32540000,1,0,1,0,0,0,0,0
33040000,1,0,1,0,0,0,0,0
33548000,1,0,1,0,0,0,0,0
34048000,1,0,1,0,0,0,0,0
34527000,1,0,1,0,0,0,0,0
34544000,1,0,1,0,0,0,0,0
35044000,1,0,1,0,0,0,0,0
35548000,1,0,1,0,0,0,0,0
36048000,1,0,1,0,0,0,0,0
36548000,1,0,1,0,0,0,0,0
37048000,1,0,1,0,0,0,0,0
37555000,1,0,1,0,0,0,0,0
38056000,1,0,1,0,0,0,0,0
38572000,1,0,1,0,0,0,0,0
39080000,1,0,1,0,0,0,0,0
39588000,1,0,1,0,0,0,0,0
40099000,1,0,1,0,0,0,0,0
40608000,1,0,1,0,0,0,0,0
41108000,1,0,1,0,0,0,0,0
41608000,1,0,1,0,0,0,0,0
42108000,1,0,1,0,0,0,0,0
42616000,1,0,1,0,0,0,0,0
43120000,1,0,1,0,0,0,0,0
43628000,1,0,1,0,0,0,0,0
44132000,1,0,1,0,0,0,0,0
44632000,1,0,1,0,0,0,0,0
45132000,1,0,1,0,0,0,0,0
45648000,1,0,1,0,0,0,0,0
46156000,1,0,1,0,0,0,0,0
46664000,1,0,1,0,0,0,0,0
47171000,1,0,1,0,0,0,0,0
47676000,1,0,1,0,0,0,0,0
48183000,1,0,1,0,0,0,0,0
48684000,1,0,1,0,0,0,0,0
49184000,1,0,1,0,0,0,0,0
49684000,1,0,1,0,0,0,0,0
50184000,1,0,1,0,0,0,0,0
50684000,1,0,1,0,0,0,0,0
51184000,1,0,1,0,0,0,0,0
51688000,1,0,1,0,0,0,0,0
52192000,1,0,1,0,0,0,0,0
52692000,1,0,1,0,0,0,0,0
53204000,1,0,1,0,0,0,0,0
53716000,1,0,1,0,0,0,0,0
54228000,1,0,1,0,0,0,0,0
54540000,1,0,1,0,0,0,0,0
54552000,1,0,1,0,0,0,0,0
55068000,1,0,1,0,0,0,0,0
55576000,1,0,1,0,0,0,0,0
56080000,1,0,1,0,0,0,0,0
56592000,1,0,1,0,0,0,0,0
57096000,1,0,1,0,0,0,0,0
57596000,1,0,1,0,0,0,0,0
58104000,1,0,1,0,0,0,0,0
58611000,1,0,1,0,0,0,0,0
59116000,1,0,1,0,0,0,0,0
