timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6879000,6875000,0.9981635,-3.8389026e-05,2.3274447e-06,0.060577605,0.998166,0.0,5.551115e-17,0.060535915,1
6884000,6879000,0.9981635,-3.841041e-05,2.3287448e-06,0.060577706,0.998166,0.0,5.551115e-17,0.060535915,1
6927000,6923000,0.9999979,-3.8428127e-05,4.748101e-06,-0.002084171,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
6979000,6975000,0.9999979,-3.8818973e-05,4.7412896e-06,-0.0020831295,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7031000,7027000,0.9999979,-3.9354152e-05,4.7104895e-06,-0.0020823886,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7080000,7076000,0.9999979,-4.0039507e-05,4.6702203e-06,-0.0020819006,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7132000,7128000,0.9999979,-4.094126e-05,4.61352e-06,-0.0020815607,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7180000,7176000,0.9999979,-4.1893563e-05,4.561518e-06,-0.0020814165,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7229000,7224000,0.9999979,-4.2905318e-05,4.5128e-06,-0.0020814077,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7275000,7271000,0.9999979,-4.3976528e-05,4.4692706e-06,-0.0020815276,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7332000,7328000,0.9999979,-4.498912e-05,4.41148e-06,-0.0020817395,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7379000,7376000,0.9999979,-4.6168334e-05,4.3495493e-06,-0.0020820368,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7427000,7423000,0.9999979,-4.7114932e-05,4.298161e-06,-0.00208227,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7479000,7474000,0.9999979,-4.819355e-05,4.244291e-06,-0.0020825807,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7532000,7525000,0.9999979,-4.8888152e-05,4.175946e-06,-0.0020828075,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7575000,7571000,0.9999979,-4.95673e-05,4.099396e-06,-0.002083016,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7631000,7627000,0.9999979,-5.0392697e-05,4.0128402e-06,-0.002083246,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7680000,7675000,0.9999979,-5.1213257e-05,3.9462107e-06,-0.0020834415,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7732000,7727000,0.9999979,-5.1660994e-05,3.84706e-06,-0.0020835963,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7783000,7775000,0.9999979,-5.2069227e-05,3.7398408e-06,-0.0020837532,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7824000,7819000,0.9999979,-5.249143e-05,3.646165e-06,-0.0020838538,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7880000,7876000,0.9999979,-5.3138134e-05,3.5447808e-06,-0.0020839516,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7932000,7928000,0.9999979,-5.3416752e-05,3.4081315e-06,-0.0020840357,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
7979000,7975000,0.9999979,-5.3527714e-05,3.262708e-06,-0.0020840599,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8032000,8028000,0.9999979,-5.3756146e-05,3.1149636e-06,-0.002084074,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8076000,8069000,0.9999979,-5.4080232e-05,3.0177368e-06,-0.0020840687,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8131000,8127000,0.9999979,-5.4092205e-05,2.8389477e-06,-0.0020840394,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8176000,8172000,0.9999979,-5.3841042e-05,2.6774474e-06,-0.0020839935,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8231000,8227000,0.9999979,-5.364788e-05,2.4864416e-06,-0.002083902,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8276000,8272000,0.9999979,-5.371052e-05,2.357103e-06,-0.0020837968,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8332000,8328000,0.9999979,-5.3372692e-05,2.1582134e-06,-0.002083639,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8379000,8375000,0.9999979,-5.2768268e-05,1.9655884e-06,-0.00208346,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8432000,8428000,0.9999979,-5.227543e-05,1.7636494e-06,-0.002083227,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8479000,8475000,0.9999979,-5.213613e-05,1.5949001e-06,-0.002082975,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8525000,8520000,0.9999979,-5.19118e-05,1.4380223e-06,-0.0020827388,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8582000,8576000,0.9999979,-5.0872655e-05,1.1715281e-06,-0.002082357,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8631000,8627000,0.9999979,-5.017564e-05,9.67027e-07,-0.0020820207,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8676000,8672000,0.9999979,-4.9739643e-05,8.009073e-07,-0.0020817185,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8736000,8727000,0.9999979,-4.9107926e-05,5.7726646e-07,-0.0020812543,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8780000,8775000,0.9999979,-4.8162925e-05,3.77218e-07,-0.0020808773,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8828000,8824000,0.9999979,-4.7321228e-05,1.7084366e-07,-0.0020804254,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8879000,8875000,0.9999979,-4.6900892e-05,-6.8373334e-09,-0.0020798868,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8928000,8919000,0.9999979,-4.6758894e-05,-1.2804821e-07,-0.0020794894,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
8981000,8976000,0.9999979,-4.547904e-05,-3.7597985e-07,-0.0020788703,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
9030000,9028000,0.9999979,-4.466439e-05,-5.6874734e-07,-0.0020783253,0.998035,-5.030643e-12,1.3642423e-12,-0.06265887,2
