gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
0.015978966,-0.007190535,2.0797163e-08,0.0,1.6923613e-07,-9.696516,27361000,2_6
0.013848438,-0.00053263234,2.3324793e-08,0.0,1.7017635e-07,-9.750386,27372000,2_6
0.01304949,0.00079894846,6.018867e-09,0.0,1.7055244e-07,-9.7719345,27376000,2_6
0.012516859,0.0010652647,1.3188713e-09,0.0,1.7084494e-07,-9.788693,27380000,2_6
0.010918962,0.00026631617,-1.8630246e-09,0.0,1.7140908e-07,-9.821016,27388000,2_6
0.00958738,-0.0021305294,-5.711127e-09,0.0,1.72203e-07,-9.866505,27396000,2_6
0.008255801,-0.006924219,-1.0818597e-08,0.0,1.7381181e-07,-9.958684,27409000,2_6
0.007456852,-0.010386329,-2.2924333e-08,0.0,1.7494001e-07,-10.023325,27415000,2_6
0.00612527,-0.014913702,-6.170654e-09,0.0,1.7642346e-07,-10.108319,27424000,2_6
0.0055926396,-0.01571265,-5.6231046e-09,0.0,1.768831e-07,-10.134655,27428000,2_6
0.0053263223,-0.015446334,6.7606915e-10,0.0,1.7765616e-07,-10.178948,27440000,2_6
0.0053263223,-0.012516858,3.3277516e-09,0.0,1.7840831e-07,-10.222044,27448000,2_6
0.0053263223,-0.006657903,1.0640645e-08,0.0,1.7886796e-07,-10.24838,27460000,2_6
0.0055926396,-0.00346211,7.770797e-09,0.0,1.7901424e-07,-10.256761,27463000,2_6
0.00612527,-0.0002663161,4.9245883e-09,0.0,1.7911869e-07,-10.262745,27473000,2_6
0.006657904,0.003728426,2.0574008e-08,0.0,1.7924407e-07,-10.269928,27479000,2_6
0.007723165,0.009321067,-0.0007989425,0.0,1.7934852e-07,-10.275913,27489000,2_6
0.008255798,0.0106526455,-0.0010652625,0.0,1.793485e-07,-10.275913,27496000,2_6
0.008522116,0.011185277,-0.0010652632,0.0,1.7932761e-07,-10.274716,27501000,2_6
0.008788432,0.010652645,-0.0010652674,0.0,1.7924404e-07,-10.269927,27508000,2_6
0.00958738,0.007989484,-0.0010652672,0.0,1.7899335e-07,-10.255563,27516000,2_6
0.009587379,0.0055926396,-0.0010652759,0.0,1.7886799e-07,-10.248381,27520000,2_6
0.009587379,0.0031957938,-0.0010652721,0.0,1.7874264e-07,-10.2411995,27524000,2_6
0.009321063,0.0013315807,-0.00106527,0.0,1.7859635e-07,-10.232818,27529000,2_6
0.008522114,-0.0034621095,-0.0010652783,0.0,1.781785e-07,-10.208876,27541000,2_6
0.008522115,-0.0053263223,-0.0010652712,0.0,1.7792779e-07,-10.194511,27548000,2_6
0.008522117,-0.0061252713,-0.0010652688,0.0,1.7769797e-07,-10.181343,27552000,2_6
0.008522116,-0.0063915867,-0.0010652653,0.0,1.7750989e-07,-10.170568,27557000,2_6
0.008522116,-0.0063915877,-0.0010652647,0.0,1.7736366e-07,-10.1621895,27560000,2_6
0.008522116,-0.00612527,-0.001065264,0.0,1.7723829e-07,-10.155006,27565000,2_6
0.008522117,-0.00479369,-0.0010652598,0.0,1.7702936e-07,-10.143036,27572000,2_6
0.009321065,-0.0010652649,-0.0010652596,0.0,1.7650703e-07,-10.113108,27580000,2_6
0.009587381,0.0002663161,-0.0010652605,0.0,1.7633988e-07,-10.103531,27584000,2_6
0.009853697,0.0034621095,-0.0010652593,0.0,1.7600557e-07,-10.084377,27593000,2_6
0.01038633,0.005060006,-0.0010652586,0.0,1.7585936e-07,-10.075998,27596000,2_6
0.010652645,0.006657903,-0.0010652607,0.0,1.756922e-07,-10.0664215,27604000,2_6
0.010918962,0.007989485,-0.0010652561,0.0,1.7546238e-07,-10.053255,27608000,2_6
0.011717909,0.009321064,-0.0010652634,0.0,1.7514895e-07,-10.035296,27616000,2_6
0.011717911,0.009321064,-0.0010652646,0.0,1.7502362e-07,-10.028114,27620000,2_6
0.011984225,0.008788432,-0.0010652672,0.0,1.7489826e-07,-10.020932,27623000,2_6
0.0127831735,0.007456851,-0.0010652684,0.0,1.7464752e-07,-10.006566,27632000,2_6
0.012783174,0.0063915877,-0.0010652703,0.0,1.7452217e-07,-9.999384,27636000,2_6
0.012783175,0.0053263223,-0.0010652689,0.0,1.7439682e-07,-9.992201,27639000,2_6
0.0127831735,0.0026631611,-0.0010652712,0.0,1.7412519e-07,-9.976639,27653000,2_6
