magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27309036,-0.034394957,0.4737932,26930000,2_6
0.2729613,-0.034396537,0.47386748,26952000,2_6
0.2729039,-0.03444944,0.4738967,26975000,2_6
0.27287918,-0.0345429,0.47390413,26996000,2_6
0.27281958,-0.03469023,0.47392768,27017000,2_6
0.27272776,-0.034839325,0.4739696,27039000,2_6
0.27262104,-0.035028256,0.47401708,27060000,2_6
0.27257907,-0.035207585,0.4740279,27080000,2_6
0.2726025,-0.035348315,0.47400394,27100000,2_6
0.27265635,-0.035516605,0.4739604,27120000,2_6
0.27269247,-0.03566074,0.4739288,27143000,2_6
0.27272415,-0.03580694,0.47389957,27164000,2_6
0.2727835,-0.03592781,0.47385627,27187000,2_6
0.2729093,-0.036037467,0.47377548,27210000,2_6
0.27302587,-0.03610121,0.47370344,27231000,2_6
0.2731434,-0.03615218,0.47363177,27256000,2_6
0.27324772,-0.036179855,0.4735695,27276000,2_6
0.27333155,-0.036180135,0.4735211,27297000,2_6
0.2734649,-0.036161948,0.4734455,27319000,2_6
0.273599,-0.036130417,0.4733704,27343000,2_6
0.27374908,-0.03606658,0.47328854,27363000,2_6
0.2738577,-0.03598074,0.47323224,27383000,2_6
0.2739416,-0.035877235,0.4731915,27403000,2_6
0.27403134,-0.03575343,0.47314894,27425000,2_6
0.27415094,-0.035612736,0.47309023,27449000,2_6
0.27429613,-0.035440393,0.473019,27472000,2_6
0.27438968,-0.03529501,0.4729756,27492000,2_6
0.27447596,-0.03511654,0.47293887,27516000,2_6
0.27455485,-0.034926936,0.4729071,27536000,2_6
0.27462548,-0.034769207,0.47287768,27556000,2_6
0.27471152,-0.034594376,0.47284055,27576000,2_6
0.27480513,-0.03439476,0.4728007,27600000,2_6
0.2748926,-0.034179375,0.4727655,27620000,2_6
0.27494603,-0.033998735,0.47274745,27643000,2_6
0.27499625,-0.033786308,0.47273347,27664000,2_6
0.2750369,-0.033607427,0.47272256,27684000,2_6
0.2750877,-0.03341438,0.47270665,27708000,2_6
