timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
764000,764000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005000,1005000,0.0,0.0,0.0,7.3650135e-19,-6.492084e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012207031,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505000,1505000,0.0,0.0,0.0,3.042018e-15,-2.7104527e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035858154,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,1.391236e-14,-1.1808676e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053691864,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2493000,2493000,0.0,0.0,0.0,5.8707244e-14,-4.884283e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010047913,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3002000,3002000,0.0,0.0,0.0,9.3949025e-14,-7.779403e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032100677,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3497000,3497000,0.0,0.0,0.0,2.214583e-14,-1.8506988e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06849289,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3997000,3997000,0.0,0.0,0.0,-2.3313968e-13,1.9151178e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009052277,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4492000,0.0,0.0,0.0,-7.441912e-13,6.1131863e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01272583,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002000,4990000,0.0,0.0,0.0,-7.702929e-13,6.3247784e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333519,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5501000,5493000,0.0,0.0,0.0,1.1278467e-11,-3.1378474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08169556,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001000,5990000,0.0,0.0,0.0,6.1139727e-10,-5.0101313e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021781921,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6492000,6484000,0.0,0.0,0.0,2.0013995e-09,-0.000112870126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020420074,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6997000,6989000,0.0,0.0,0.0,-1.3622504e-06,-0.00020528621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023384094,0.0,0.0,nan,0.0,0.0,1.9798987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7501000,7490000,0.0,0.0,0.0,-1.2029845e-05,-0.00030212957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047309875,0.0,0.0,nan,0.0,0.0,4.8481394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7997000,7982000,0.0,0.0,0.0,-3.154553e-05,-0.0004981911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016620636,0.0,0.0,nan,0.0,0.0,4.924927e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8496000,0.0,0.0,0.0,-3.685092e-05,-0.00059429096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03127289,0.0,0.0,nan,0.0,0.0,4.5393594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000000,9000000,0.0,0.0,0.0,-2.7103057e-05,-0.0006154808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013355255,0.0,0.0,nan,0.0,0.0,4.567625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9501000,9501000,0.0,0.0,0.0,-1.4195713e-05,-0.0005815051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028583527,0.0,0.0,nan,0.0,0.0,3.7825666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004000,10004000,0.0,0.0,0.0,-4.7087292e-07,-0.0005607364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017173767,0.0,0.0,nan,0.0,0.0,5.3693075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10493000,10493000,0.024186343,-0.008724753,0.10874824,-0.0041606314,0.009559743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06272507,0.0,0.0,nan,0.0,0.0,0.00023548817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11001000,11001000,-0.017068932,0.037693523,0.07802637,-0.0024990044,0.01777561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016098022,0.0,0.0,nan,0.0,0.0,0.0013662763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11501000,11501000,0.018316342,0.05783358,0.086402655,0.008127254,0.030315598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044872284,0.0,0.0,nan,0.0,0.0,3.612088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11994000,11994000,-0.044236664,0.010144267,-0.18206598,-0.0070678852,-0.00016553569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037570953,0.0,0.0,nan,0.0,0.0,0.0072331536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12492000,12492000,-0.07411602,-0.026528964,-0.014764822,-0.019936804,-0.0015383881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0709877,0.0,0.0,nan,0.0,0.0,0.0030016424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12993000,12993000,0.017416563,-0.019206528,0.07949997,0.0057392046,-0.0005277349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09910202,0.0,0.0,nan,0.0,0.0,0.00012931181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13500000,13500000,-0.02081746,-0.019191291,0.20014781,-0.0046123173,-0.0038480933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023025513,0.0,0.0,nan,0.0,0.0,-0.0005981033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13992000,13992000,0.013844894,-0.05124326,-0.1023218,0.007146621,-0.00945253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022769928,0.0,0.0,nan,0.0,0.0,-0.001633388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14492000,14492000,-0.011921875,-0.0091719,0.12183165,0.020989098,-0.0054935925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021690369,0.0,0.0,nan,0.0,0.0,-0.0029358757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
