timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
764000,764000,0.0,0.0,0.008656897,1.110223e-16,2.9809773e-05,2.6833268e-07,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
778000,778000,0.0,0.0,0.009266797,1.110223e-16,8.8244655e-05,1.3309549e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
960000,960000,0.0,0.0,0.010713834,1.110223e-16,0.00044291705,0.010670615,512,0,1.3943752,1.5657727,0.0,nan,nan,0.0007685059,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1169000,1169000,0.0,0.0,0.012805676,1.110223e-16,0.00021148566,0.0049714167,512,0,1.2827982,1.1698263,0.0,nan,nan,0.0006870367,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1364000,1364000,0.0,0.0,0.0143672675,1.110223e-16,8.552871e-05,0.002686713,512,0,0.96977264,1.0189245,0.0,nan,nan,0.0008173979,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1561000,1561000,0.0,0.0,0.013249438,1.110223e-16,0.00027408637,0.004531037,512,0,0.8187065,0.8919216,0.0,nan,nan,0.0011875979,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1769000,1769000,0.0,0.0,0.014757343,1.8039523e-15,0.00023072725,6.559212e-05,512,0,0.7432555,0.81267107,0.0,nan,nan,0.0022032745,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1968000,1968000,0.0,0.0,0.013201994,1.7763568e-15,7.479172e-05,0.0011414671,512,0,0.71493787,0.76521677,0.0,nan,nan,0.0010614604,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2160000,2160000,0.0,0.0,0.012967261,4.6345404e-14,0.00069657154,0.0031733727,512,0,0.6725656,0.7336809,0.0,nan,nan,0.002305626,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2369000,2369000,0.0,0.0,0.014411302,1.8108387e-15,0.00038190698,0.00048121996,512,0,0.6704456,0.71825767,0.0,nan,nan,0.0007473599,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2562000,2562000,0.0,0.0,0.014343707,1.3909052e-13,0.0010628877,0.0022514546,512,0,0.6827275,0.7130967,0.0,nan,nan,0.00190981,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2764000,2764000,0.0,0.0,0.014348125,1.479587e-13,0.000602738,0.0014092606,512,0,0.6848605,0.7303374,0.0,nan,nan,0.001301487,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2961000,2961000,0.0,0.0,0.015767157,5.8821946e-14,4.3661334e-05,0.00030100718,512,0,0.6763964,0.73665345,0.0,nan,nan,0.0003707489,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3162000,3162000,0.0,0.0,0.015565669,2.282342e-13,0.0006449735,0.0010607988,512,0,0.66094214,0.7449917,0.0,nan,nan,0.0005088268,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3364000,3364000,0.0,0.0,0.01484643,7.9335177e-13,0.001390405,0.00278987,512,0,0.64845544,0.7716803,0.0,nan,nan,0.0020960027,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3568000,3568000,0.0,0.0,0.015467311,2.2535448e-12,0.002674384,0.0054463344,512,0,0.6386757,0.7808262,0.0,nan,nan,0.0027304208,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3769000,3769000,0.0,0.0,0.017459756,2.8222774e-12,0.0018071784,0.0039806142,512,0,0.6338192,0.79292333,0.0,nan,nan,3.572009e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3973000,3973000,0.0,0.0,0.015871277,3.1146821e-12,0.0011957949,0.0027513886,512,0,0.6146636,0.79826176,0.0,nan,nan,0.0002731778,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4168000,4168000,0.0,0.0,0.015294674,3.4908606e-12,0.0011758143,0.0025430452,512,0,0.59653336,0.80164385,0.0,nan,nan,0.0011059415,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4370000,4358000,0.0,0.0,0.017098367,2.977403e-12,5.3900294e-05,0.00013996102,512,0,0.5613426,0.8156528,0.0,nan,nan,0.00043296182,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4567000,4561000,0.0,0.0,0.014998443,4.2058024e-12,0.00086543243,0.0019291313,512,0,0.5603264,0.81922686,0.0,nan,nan,3.2676016e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4760000,4753000,0.0,0.0,0.015320194,4.1059725e-12,0.00053388346,0.0011852831,512,0,0.5443508,0.8129207,0.0,nan,nan,0.00059736596,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4969000,4961000,0.0,0.0,0.014847767,4.3252554e-12,0.000762715,0.001548253,512,0,0.54274315,0.8138696,0.0,nan,nan,0.0017162081,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5168000,5161000,0.0,0.0,0.014807147,1.2542973e-05,0.0012577059,0.0026613083,512,0,0.53473747,0.8095702,0.0,nan,nan,0.00020370417,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5368000,5361000,0.0,0.0,0.015006508,1.6587246e-05,0.00084765785,0.0020345952,512,0,0.528123,0.8047269,0.0,nan,nan,0.0012892688,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5557000,5549000,0.0,0.0,0.013301016,1.5436426e-05,0.0021606626,0.0046756077,512,0,0.5115237,0.8164956,0.0,nan,nan,0.0033766772,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5768000,5759000,0.0,0.0,0.0137620345,1.4599724e-05,0.0019120689,0.0042855884,512,0,0.5077537,0.7924959,0.0,nan,nan,0.002136164,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5964000,5953000,0.0,0.0,0.014389243,1.3907129e-05,0.0017599694,0.0040768823,512,0,0.4927513,0.80264586,0.0,nan,nan,0.0013490752,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6161000,6148000,0.0,0.0,0.016929505,1.3489365e-05,0.0009427442,0.0016088417,512,0,0.47731107,0.7914056,0.0,nan,nan,0.0003858164,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6369000,6358000,0.0,0.0,0.016952988,1.2381443e-05,0.001188871,0.0024934676,512,0,0.47380808,0.78775686,0.0,nan,nan,5.905902e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6565000,6557000,0.0,0.0,0.015910417,1.1411512e-05,0.0020890424,0.0046686884,512,0,0.46606132,0.7800778,0.0,nan,nan,0.0014996094,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6767000,6761000,0.0,0.0,0.015894763,1.0588336e-05,0.0013089682,0.00321304,531,0,0.46271077,0.79574364,0.0,nan,nan,0.00014767479,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
6970000,6960000,0.0,0.0,0.017368758,9.400625e-06,0.00010981345,0.0002439651,531,0,0.45116022,0.78713983,2.3563778e-05,nan,nan,0.0027892871,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7156000,7148000,0.0,0.0,0.016613627,1.0927826e-05,0.0010719454,0.0024551372,531,0,0.4311828,0.7751035,3.942445e-05,nan,nan,0.00093318365,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7356000,7348000,0.0,0.0,0.014215447,1.185757e-05,3.5264453e-05,8.22064e-05,531,0,0.51756334,0.7671236,5.5052107e-05,nan,nan,0.0014494307,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7568000,7557000,0.0,0.0,0.015270933,1.0577849e-05,0.0011048444,0.0027208882,531,0,0.5018916,0.7623,6.676253e-05,nan,nan,0.0025661867,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7757000,7749000,0.0,0.0,0.015082388,9.02759e-06,0.00025482275,0.00035466644,531,0,0.48497033,0.7693199,7.412152e-05,nan,nan,0.0024213232,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7969000,7960000,0.0,0.0,0.014150513,8.057918e-06,0.0019283317,0.0045626033,531,0,0.48607075,0.7648474,7.925497e-05,nan,nan,0.0017399648,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8169000,8160000,0.0,0.0,0.01508631,6.401117e-06,0.0020528352,0.005056005,531,0,0.48718226,0.75718904,7.831343e-05,nan,nan,0.0040903413,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8361000,8352000,0.0,0.0,0.015576133,4.443577e-06,0.0009167039,0.0023807625,531,0,0.48497257,0.74668866,7.103666e-05,nan,nan,0.00018339824,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8568000,8568000,0.0,0.0,0.016573705,5.598062e-06,0.0007744175,0.0019605462,531,0,0.49421364,0.74246055,6.2484454e-05,nan,nan,0.00050410564,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8765000,8765000,0.0,0.0,0.01663602,5.9300355e-06,0.00069659215,0.0017220919,531,0,0.49520096,0.7357332,5.5132026e-05,nan,nan,0.00092661177,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8969000,8969000,0.0,0.0,0.019054325,8.290568e-06,0.0006033492,0.0017891851,531,0,0.4910101,0.72638917,5.5423534e-05,nan,nan,0.0005161243,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9164000,9164000,0.0,0.0,0.018291544,7.1910913e-06,0.0006735712,0.0019995726,531,0,0.48952058,0.7361952,5.2055635e-05,nan,nan,0.0010255612,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
