timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
4997000,1726388538021000,11468804,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.01,0.06,0.07,0.0,0,nan,nan,0,3,0,1,10
5095000,1726388538121000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.02,0.08,0.049999997,0.0,0,nan,nan,0,3,0,1,10
5919000,1726388538945000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.02,-0.02,0.049999997,0.0,0,nan,nan,0,3,0,1,10
6939000,1726388539965000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.07,0.049999997,-0.14,0.0,0,nan,nan,0,3,0,1,10
7961000,1726388540984000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.08,-0.049999997,0.13,0.0,0,nan,nan,0,3,0,1,10
8968000,1726388541994000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.049999997,-0.03,-0.04,0.0,0,nan,nan,0,3,0,1,10
9984000,1726388543010000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.089999996,0.06,0.099999994,0.0,0,nan,nan,0,3,0,1,10
10995000,1726388544026000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.03,0.089999996,0.14999999,0.0,0,nan,nan,0,3,0,1,10
11911000,1726388544940000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.02,0.03,0.08,0.0,0,nan,nan,0,3,0,1,10
12927000,1726388545952000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.04,0.01,0.12,0.0,0,nan,nan,0,3,0,1,10
13944000,1726388546970000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.04,-0.08,0.089999996,0.0,0,nan,nan,0,3,0,1,10
14957000,1726388547982000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.089999996,-0.01,-0.07,0.0,0,nan,nan,0,3,0,1,10
15964000,1726388548989000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.12,0.08,-0.089999996,0.099999994,0.0,0,nan,nan,0,3,0,1,10
16976000,1726388550001000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.01,-0.08,0.14999999,0.0,0,nan,nan,0,3,0,1,10
17985000,1726388551008000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.03,-0.02,0.13,0.0,0,nan,nan,0,3,0,1,10
18988000,1726388552012000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.12,-0.089999996,0.07,-0.01,0.0,0,nan,nan,0,3,0,1,10
19996000,1726388553022000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.08,-0.02,-0.06,0.0,0,nan,nan,0,3,0,1,10
21003000,1726388554033000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.07,0.02,-0.099999994,0.0,0,nan,nan,0,3,0,1,10
21915000,1726388554944000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,-0.04,0.06,0.04,0.0,0,nan,nan,0,3,0,1,10
22935000,1726388555961000,0,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.02,-0.06,0.11,0.0,0,nan,nan,0,3,0,1,10
23949000,1726388556974000,0,401540301,1162594853,50139,50139,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.13,-0.01,-0.13,-0.32999998,0.0,0,nan,nan,0,3,0,1,10
24964000,1726388557988000,0,401540296,1162594856,50352,50352,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.12,-0.08,0.099999994,0.01,0.0,0,nan,nan,0,3,0,1,10
25981000,1726388559009000,0,401540299,1162594861,50504,50504,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.14999999,0.13,-0.08,0.01,0.0,0,nan,nan,0,3,0,1,10
26996000,1726388560025000,0,401540303,1162594858,50606,50606,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.0,0.29999998,0.0,0,nan,nan,0,3,0,1,10
27908000,1726388560932000,0,401540302,1162594853,50594,50594,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.049999997,-0.01,-0.06,0.0,0,nan,nan,0,3,0,1,10
28907000,1726388561932000,0,401540300,1162594850,50608,50608,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.02,-0.07,0.01,0.0,0,nan,nan,0,3,0,1,10
29920000,1726388562944000,0,401540303,1162594854,50641,50641,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.02,0.089999996,-0.099999994,0.0,0,nan,nan,0,3,0,1,10
30927000,1726388563953000,0,401540306,1162594864,50629,50629,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.13,-0.01,0.13,0.13,0.0,0,nan,nan,0,3,0,1,10
31940000,1726388564964000,0,401540307,1162594866,50615,50615,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.14999999,-0.089999996,-0.12,0.11,0.0,0,nan,nan,0,3,0,1,10
32948000,1726388565972000,0,401540307,1162594865,50633,50633,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.07,0.049999997,-0.11,0.0,0,nan,nan,0,3,0,1,10
33963000,1726388566988000,0,401540307,1162594863,50675,50675,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.03,-0.08,0.02,0.0,0,nan,nan,0,3,0,1,10
34967000,1726388567992000,0,401540309,1162594856,50692,50692,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.06,-0.07,0.08,0.0,0,nan,nan,0,3,0,1,10
35980000,1726388569008000,0,401540308,1162594854,50732,50732,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.049999997,-0.04,-0.16,0.0,0,nan,nan,0,3,0,1,10
36984000,1726388570012000,0,401540306,1162594855,50681,50681,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.11,0.04,0.099999994,0.03,0.0,0,nan,nan,0,3,0,1,10
38000000,1726388571024000,0,401540305,1162594855,50663,50663,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.03,-0.06,0.07,0.0,0,nan,nan,0,3,0,1,10
39000000,1726388572028000,0,401540304,1162594856,50660,50660,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.04,-0.04,-0.01,0.0,0,nan,nan,0,3,0,1,10
39907000,1726388572933000,0,401540303,1162594863,50636,50636,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.13,-0.099999994,0.08,0.08,0.0,0,nan,nan,0,3,0,1,10
40923000,1726388573948000,0,401540304,1162594869,50607,50607,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.049999997,-0.07,0.12,0.0,0,nan,nan,0,3,0,1,10
41923000,1726388574952000,0,401540305,1162594872,50611,50611,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.049999997,0.0,0.08,0.0,0,nan,nan,0,3,0,1,10
42927000,1726388575953000,0,401540304,1162594874,50683,50683,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.02,-0.06,0.12,0.0,0,nan,nan,0,3,0,1,10
43936000,1726388576966000,0,401540304,1162594871,50717,50717,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.04,-0.049999997,0.11,0.0,0,nan,nan,0,3,0,1,10
44956000,1726388577981000,0,401540302,1162594866,50735,50735,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.099999994,0.01,-0.12,0.0,0,nan,nan,0,3,0,1,10
45960000,1726388578985000,0,401540305,1162594861,50739,50739,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.01,-0.049999997,-0.17999999,0.0,0,nan,nan,0,3,0,1,10
46965000,1726388579993000,0,401540310,1162594857,50746,50746,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.02,0.049999997,0.17,0.0,0,nan,nan,0,3,0,1,10
47963000,1726388580993000,0,401540312,1162594855,50518,50518,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.06,-0.07,0.57,0.0,0,nan,nan,0,3,0,1,10
