magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.26904222,-0.035333466,0.47603464,44372000,2_7
0.26743397,-0.035296667,0.4769428,44392000,2_7
0.26624182,-0.035279613,0.47761065,44416000,2_7
0.26583257,-0.035439454,0.47782683,44437000,2_7
0.26708087,-0.03549353,0.47712597,44460000,2_7
0.26857638,-0.034956127,0.47632557,44480000,2_7
0.26941234,-0.03414009,0.47591266,44500000,2_7
0.26950824,-0.033447307,0.47590753,44520000,2_7
0.26928088,-0.032927316,0.47607252,44540000,2_7
0.26896814,-0.032693796,0.47626537,44560000,2_7
0.26857898,-0.03284776,0.4764743,44580000,2_7
0.26800713,-0.033531092,0.4767485,44600000,2_7
0.26726717,-0.035350494,0.47703212,44620000,2_7
0.26671734,-0.037898127,0.47714385,44640000,2_7
0.26616243,-0.041450225,0.477158,44660000,2_7
0.2655929,-0.044874012,0.4771657,44680000,2_7
0.26487434,-0.048387278,0.47722188,44700000,2_7
0.26408893,-0.051638912,0.4773166,44720000,2_7
0.2632882,-0.054560766,0.47743395,44740000,2_7
0.26252708,-0.056988288,0.4775698,44760000,2_7
0.26178288,-0.05896456,0.47773847,44780000,2_7
0.26107785,-0.060443908,0.47793958,44800000,2_7
0.2604243,-0.061437882,0.4781694,44820000,2_7
0.25981998,-0.06197838,0.47842836,44841000,2_7
0.25914544,-0.062074535,0.4787816,44864000,2_7
0.25868058,-0.061764088,0.47907305,44885000,2_7
0.25812852,-0.06101988,0.47946596,44908000,2_7
0.25751755,-0.060087383,0.47991204,44928000,2_7
0.2567719,-0.058936246,0.48045397,44948000,2_7
0.256017,-0.057636756,0.4810141,44968000,2_7
0.25534198,-0.056245733,0.4815373,44988000,2_7
0.2546663,-0.054792095,0.4820624,45008000,2_7
0.25374898,-0.053283688,0.4827147,45028000,2_7
0.2525123,-0.051740933,0.48353028,45048000,2_7
0.25120378,-0.050208896,0.4843727,45068000,2_7
0.25010017,-0.04873071,0.4850943,45088000,2_7
0.24936037,-0.047329966,0.48561364,45108000,2_7
0.2491647,-0.046020083,0.48584005,45128000,2_7
0.24966434,-0.04480035,0.48569742,45148000,2_7
0.25098658,-0.043595843,0.48512512,45168000,2_7
0.2527669,-0.042619344,0.4842866,45188000,2_7
0.2551715,-0.041683994,0.48310533,45208000,2_7
0.25806633,-0.040857773,0.48163572,45228000,2_7
0.26158103,-0.04007923,0.47980055,45252000,2_7
0.26576534,-0.039295115,0.4775613,45272000,2_7
0.26950815,-0.038659465,0.47551122,45292000,2_7
0.27297315,-0.038052164,0.47358018,45312000,2_7
0.27576002,-0.03745785,0.47201085,45332000,2_7
0.27769342,-0.036871098,0.47092277,45352000,2_7
0.27889046,-0.03626587,0.47026202,45376000,2_7
0.27955827,-0.03561008,0.4699156,45396000,2_7
0.27981174,-0.035042036,0.4698074,45416000,2_7
0.27988404,-0.034474548,0.46980634,45436000,2_7
0.27978754,-0.033906113,0.46990517,45456000,2_7
0.27957794,-0.03336223,0.47006884,45476000,2_7
0.27932882,-0.03282853,0.47025448,45496000,2_7
0.2790834,-0.03232338,0.47043514,45516000,2_7
0.2788354,-0.031851895,0.47061434,45536000,2_7
0.27858913,-0.031426992,0.47078878,45556000,2_7
0.2783558,-0.031030139,0.47095308,45577000,2_7
0.27813247,-0.030613944,0.4711122,45600000,2_7
0.27800104,-0.03032109,0.47120878,45620000,2_7
0.27793223,-0.03007934,0.4712648,45640000,2_7
0.27787513,-0.029894901,0.47131023,45660000,2_7
0.27777454,-0.029760612,0.471378,45680000,2_7
0.27764583,-0.029664604,0.47145993,45704000,2_7
0.2775485,-0.029612511,0.4715205,45725000,2_7
0.2775348,-0.029629637,0.4715275,45749000,2_7
0.2775917,-0.029707743,0.47148904,45772000,2_7
0.27759656,-0.029809818,0.47147974,45792000,2_7
0.27752358,-0.029941259,0.47151443,45812000,2_7
0.2774142,-0.030101541,0.47156858,45832000,2_7
0.27730894,-0.03029546,0.47161803,45856000,2_7
0.27721238,-0.030540025,0.47165903,45880000,2_7
0.2771438,-0.030796561,0.47168264,45900000,2_7
0.27711973,-0.031036286,0.47168112,45920000,2_7
0.27715755,-0.031289775,0.47164217,45940000,2_7
0.27722117,-0.031550184,0.47158742,45960000,2_7
0.2772467,-0.03181566,0.47155458,45980000,2_7
0.2772488,-0.032061305,0.47153673,46000000,2_7
0.27728468,-0.032156244,0.47150913,46024000,2_7
0.27729726,-0.032204665,0.47149846,46045000,2_7
0.2772495,-0.032251984,0.47152334,46068000,2_7
0.27718347,-0.03228218,0.47156006,46088000,2_7
0.2770977,-0.032310337,0.47160855,46109000,2_7
0.27699113,-0.032343585,0.4716688,46132000,2_7
0.2767833,-0.03240204,0.47178683,46153000,2_7
0.2764104,-0.032509487,0.47199804,46176000,2_7
0.27609,-0.03261693,0.47217807,46196000,2_7
0.27584633,-0.03272855,0.4723127,46216000,2_7
0.27574897,-0.032809023,0.472364,46236000,2_7
0.27579308,-0.032820676,0.47233748,46256000,2_7
0.27583084,-0.032821596,0.47231534,46276000,2_7
0.27586684,-0.032820072,0.47229442,46296000,2_7
0.2759066,-0.032816734,0.47227144,46316000,2_7
0.27594468,-0.032814547,0.47224933,46336000,2_7
0.27597952,-0.032812312,0.47222912,46356000,2_7
0.27601543,-0.032810558,0.47220826,46376000,2_7
0.27602598,-0.03281673,0.47220168,46396000,2_7
0.27602518,-0.032837544,0.4722007,46416000,2_7
0.27604264,-0.032857936,0.47218904,46436000,2_7
0.27607274,-0.032865476,0.47217092,46456000,2_7
0.2760927,-0.032871917,0.47215882,46476000,2_7
0.27610716,-0.03287981,0.47214985,46496000,2_7
0.27611777,-0.032887906,0.47214305,46516000,2_7
0.27612606,-0.032897722,0.47213754,46536000,2_7
0.27613395,-0.03290865,0.47213212,46557000,2_7
0.27611455,-0.0329453,0.4721409,46580000,2_7
0.27605003,-0.033001777,0.47217473,46600000,2_7
0.276033,-0.033026215,0.47218296,46620000,2_7
0.27603462,-0.033031758,0.47218162,46640000,2_7
0.27602515,-0.033036105,0.4721869,46660000,2_7
0.27601215,-0.033038545,0.47219428,46680000,2_7
0.2759989,-0.033040307,0.4722019,46700000,2_7
0.2759851,-0.0330412,0.47220993,46720000,2_7
0.27593178,-0.0330451,0.47224078,46741000,2_7
0.2757709,-0.033060413,0.47233367,46764000,2_7
0.27574965,-0.033061367,0.47234604,46784000,2_7
0.2757431,-0.03305881,0.47235003,46804000,2_7
0.2757287,-0.033056438,0.4723586,46824000,2_7
0.27571535,-0.033052906,0.47236663,46844000,2_7
0.2757235,-0.03304831,0.4723622,46864000,2_7
0.27576682,-0.033044275,0.47233722,46884000,2_7
0.27581763,-0.03304508,0.47230744,46904000,2_7
0.2758702,-0.033045195,0.47227678,46925000,2_7
0.27594143,-0.03304137,0.4722354,46948000,2_7
0.27599704,-0.03303768,0.47220317,46968000,2_7
0.27605048,-0.033033933,0.47217217,46988000,2_7
0.2761068,-0.03302993,0.47213957,47008000,2_7
0.276151,-0.033026792,0.4721139,47028000,2_7
0.27619836,-0.03302334,0.47208643,47048000,2_7
0.27624434,-0.03302,0.4720598,47069000,2_7
0.2762974,-0.0330163,0.47202903,47092000,2_7
0.27633744,-0.03301362,0.47200575,47112000,2_7
0.27637735,-0.033013195,0.4719824,47132000,2_7
0.27641404,-0.03301167,0.47196102,47152000,2_7
0.27644953,-0.033008378,0.4719405,47172000,2_7
0.27648196,-0.033004798,0.4719217,47192000,2_7
0.27651522,-0.033000812,0.47190252,47212000,2_7
0.27654678,-0.032996338,0.4718843,47236000,2_7
0.2765791,-0.032990884,0.47186574,47256000,2_7
0.27660593,-0.032986343,0.47185037,47276000,2_7
0.2766303,-0.03298184,0.47183633,47296000,2_7
0.27665287,-0.03297752,0.47182345,47316000,2_7
0.27667534,-0.032972973,0.47181064,47336000,2_7
0.27669737,-0.032968424,0.47179794,47356000,2_7
0.27671954,-0.032963846,0.4717853,47380000,2_7
0.2767428,-0.03295908,0.47177202,47400000,2_7
0.2767621,-0.032955155,0.47176096,47420000,2_7
0.27677965,-0.032951623,0.4717509,47440000,2_7
0.27679634,-0.032948244,0.4717413,47460000,2_7
0.2768131,-0.032945037,0.47173172,47480000,2_7
0.2768293,-0.03294196,0.47172242,47500000,2_7
0.27684495,-0.032939002,0.47171345,47520000,2_7
0.2768602,-0.032936152,0.47170472,47540000,2_7
0.2768776,-0.032932926,0.4716947,47564000,2_7
0.27689725,-0.032929193,0.47168347,47584000,2_7
0.2769146,-0.03292581,0.47167355,47604000,2_7
0.2769314,-0.032922503,0.47166386,47624000,2_7
0.27694753,-0.032919325,0.47165462,47644000,2_7
0.27696297,-0.032916266,0.47164574,47664000,2_7
0.27697784,-0.032913323,0.47163725,47684000,2_7
0.27699208,-0.032910507,0.47162905,47704000,2_7
0.2770066,-0.03290763,0.47162077,47725000,2_7
0.27702147,-0.032904692,0.47161222,47748000,2_7
0.27703395,-0.032902215,0.47160506,47768000,2_7
0.27704597,-0.032899834,0.47159815,47788000,2_7
0.2770575,-0.032897554,0.47159156,47808000,2_7
0.27706912,-0.032895252,0.47158486,47828000,2_7
0.2770796,-0.032893177,0.47157884,47852000,2_7
0.27709138,-0.032890845,0.47157213,47872000,2_7
0.27710122,-0.0328889,0.4715665,47893000,2_7
0.2771111,-0.03288694,0.47156078,47913000,2_7
0.27712122,-0.03288494,0.471555,47940000,2_7
0.27713135,-0.03288294,0.47154918,47960000,2_7
0.27713948,-0.03288133,0.4715445,47980000,2_7
0.27714822,-0.032879595,0.47153947,48001000,2_7
0.2771562,-0.032878015,0.47153494,48024000,2_7
0.27716377,-0.032876514,0.47153056,48044000,2_7
0.27717015,-0.03287525,0.47152692,48064000,2_7
0.27717677,-0.032873947,0.4715231,48084000,2_7
0.27718315,-0.032872684,0.47151944,48104000,2_7
0.2771894,-0.03287144,0.47151586,48128000,2_7
0.27719608,-0.03287012,0.47151205,48148000,2_7
0.27720162,-0.032869022,0.47150883,48168000,2_7
0.2772069,-0.03286797,0.4715058,48188000,2_7
0.27721184,-0.032867,0.471503,48208000,2_7
0.2772169,-0.03286599,0.47150007,48228000,2_7
0.27722165,-0.03286506,0.47149736,48248000,2_7
0.27722615,-0.032864165,0.47149476,48268000,2_7
0.27723074,-0.032863252,0.4714921,48288000,2_7
0.2772348,-0.032862455,0.47148982,48311000,2_7
0.2772394,-0.03286153,0.47148713,48332000,2_7
0.27724323,-0.032860782,0.47148496,48352000,2_7
0.2772469,-0.032860056,0.47148284,48372000,2_7
0.27725038,-0.03285936,0.47148085,48392000,2_7
0.27725378,-0.032858696,0.4714789,48412000,2_7
0.27725717,-0.03285802,0.47147694,48436000,2_7
0.2772611,-0.032857243,0.4714747,48457000,2_7
0.2772642,-0.032856617,0.4714729,48480000,2_7
0.2772672,-0.032856032,0.47147116,48505000,2_7
0.2772707,-0.032855332,0.47146916,48528000,2_7
0.2772734,-0.032854807,0.47146764,48549000,2_7
0.27727628,-0.032854225,0.47146598,48572000,2_7
0.27727863,-0.032853767,0.47146463,48592000,2_7
0.2772809,-0.032853324,0.47146335,48612000,2_7
0.277283,-0.032852896,0.4714621,48632000,2_7
0.2772851,-0.032852482,0.4714609,48652000,2_7
0.27728707,-0.032852095,0.47145978,48672000,2_7
0.277289,-0.032851715,0.47145867,48692000,2_7
0.2772908,-0.03285135,0.47145763,48712000,2_7
0.27729258,-0.032851003,0.4714566,48732000,2_7
0.27729428,-0.032850668,0.47145563,48752000,2_7
0.2772959,-0.03285035,0.4714547,48772000,2_7
0.27729738,-0.032850053,0.47145385,48792000,2_7
0.2772989,-0.032849748,0.47145295,48812000,2_7
0.27730033,-0.032849465,0.47145215,48832000,2_7
0.27730173,-0.03284919,0.47145137,48852000,2_7
0.27730304,-0.03284893,0.47145057,48872000,2_7
0.2773043,-0.032848682,0.47144985,48892000,2_7
0.2773055,-0.032848436,0.4714492,48912000,2_7
0.27730668,-0.032848205,0.47144848,48932000,2_7
0.27730778,-0.032847993,0.47144786,48952000,2_7
0.2773089,-0.032847773,0.47144723,48972000,2_7
0.2773099,-0.032847565,0.47144666,48992000,2_7
0.27731085,-0.03284738,0.4714461,49012000,2_7
0.27731186,-0.032847177,0.47144556,49032000,2_7
0.2773128,-0.032847,0.471445,49052000,2_7
0.27731368,-0.032846827,0.47144452,49072000,2_7
0.27731448,-0.03284666,0.471444,49092000,2_7
0.27731538,-0.032846484,0.47144353,49116000,2_7
0.27731624,-0.032846313,0.47144303,49136000,2_7
0.27731705,-0.03284615,0.47144255,49160000,2_7
0.27731785,-0.03284599,0.47144207,49184000,2_7
0.27731872,-0.03284582,0.47144163,49204000,2_7
0.27731928,-0.03284571,0.47144127,49224000,2_7
0.2773199,-0.032845587,0.47144094,49244000,2_7
0.2773205,-0.03284547,0.4714406,49264000,2_7
0.27732104,-0.032845356,0.47144023,49284000,2_7
0.27732167,-0.03284524,0.47143993,49307000,2_7
0.27732223,-0.03284512,0.47143957,49328000,2_7
0.27732277,-0.032845017,0.47143927,49353000,2_7
0.2773234,-0.03284489,0.47143894,49376000,2_7
0.27732387,-0.0328448,0.47143862,49396000,2_7
0.2773243,-0.032844715,0.47143838,49417000,2_7
0.27732483,-0.032844614,0.47143814,49440000,2_7
0.2773252,-0.032844536,0.47143787,49460000,2_7
0.2773256,-0.032844454,0.47143766,49484000,2_7
0.27732602,-0.032844372,0.47143742,49504000,2_7
0.27732638,-0.0328443,0.47143722,49524000,2_7
0.2773267,-0.032844234,0.47143698,49544000,2_7
0.27732703,-0.03284418,0.4714368,49564000,2_7
0.27732733,-0.03284411,0.47143662,49584000,2_7
0.27732763,-0.032844048,0.4714365,49604000,2_7
0.27732795,-0.032843992,0.47143632,49629000,2_7
0.2773283,-0.03284392,0.47143608,49652000,2_7
0.27732858,-0.03284387,0.47143593,49673000,2_7
