timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
524000,1310988,1310988,1310996,1311004,0,0.0030472053,0.0015236671,0.001523662,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
528000,1310988,1310988,1310996,1311004,0,0.0030483864,0.0015242546,0.0015242497,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
721000,1310988,1310988,1310996,1311004,0,0.003067453,0.001533826,0.0015338253,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
920000,1310988,1310988,1310996,1311004,0,0.002376836,0.0011885104,0.0011885104,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
1121000,1310988,1310988,1310996,1311004,0,0.0029719318,0.0014859635,0.0014859057,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
1326000,1310988,1310988,1310996,1311004,0,0.0030580072,0.0015289438,0.0015290527,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
1524000,1310988,1310988,1310996,1311004,0,0.003068956,0.0015345442,0.001534489,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
1725000,1310988,1310988,1310996,1311004,0,0.0030704446,0.0015353147,0.0015351409,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
1925000,1310988,1310988,1310996,1311004,0,0.0030707805,0.0015353615,0.0015352721,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
2124000,1310988,1310988,1310996,1311004,0,0.0030708336,0.0015354163,0.0015352264,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
2325000,1310988,1310988,1310996,1311004,0,0.0030707328,0.0015353487,0.0015353435,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
2528000,1310988,1310988,1310996,1311004,0,0.0030707528,0.0015353527,0.0015351697,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
2725000,1310988,1310988,1310996,1311004,0,0.003070816,0.0015353473,0.0015353634,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
2921000,1310988,1310988,1310996,1311004,0,0.0030707265,0.0015353835,0.0015353254,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
3125000,1310988,1310988,1310996,1311004,0,0.0030707282,0.0015354073,0.0015353396,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
3320000,1310988,1310988,1310996,1311004,0,0.0030706911,0.0015353078,0.0015354457,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
3524000,1310988,1310988,1310996,1311004,0,0.0030707011,0.0015353423,0.0015354033,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
3720000,1310988,1310988,1310996,1311004,0,0.0030706972,0.0015354042,0.0015354133,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
3924000,1310988,1310988,1310996,1311004,0,0.003070657,0.001535456,0.0015353983,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
4125000,1310988,1310988,1310996,1311004,0,0.003070696,0.0015353208,0.0015354352,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
4325000,1310988,1310988,1310996,1311004,0,0.0030706413,0.0015352902,0.0015352035,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
4525000,1310988,1310988,1310996,1311004,0,0.0030706578,0.0015352461,0.0015352587,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
4721000,1310988,1310988,1310996,1311004,0,0.003070698,0.0015353976,0.0015352928,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
4925000,1310988,1310988,1310996,1311004,0,0.0030707351,0.0015354126,0.0015352664,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5125000,1310988,1310988,1310996,1311004,0,0.003070617,0.001535382,0.0015352636,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5317000,1310988,1310988,1310996,1311004,0,0.0030706357,0.0015354097,0.0015353446,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5520000,1310988,1310988,1310996,1311004,0,0.003070905,0.0015352143,0.0015355098,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5725000,1310988,1310988,1310996,1311004,0,0.0030708525,0.0015352415,0.0015354578,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
5917000,1310988,1310988,1310996,1311004,0,0.0030708243,0.0015352387,0.0015353123,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
6124000,1310988,1310988,1310996,1311004,0,0.0030707696,0.001535347,0.0015352443,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
6324000,1310988,1310988,1310996,1311004,0,0.0030707496,0.0015354452,0.0015353209,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
6525000,1310988,1310988,1310996,1311004,0,0.0030707822,0.0015353983,0.0015353278,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
6724000,1310988,1310988,1310996,1311004,0,0.0030707424,0.0015353299,0.0015354014,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
6925000,1310988,1310988,1310996,1311004,0,0.0030708597,0.0015353349,0.0015354533,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
7125000,1310988,1310988,1310996,1311004,0,0.0030707386,0.0015353389,0.001535325,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
7317000,1310988,1310988,1310996,1311004,0,0.0030708015,0.0015353604,0.0015353414,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
7524000,1310988,1310988,1310996,1311004,0,0.0030706646,0.0015353498,0.0015353995,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
7724000,1310988,1310988,1310996,1311004,0,0.0030707924,0.001535292,0.0015353644,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
7928000,1310988,1310988,1310996,1311004,0,0.0030707037,0.0015353491,0.0015353857,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
8125000,1310988,1310988,1310996,1311004,0,0.0030706557,0.0015352152,0.0015353784,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
8324000,1310988,1310988,1310996,1311004,0,0.0030707812,0.001535346,0.0015352481,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
8525000,1310988,1310988,1310996,1311004,0,0.0030706872,0.0015353482,0.0015353563,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
8729000,1310988,1310988,1310996,1311004,0,0.0030707405,0.00153535,0.0015354056,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
8926000,1310988,1310988,1310996,1311004,0,0.0030706793,0.0015353966,0.0015353853,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
9125000,1310988,1310988,1310996,1311004,0,0.0030707058,0.0015354007,0.0015353797,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
