timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
763000,763000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.27000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,1.1396043,1.1396043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.314957,0.0,0.0,nan,0.0,0.0,0.25813082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,0.7920186,0.7920186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.148436,0.0,0.0,nan,0.0,0.0,0.25454715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995000,1995000,0.0,0.0,0.0,0.52590406,0.52590406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841798,0.0,0.0,nan,0.0,0.0,0.2544068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488000,2488000,0.0,0.0,0.0,0.5198026,0.5198026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.783794,0.0,0.0,nan,0.0,0.0,0.254232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.5422953,0.5422952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.800003,0.0,0.0,nan,0.0,0.0,0.2537971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3494000,3494000,0.0,0.0,0.0,0.55026054,0.55026054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.853401,0.0,0.0,nan,0.0,0.0,0.2533199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4003000,4003000,0.0,0.0,0.0,0.520018,0.52001786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.895844,0.0,0.0,nan,0.0,0.0,0.25290388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4504000,4492000,0.0,0.0,0.0,0.48429987,0.4842997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.913546,0.0,0.0,nan,0.0,0.0,0.25258616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000000,4992000,0.0,0.0,0.0,0.47592995,0.4759298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.923256,0.0,0.0,nan,0.0,0.0,0.25230822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5503000,5492000,0.0,0.0,0.0,0.47598153,0.47598144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.931212,0.0,0.0,nan,0.0,0.0,0.2520717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6003000,5991000,0.0,0.0,0.0,0.4418987,0.44189864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.909996,0.0,0.0,nan,0.0,0.0,0.25189057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6495000,6486000,0.0,0.0,0.0,0.43542078,0.43542063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8964815,0.0,0.0,nan,0.0,0.0,0.25173154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7003000,6992000,0.0,0.0,0.0,0.41723156,0.4172312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.880379,0.0,0.0,nan,0.0,0.0,0.09481215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7503000,7493000,0.0,0.0,0.0,0.380311,0.38031065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.848887,0.0,0.0,nan,0.0,0.0,0.092235744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8003000,7995000,0.0,0.0,0.0,0.37274456,0.37274393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.835939,0.0,0.0,nan,0.0,0.0,0.09152297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8496000,0.0,0.0,0.0,0.37598297,0.37598228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82072,0.0,0.0,nan,0.0,0.0,0.09119344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9004000,9004000,0.0,0.0,0.0,0.38655037,0.3865497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.802046,0.0,0.0,nan,0.0,0.0,0.09101942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9504000,9504000,0.0,0.0,0.0,0.38200885,0.3820085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.795429,0.0,0.0,nan,0.0,0.0,0.090950996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9995000,9995000,0.0,0.0,0.0,0.3749817,0.37498155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.783058,0.0,0.0,nan,0.0,0.0,0.09092447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10504000,10504000,0.109170735,0.109170765,0.23110229,0.28838557,0.28838557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.647279,0.0,0.0,nan,0.0,0.0,0.090912834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11004000,11004000,0.106851935,0.106852025,0.22041768,0.2741545,0.2741545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.558244,0.0,0.0,nan,0.0,0.0,0.09091035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11499000,11499000,0.10832222,0.10832237,0.21645649,0.2689944,0.26899442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.50746,0.0,0.0,nan,0.0,0.0,0.09090648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
