timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
752000,752000,0,nan,nan,2.1964383e-19,-1.1714337e-18,1.0126675e-07,0.0,0.0,0.0,3.9958012e-17,-2.1310939e-16,4.1385843e-05,4.1705112e-05,8.326673e-17,-4.440892e-16,0.0,-1.040834e-14,5.5511148e-14,0.009575858,0.121145904,0.121145904,nan,0.10000059,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-3.843704e-16,2.0152752e-15,0.0082403105,0.0,0.0,0.0,-2.8937362e-15,1.5154797e-14,0.0030774057,0.010362926,8.326673e-17,-4.440892e-16,0.0,-1.040834e-14,5.5511148e-14,0.009575858,0.121145904,0.121145904,nan,0.10613547,0.7245241,1.5663445,4.3745394,0.45237154,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1492000,1492000,0,nan,nan,2.227024e-15,-2.4910023e-14,0.005260828,0.0,0.0,0.0,1.5200447e-14,-1.4506593e-13,0.008170901,0.007221993,8.326673e-17,-4.440892e-16,0.0,7.6327826e-14,-6.6613376e-13,0.00953488,0.121145904,0.121145904,nan,0.1,0.72891235,0.9162901,1.8362024,0.46701318,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1993000,1993000,0,nan,nan,2.086696e-14,-1.811111e-13,0.0043050707,0.0,0.0,0.0,6.062353e-14,-5.217096e-13,0.012693206,0.007446292,8.326673e-17,-4.440892e-16,0.0,1.1379786e-13,-9.65894e-13,0.009518117,0.121145904,0.121145904,nan,0.1,0.7441619,0.7519295,1.5112065,0.49472192,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2492000,2492000,0,nan,nan,5.4919265e-14,-4.610169e-13,0.009595626,0.0,0.0,0.0,1.2919316e-13,-1.0827487e-12,0.01707542,0.012453603,8.326673e-17,-4.440892e-16,0.0,7.285838e-14,-6.245004e-13,0.009536742,0.121145904,0.121145904,nan,0.1,0.5951185,0.72313875,1.4783804,0.525132,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2992000,2992000,0,nan,nan,6.19452e-14,-5.1618085e-13,0.018474989,0.0,0.0,0.0,1.601542e-13,-1.331952e-12,0.021381209,0.017746352,8.326673e-17,-4.440892e-16,0.0,6.8001155e-13,-5.6205036e-12,0.009248964,0.121145904,0.121145904,nan,0.1,0.71750385,0.74598235,1.5975137,0.5484624,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3500000,3500000,0,nan,nan,1.1104496e-13,-9.148965e-13,0.02072775,0.0,0.0,0.0,4.0114437e-13,-3.3034862e-12,0.021453047,0.011854793,8.326673e-17,-4.440892e-16,0.0,3.748737e-12,-3.0822563e-11,0.007794238,0.121145904,0.121145904,nan,0.1,0.5682246,0.77218425,1.2420771,0.553087,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4005000,4005000,0,nan,nan,-4.4149153e-14,3.634255e-13,0.01755881,0.0,0.0,0.0,3.856566e-13,-3.1708425e-12,0.018943312,0.0036252127,8.326673e-17,-4.440892e-16,0.0,3.2786272e-12,-2.696454e-11,0.008016824,0.121145904,0.121145904,nan,0.1,0.6418092,0.8073211,1.246511,0.54911005,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4492000,0,nan,nan,-3.628174e-13,2.9837966e-12,0.0155101875,0.0,0.0,0.0,2.7632733e-13,-2.2686096e-12,0.017026607,0.0001704793,8.326673e-17,-4.440892e-16,0.0,4.8413656e-12,-3.9809427e-11,0.0072770887,0.121145904,0.121145904,nan,0.1,0.5048318,0.80578667,0.97823113,0.5257759,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4996000,4992000,0,nan,nan,-4.030187e-13,3.3168164e-12,0.019459197,0.0,0.0,0.0,5.0666047e-13,-4.153101e-12,0.017776076,0.004178725,8.326673e-17,-4.440892e-16,0.0,9.154135e-12,-7.52176e-11,0.0052312384,0.121145904,0.121145904,nan,0.1,0.5724562,0.7990894,1.017702,0.5003109,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5497000,5493000,0,nan,nan,5.5670118e-11,-1.1381305e-05,0.015061337,0.0,0.0,0.0,4.069458e-10,-6.399266e-05,0.0143227745,-0.0031119816,8.326673e-17,-4.440892e-16,0.0,1.8128068e-09,-0.00020539541,0.0055748965,0.12116356,0.121145904,nan,0.1,0.63740724,0.8068859,1.0194993,0.48281446,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5997000,5992000,5497000,40.1540302,116.2594857,9.670765e-10,-8.17978e-05,0.005312166,0.0,0.0,0.0,3.8166053e-09,-0.00026226783,0.008928488,-0.013546711,8.326673e-17,-4.440892e-16,0.0,8.844294e-09,-0.00044983477,0.0014938413,0.12118674,0.121145904,49.938675,0.1,0.51609033,0.80649996,0.81649107,0.46410343,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6496000,6492000,5497000,40.1540302,116.2594857,3.8577177e-09,-0.00020536373,0.0028892544,0.0,0.0,0.0,1.1198165e-08,-0.00050705473,0.0076392023,-0.009845397,8.326673e-17,-4.440892e-16,0.0,1.8486558e-08,-0.0006444059,0.0027138737,0.121210806,0.121145904,49.938675,0.10212697,0.56488705,0.791809,0.7969942,0.44077194,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6996000,6992000,5497000,40.1540302,116.2594857,-3.6193999e-06,-0.000335732,0.0031956327,0.0,0.0,0.0,-2.700035e-05,-0.0007222265,0.0072631226,-0.006040646,8.326673e-17,-4.440892e-16,0.0,-8.875199e-05,-0.0007707302,0.0014193355,-0.004158066,-0.12538835,49.938675,0.1,0.46483052,0.77268094,0.56198,0.41739643,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7501000,7493000,5497000,40.1540302,116.2594857,-2.5431113e-05,-0.00049075193,0.000667364,0.0,0.0,0.0,-6.843009e-05,-0.0009871927,0.005692687,-0.0071782297,8.326673e-17,-4.440892e-16,0.0,-7.825759e-05,-0.0009576907,0.0042989845,-0.0041615535,-0.12538835,49.938675,0.1,0.47293872,0.772449,0.5386503,0.40206426,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8004000,7997000,5497000,40.1540302,116.2594857,-4.7289268e-05,-0.0006964854,0.0017849046,0.0,0.0,0.0,-8.627992e-05,-0.0012608762,0.0059386976,-0.0022895553,8.326673e-17,-4.440892e-16,0.0,-5.6154193e-05,-0.0010414592,0.001744926,-0.0041635977,-0.12538835,49.938675,0.104029864,0.4124815,0.7538909,0.55905354,0.3808027,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8488000,8481000,5497000,40.1540302,116.2594857,-5.194987e-05,-0.00081496424,0.006926242,0.0,0.0,0.0,-7.13649e-05,-0.001340423,0.007425775,0.003617612,8.326673e-17,-4.440892e-16,0.0,-2.0330455e-05,-0.00096962875,0.0047869976,-0.004160396,-0.12538835,49.938675,0.10128375,0.45759413,0.7497871,0.6103491,0.36559242,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8996000,8992000,5497000,40.1540302,116.2594857,-3.7572558e-05,-0.0008364398,0.010827208,0.0,0.0,0.0,-3.2422184e-05,-0.0012660242,0.008129823,0.0051590214,8.326673e-17,-4.440892e-16,0.0,1.549694e-05,-0.0008574387,0.003822148,-0.0041511846,-0.12538835,49.938675,0.1,0.5142224,0.73435426,0.61270255,0.34653774,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9501000,9496000,5497000,40.1540302,116.2594857,-9.693935e-06,-0.00072782283,0.008079155,0.0,0.0,0.0,1.2056622e-05,-0.0011059152,0.006384535,-0.00070149277,8.326673e-17,-4.440892e-16,0.0,4.060721e-05,-0.0007792999,0.0035486051,-0.004140022,-0.12538835,49.938675,0.1,0.44507027,0.73249745,0.48581162,0.33298743,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9996000,9992000,5497000,40.1540302,116.2594857,1.6848464e-05,-0.0006592723,0.009150208,0.0,0.0,0.0,4.604657e-05,-0.0010516351,0.006298193,0.00036445426,8.326673e-17,-4.440892e-16,0.0,5.428303e-05,-0.0007873176,0.00037532297,-0.0041300445,-0.12538835,49.938675,0.1,0.46549127,0.7146265,0.4440747,0.31492877,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
10497000,10492000,5497000,40.1540302,116.2594857,-0.025175858,0.020624882,0.03655604,-6.0218517e-06,0.0005731763,0.0,-0.044486877,0.03966154,0.06436875,0.046225965,-0.08003569,0.051012054,0.07401857,0.010924923,-0.0040956214,-0.0024670733,-0.004141954,-0.12538835,49.938675,0.1,0.2594428,0.6204133,0.18148415,0.15869248,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
10996000,10992000,5497000,40.1540302,116.2594857,-0.01115828,0.026198696,0.0050369715,-6.0218517e-06,0.0005731763,0.0,0.00075597025,0.028217863,0.013576154,-0.03286865,-0.08003569,0.051012054,0.07401857,0.03189698,-0.008969481,-0.003187917,-0.0041796775,-0.12538835,49.938675,0.1,0.21234672,0.54830647,0.17591669,0.12898807,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11501000,11496000,5497000,40.1540302,116.2594857,0.010308964,0.032816272,0.011897508,-6.0218517e-06,0.0005731763,0.0,0.032754585,0.029519815,0.013800045,-0.00785747,-0.08003569,0.051012054,0.07401857,0.040917464,0.0003199234,0.0011537756,-0.0041214484,-0.12538835,49.938675,0.1,0.19232863,0.5043985,0.18353367,0.11560091,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11996000,11992000,5497000,40.1540302,116.2594857,0.006168264,0.003862125,0.029045098,-6.0218517e-06,0.0005731763,0.0,0.014199101,-0.028370453,0.01846111,0.0184915,-0.08003569,0.051012054,0.07401857,0.006183384,-0.051019154,0.00017136334,-0.0049639917,-0.12538835,49.938675,0.12960249,0.1825899,0.46766442,0.17918469,0.10917952,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12496000,12492000,5497000,40.1540302,116.2594857,-0.011261413,-0.011338683,0.0434511,-6.0218517e-06,0.0005731763,0.0,-0.008795635,-0.035691645,0.02068969,0.01651678,-0.08003569,0.051012054,0.07401857,-0.0067597157,-0.029725445,-0.0030333174,-0.00629278,-0.12538835,49.938675,0.1,0.17717507,0.43995973,0.17068887,0.10632822,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
12996000,12992000,5497000,40.1540302,116.2594857,0.0024914388,-0.010181877,0.06210659,-6.0218517e-06,0.0005731763,0.0,0.01575649,-0.02671413,0.026739633,0.028291779,-0.08003569,0.051012054,0.07401857,0.016627131,-0.018739153,0.00019930302,-0.00683202,-0.12538835,49.938675,0.1,0.17429984,0.42167473,0.16346681,0.10548542,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13496000,13492000,5497000,40.1540302,116.2594857,-0.00025436847,-0.0088324705,0.052617043,-6.0218517e-06,0.0005731763,0.0,0.005677574,-0.021741116,0.018751673,-0.004011357,-0.08003569,0.051012054,0.07401857,0.0012506879,-0.014485352,-0.008560716,-0.006988246,-0.12538835,49.938675,0.1,0.1726263,0.40459388,0.15744431,0.105079524,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
13989000,13984000,5497000,40.1540302,116.2594857,0.0073950384,-0.013237321,-0.0274995,-6.0218517e-06,0.0005731763,0.0,0.014493004,-0.022897702,-0.019895999,-0.09068706,-0.08003569,0.051012054,0.07401857,0.009124065,-0.01219648,-0.0035017729,-0.0070427232,-0.12538835,49.938675,0.10728142,0.17080657,0.39293146,0.15215468,0.10463359,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14504000,14497000,5497000,40.1540302,116.2594857,0.024654029,-0.015868971,-0.02877848,-6.0218517e-06,0.0005731763,0.0,0.03059588,-0.019083897,-0.019555839,-0.05309579,-0.08003569,0.051012054,0.07401857,0.01648484,-0.004636822,-0.017046927,-0.0069784583,-0.12538835,49.938675,0.1,0.17099068,0.3823899,0.14971422,0.10440013,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
14997000,14992000,5497000,40.1540302,116.2594857,0.035753183,-0.010937226,-0.06327155,-6.0218517e-06,0.0005731763,0.0,0.035344236,-0.009165942,-0.03705314,-0.07254973,-0.08003569,0.051012054,0.07401857,0.0136278635,0.0005242511,-0.016400589,-0.006612948,-0.12538835,49.938675,0.1,0.17016959,0.37546283,0.14602916,0.10366337,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
15496000,15492000,5497000,40.1540302,116.2594857,0.060425553,-0.008260528,-0.09871229,-6.0218517e-06,0.0005731763,0.0,0.056911897,-0.0038629225,-0.051862538,-0.081434116,-0.08003569,0.051012054,0.07401857,0.025810769,0.0026960154,-0.0098039,-0.00617574,-0.12538835,49.938675,0.10264095,0.16976862,0.36789784,0.14327857,0.10254774,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
