timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
539000,32767,32767,32767,32767,32767,32767
547000,-80,32767,32767,32767,-80,32767
551000,-40,32767,32767,-40,32767,32767
555000,-40,32767,32767,32767,32767,32767
560000,-50,32767,32767,32767,32767,32767
567000,-70,32767,32767,32767,-70,32767
571000,-40,32767,32767,32767,32767,32767
576000,-50,32767,32767,32767,32767,32767
579000,-30,32767,32767,32767,32767,32767
584000,-50,32767,32767,32767,32767,32767
591000,-70,32767,32767,32767,-70,32767
595000,-40,32767,32767,32767,32767,32767
600000,-50,32767,32767,32767,32767,32767
604000,-40,32767,32767,-40,32767,32767
608000,-40,32767,32767,32767,-40,32767
615000,-70,32767,32767,32767,32767,32767
619000,-40,32767,32767,32767,32767,32767
623000,-40,32767,32767,32767,32767,32767
627000,-40,32767,32767,32767,0,32767
631000,-40,32767,32767,32767,32767,32767
636000,-50,32767,32767,32767,32767,32767
639000,-30,32767,32767,32767,32767,32767
644000,-50,32767,32767,32767,32767,32767
651000,-70,32767,32767,0,0,32767
655000,-40,32767,32767,32767,32767,32767
660000,-50,32767,32767,32767,32767,32767
668000,-80,32767,32767,32767,32767,32767
676000,-80,32767,32767,32767,0,32767
680000,-40,32767,32767,32767,32767,32767
684000,-40,32767,32767,32767,32767,32767
692000,-80,32767,32767,32767,32767,32767
700000,-80,32767,32767,32767,32767,32767
708000,-80,32767,32767,32767,-80,32767
715000,-70,32767,32767,-70,32767,32767
720000,-50,32767,32767,32767,32767,32767
727000,-70,32767,32767,32767,-70,32767
731000,-40,32767,32767,32767,32767,32767
736000,-50,32767,32767,32767,32767,32767
740000,-40,32767,32767,32767,32767,32767
744000,-40,32767,32767,32767,-40,32767
752000,-80,32767,32767,32767,32767,32767
760000,-80,32767,32767,0,0,32767
768000,-80,32767,32767,32767,32767,32767
776000,-80,32767,32767,32767,32767,32767
780000,-40,32767,32767,32767,32767,32767
784000,-40,32767,32767,32767,-40,32767
792000,-80,32767,32767,32767,32767,32767
799000,-70,32767,32767,32767,32767,32767
807000,-80,32767,32767,32767,0,32767
811000,-40,32767,32767,0,32767,32767
815000,-40,32767,32767,32767,32767,32767
819000,-40,32767,32767,32767,32767,32767
823000,-40,32767,32767,32767,32767,32767
827000,-40,32767,32767,32767,32767,32767
832000,-50,32767,32767,32767,-50,32767
840000,-80,32767,32767,32767,32767,32767
847000,-70,32767,32767,32767,0,32767
851000,-40,32767,32767,32767,32767,32767
855000,-40,32767,32767,32767,32767,32767
860000,-50,32767,32767,32767,32767,32767
864000,-40,32767,32767,0,32767,32767
871000,-70,32767,32767,32767,32767,32767
875000,-40,32767,32767,32767,-40,32767
880000,-50,32767,32767,32767,32767,32767
888000,-80,32767,32767,32767,32767,32767
892000,-40,32767,32767,32767,0,32767
899000,-70,32767,32767,32767,32767,32767
903000,-40,32767,32767,32767,32767,32767
907000,-40,32767,32767,32767,32767,32767
911000,-40,32767,32767,32767,32767,32767
916000,-50,32767,32767,32767,32767,32767
920000,-40,32767,32767,-40,-40,32767
928000,-80,32767,32767,32767,32767,32767
935000,-70,32767,32767,32767,32767,32767
940000,-50,32767,32767,32767,32767,32767
944000,-40,32767,32767,32767,-40,32767
948000,-40,32767,32767,32767,32767,32767
955000,-70,32767,32767,32767,32767,32767
960000,-50,32767,32767,32767,32767,32767
967000,-70,32767,32767,0,-70,32767
971000,-40,32767,32767,32767,32767,32767
975000,-40,32767,32767,32767,32767,32767
980000,-50,32767,32767,32767,32767,32767
987000,-70,32767,32767,32767,-70,32767
991000,-40,32767,32767,32767,32767,32767
995000,-40,32767,32767,32767,32767,32767
999000,-40,32767,32767,32767,32767,32767
1003000,-40,32767,32767,32767,32767,32767
1008000,-50,32767,32767,32767,-50,32767
1012000,-40,32767,32767,32767,32767,32767
1019000,-70,32767,32767,32767,32767,32767
1023000,-40,32767,32767,-40,0,32767
1027000,-40,32767,32767,32767,32767,32767
1031000,-40,32767,32767,32767,32767,32767
1036000,-50,32767,32767,32767,32767,32767
1044000,32767,32767,32767,32767,0,32767
1052000,-80,32767,32767,32767,32767,32767
1056000,-40,32767,32767,32767,32767,32767
1063000,32767,32767,32767,32767,32767,32767
1068000,-50,32767,32767,32767,32767,32767
1075000,-70,32767,32767,32767,-70,32767
1079000,-40,32767,32767,-40,32767,32767
1084000,-50,32767,32767,32767,32767,32767
1091000,-70,32767,32767,32767,0,32767
1095000,-40,32767,32767,32767,32767,32767
1100000,-50,32767,32767,32767,32767,32767
1107000,32767,32767,32767,32767,32767,32767
1112000,-50,32767,32767,32767,32767,32767
1119000,-70,32767,32767,32767,-70,32767
