timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
10060000,10060000,40.15403020119105,116.25952089805224,49.92615,49.930004,-0.0,0.4715431,0.81112164,49.82517,2,0,1,0
10069000,10069000,40.154030204545684,116.2595208948452,49.924477,49.92833,-0.0,0.47155094,0.81112456,49.823727,2,0,1,0
11069000,11069000,40.154030254878755,116.25952090913495,49.87164,49.879845,-0.0,0.3691507,0.67333096,49.79286,2,0,1,0
12065000,12065000,40.15403024387503,116.25952081837497,49.97951,49.989517,-0.0,0.35310614,0.61300206,49.87884,2,0,1,0
13065000,13065000,40.15403050393421,116.2595207909771,50.01013,50.013763,-0.0,0.34908813,0.58246905,49.905415,2,0,1,0
14064000,14064000,40.154030817665635,116.25952087934974,50.074512,50.06663,-0.0,0.34685403,0.5619314,49.96296,2,0,1,0
15069000,15069000,40.15403037557127,116.25952060191742,50.072803,50.0513,-0.0,0.3450928,0.54831517,49.937588,2,0,1,0
16065000,16065000,40.15403009258587,116.25952044745038,50.000557,49.971268,-0.0,0.34499347,0.5405041,49.86237,2,0,1,0
17061000,17061000,40.15402991537029,116.25952049412362,49.873493,49.84799,-0.0,0.34409723,0.53346634,49.787407,2,0,1,0
18064000,18064000,40.15402957497759,116.25952071129495,49.891144,49.872982,-0.0,0.34753892,0.5316111,49.820602,2,0,1,0
19069000,19069000,40.15402969212017,116.25952077629509,49.882484,49.86859,-0.0,0.34726667,0.5291684,49.783226,2,0,1,0
20058000,20058000,40.15403009730353,116.2595205919286,50.042152,50.031815,-0.0,0.34695387,0.52707213,49.783226,2,0,1,0
21058000,21058000,40.15402938643996,116.25952149105673,50.438824,50.42527,-0.0,0.3475003,0.5266476,49.783226,2,0,1,0
22068000,22068000,40.1540298461,116.25952005515403,50.646214,50.628517,-0.0,0.34704325,0.52632475,49.783226,2,0,1,0
23058000,23058000,40.15402947054396,116.25952016723316,50.748108,50.720924,-0.0,0.34521937,0.5248887,49.783226,2,0,1,0
24065000,24065000,40.154028991650456,116.25952073315715,50.67288,50.637745,-0.0,0.344275,0.5243119,nan,2,0,0,0
25061000,25061000,40.154029603663574,116.25952077977875,50.668915,50.62966,-0.0,0.34245107,0.5227179,nan,2,0,0,0
26053000,26053000,40.15402957965271,116.25952045083422,50.69307,50.654644,-0.0,0.3446326,0.5226906,nan,2,0,0,0
27065000,27065000,40.15402895879255,116.25951994799088,50.684387,50.64711,-0.0,0.3458325,0.522709,nan,2,0,0,0
28069000,28069000,40.154028880556815,116.25951917963162,50.67697,50.643208,-0.0,0.34420663,0.52242094,nan,2,0,0,0
29057000,29057000,40.15402891606554,116.25951954837019,50.73853,50.705185,-0.0,0.3440356,0.52228266,nan,2,0,0,0
30065000,30065000,40.154029185269394,116.25952018745238,50.714043,50.678677,-0.0,0.3434474,0.52114636,nan,2,0,0,0
31061000,31061000,40.15402918415022,116.25952018045238,50.665783,50.63069,-0.0,0.34334576,0.52137625,nan,2,0,0,0
32058000,32058000,40.15402900081026,116.25952073438044,50.66,50.628487,-0.0,0.3460105,0.5224151,nan,2,0,0,0
33066000,33066000,40.15402945276025,116.25952050894254,50.65316,50.625053,-0.0,0.34554818,0.5222642,nan,2,0,0,0
34065000,34065000,40.154029581620904,116.25952010427943,50.67071,50.649246,-0.0,0.34461388,0.5217721,nan,2,0,0,0
35066000,35066000,40.15402962091225,116.25952005439886,50.73499,50.713448,-0.0,0.34454602,0.52199394,nan,2,0,0,0
36066000,36066000,40.154029727718545,116.25951990801452,50.720287,50.697163,-0.0,0.34420392,0.52191836,nan,2,0,0,0
37065000,37065000,40.1540296701521,116.25951927261873,50.70768,50.683647,-0.0,0.34345695,0.52151006,nan,2,0,0,0
38073000,38073000,40.154029598802765,116.2595192105556,50.165638,50.14137,-0.0,0.34301978,0.5214445,nan,2,0,0,0
39066000,39066000,40.1540294411352,116.25951941525156,50.074726,50.044407,-0.0,0.3426506,0.5213646,nan,2,0,0,0
40065000,40065000,40.154029546492616,116.25951905547765,50.024452,49.985172,-0.0,0.3461453,0.52166116,49.90416,2,0,1,0
41066000,41066000,40.15402955397717,116.2595192938142,49.97222,49.931313,-0.0,0.34667212,0.5215174,49.881344,2,0,1,0
42069000,42069000,40.154029707502595,116.25951962680512,49.979153,49.938694,-0.0,0.34524208,0.5203432,49.88722,2,0,1,0
