gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
-0.0063915867,-0.00958738,-1.6732996e-10,0.0,1.7048973e-07,-9.768343,37840000,2_7
-0.0063915877,-0.00958738,-1.6732903e-10,0.0,1.7048976e-07,-9.768344,37843000,2_7
-0.0063915877,-0.00958738,-1.6733308e-10,0.0,1.7048976e-07,-9.768345,37847000,2_7
-0.0063915877,-0.00958738,-1.6733134e-10,0.0,1.7046887e-07,-9.767147,37851000,2_7
-0.0063915867,-0.00958738,-1.673298e-10,0.0,1.7042706e-07,-9.764751,37860000,2_7
-0.0063915877,-0.00958738,-1.6733134e-10,0.0,1.7040618e-07,-9.763555,37862000,2_7
-0.0063915853,-0.009853697,-0.00026631556,0.0,1.7042706e-07,-9.764751,37876000,2_7
-0.006924214,-0.010386332,-0.0010652661,0.0,1.7048976e-07,-9.768345,37880000,2_7
-0.012250537,-0.010652646,-0.0037284384,0.0,1.7076138e-07,-9.783907,37888000,2_7
-0.017310537,-0.010652648,-0.0061252895,0.0,1.7092852e-07,-9.793484,37892000,2_7
-0.023169493,-0.010652648,-0.0087884525,0.0,1.7094942e-07,-9.794682,37896000,2_7
-0.027963186,-0.011451599,-0.011451603,0.0,1.7076135e-07,-9.783905,37903000,2_7
-0.024767429,-0.018109512,-0.01225047,0.0,1.7028084e-07,-9.756374,37912000,2_7
-0.004793737,-0.029028479,-0.006125151,0.0,1.7023903e-07,-9.753978,37920000,2_7
0.009587326,-0.03648533,-0.0021303787,0.0,1.7023903e-07,-9.753978,37924000,2_7
0.042344213,-0.051931676,0.0077233035,0.0,1.7021813e-07,-9.752781,37931000,2_7
0.06311683,-0.061252743,0.014381297,0.0,1.7011365e-07,-9.746795,37936000,2_7
0.08708524,-0.07163909,0.022104578,0.0,1.6990471e-07,-9.734823,37940000,2_7
0.10972213,-0.08069385,0.029827684,0.0,1.6967493e-07,-9.721657,37944000,2_7
0.12916319,-0.08761808,0.037018217,0.0,1.6946596e-07,-9.709684,37947000,2_7
0.14594112,-0.092944406,0.04420868,0.0,1.6921527e-07,-9.69532,37951000,2_7
0.16325156,-0.097471856,0.052730903,0.0,1.6886005e-07,-9.674969,37956000,2_7
0.18082827,-0.100401476,0.062851116,0.0,1.6837951e-07,-9.647436,37961000,2_7
0.20639409,-0.095874846,0.0878854,0.0,1.6706323e-07,-9.572019,37972000,2_7
0.21012169,-0.07323894,0.115050465,0.0,1.6545444e-07,-9.479841,37984000,2_7
0.2063942,-0.059123155,0.1267674,0.0,1.647441e-07,-9.43914,37988000,2_7
0.2008016,-0.045540962,0.13635468,0.0,1.6422175e-07,-9.409213,37992000,2_7
0.1840236,-0.015713723,0.1555295,0.0,1.6305172e-07,-9.3421755,38000000,2_7
0.1736373,-0.00053374516,0.16485058,0.0,1.6236227e-07,-9.302673,38004000,2_7
0.16431639,0.011983249,0.17283992,0.0,1.6173543e-07,-9.266758,38006000,2_7
0.1438099,0.034885928,0.19015062,0.0,1.6039826e-07,-9.190144,38015000,2_7
0.13209224,0.046071462,0.20027041,0.0,1.5956255e-07,-9.14226,38019000,2_7
0.12170611,0.053794757,0.2095913,0.0,1.5881035e-07,-9.099163,38023000,2_7
0.11238523,0.05885485,0.21864593,0.0,1.5812088e-07,-9.059659,38027000,2_7
0.1043959,0.0615181,0.22796689,0.0,1.5743142e-07,-9.020155,38031000,2_7
0.089748986,0.059387527,0.24927194,0.0,1.5580171e-07,-8.926781,38043000,2_7
0.07323966,0.041276384,0.28256115,0.0,1.5321098e-07,-8.778342,38056000,2_7
0.06657999,0.032755986,0.29348025,0.0,1.5176931e-07,-8.695742,38060000,2_7
0.058590308,0.025831727,0.30040452,0.0,1.501814e-07,-8.604761,38064000,2_7
0.0471387,0.018907188,0.3059972,0.0,1.4859354e-07,-8.513783,38068000,2_7
0.03195867,0.0119826095,0.30999196,0.0,1.4721456e-07,-8.4347725,38072000,2_7
-0.008521559,0.00026402884,0.31398672,0.0,1.451461e-07,-8.316259,38080000,2_7
-0.03328904,-0.004263656,0.31398672,0.0,1.4445664e-07,-8.276756,38084000,2_7
-0.08841659,-0.011720899,0.31105727,0.0,1.435791e-07,-8.226477,38092000,2_7
-0.1169125,-0.014384096,0.30892667,0.0,1.432448e-07,-8.207323,38096000,2_7
-0.14487581,-0.015981944,0.30652982,0.0,1.4293144e-07,-8.189369,38100000,2_7
-0.20426446,-0.016516006,0.2982738,0.0,1.4251354e-07,-8.165424,38112000,2_7
-0.23675518,-0.015452691,0.2924147,0.0,1.4228372e-07,-8.152258,38114000,2_7
-0.2588593,-0.014116014,0.2878876,0.0,1.42033e-07,-8.137892,38119000,2_7
-0.30040547,-0.006130673,0.2748372,0.0,1.4159427e-07,-8.112755,38131000,2_7
-0.3139871,-0.0018661553,0.26791355,0.0,1.414271e-07,-8.103176,38137000,2_7
-0.3238412,0.0077212616,0.2524668,0.0,1.4092568e-07,-8.074446,38148000,2_7
-0.31957966,0.015179767,0.24154839,0.0,1.4105102e-07,-8.081628,38154000,2_7
-0.3150521,0.01784313,0.2372875,0.0,1.4113459e-07,-8.086416,38159000,2_7
-0.3081281,0.020772608,0.23169462,0.0,1.4113462e-07,-8.086418,38163000,2_7
-0.30013856,0.023169516,0.22583579,0.0,1.4107192e-07,-8.082825,38167000,2_7
-0.28336048,0.025300134,0.2151833,0.0,1.4096746e-07,-8.076841,38175000,2_7
-0.2668487,0.0242348,0.20399818,0.0,1.4063315e-07,-8.057686,38184000,2_7
-0.2583266,0.022370566,0.19760668,0.0,1.4036154e-07,-8.042124,38188000,2_7
-0.2503371,0.020240042,0.19174777,0.0,1.4015261e-07,-8.030154,38192000,2_7
-0.23648858,0.014913682,0.18109518,0.0,1.3967205e-07,-8.002619,38200000,2_7
-0.23009698,0.011717875,0.17576887,0.0,1.3944224e-07,-7.9894524,38204000,2_7
-0.22317274,0.008522089,0.17017622,0.0,1.3929598e-07,-7.9810715,38209000,2_7
-0.21465056,0.004793672,0.16351841,0.0,1.3908702e-07,-7.9690995,38216000,2_7
-0.19893806,-0.0010652853,0.1510014,0.0,1.386483e-07,-7.9439616,38222000,2_7
-0.19361177,-0.002396846,0.14700653,0.0,1.3860648e-07,-7.9415665,38227000,2_7
-0.18668751,-0.003994728,0.14194664,0.0,1.3866918e-07,-7.9451585,38231000,2_7
