timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
757000,757000,0,nan,nan,1.3258002e-19,-1.0606401e-18,1.337952e-07,0.0,0.0,0.0,1.33187775e-17,-1.0655022e-16,3.599588e-05,3.612273e-05,2.7755576e-17,-2.220446e-16,0.0,-1.9825412e-15,1.586033e-14,0.0049706018,0.12114607,0.12114607,nan,0.100000285,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-1.1892214e-16,5.837725e-16,-0.0065965364,0.0,0.0,0.0,-9.266973e-16,4.639113e-15,0.0015805878,-0.0046665305,2.7755576e-17,-2.220446e-16,0.0,-3.4694467e-15,1.3877787e-14,0.004969537,0.12114607,0.12114607,nan,0.1,0.7245285,1.5662459,4.374646,0.45237112,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1502000,1502000,0,nan,nan,-4.7652053e-15,3.7180623e-14,0.004706072,0.0,0.0,0.0,-1.7453219e-14,1.3798083e-13,0.0047446727,0.008743022,2.7755576e-17,-2.220446e-16,0.0,6.9388935e-15,-5.5511148e-14,0.00496488,0.12114607,0.12114607,nan,0.1,0.74011904,0.91750735,1.8065654,0.46817726,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1989000,1989000,0,nan,nan,2.6575313e-14,-2.2224221e-13,0.0036643138,0.0,0.0,0.0,9.403563e-14,-7.826558e-13,0.0065092174,0.0057070153,2.7755576e-17,-2.220446e-16,0.0,8.6350686e-14,-7.278129e-13,0.004928145,0.12114607,0.12114607,nan,0.1,0.5149388,0.7523831,1.221334,0.49531254,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2504000,2504000,0,nan,nan,1.03255756e-13,-8.539812e-13,0.0040502897,0.0,0.0,0.0,2.3836374e-13,-1.96933e-12,0.008277468,0.0052743726,2.7755576e-17,-2.220446e-16,0.0,3.1051548e-13,-2.5673905e-12,0.004820525,0.12114607,0.12114607,nan,0.1,0.6220061,0.7139332,1.507921,0.5247995,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2997000,2993000,0,nan,nan,1.0983427e-13,-9.0925336e-13,0.0073843496,0.0,0.0,0.0,2.056385e-13,-1.7054675e-12,0.010247524,0.0075710886,2.7755576e-17,-2.220446e-16,0.0,4.1633363e-13,-3.4083847e-12,0.004773587,0.12114607,0.12114607,nan,0.1,0.7637369,0.73759645,1.681882,0.5342113,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3497000,3493000,0,nan,nan,-6.5411774e-14,5.270386e-13,0.0046234755,0.0,0.0,0.0,-4.356568e-13,3.556236e-12,0.009132437,0.001560196,2.7755576e-17,-2.220446e-16,0.0,5.863365e-13,-4.815592e-12,0.00469014,0.12114607,0.12114607,nan,0.1,0.58605105,0.7518297,1.2521532,0.4830914,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3984000,3981000,0,nan,nan,-7.466029e-13,6.1234806e-12,0.0012888364,0.0,0.0,0.0,-1.6367246e-12,1.3429551e-11,0.008187398,-0.0020840634,2.7755576e-17,-2.220446e-16,0.0,6.5780714e-13,-5.406786e-12,0.004658848,0.12114607,0.12114607,nan,0.1,0.65196294,0.76602703,1.2578256,0.45404503,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4481000,0,nan,nan,-1.32825e-12,1.0905973e-11,-0.00059662404,0.0,0.0,0.0,-2.0375138e-12,1.6728738e-11,0.008217574,-0.0013116264,2.7755576e-17,-2.220446e-16,0.0,5.435467e-13,-4.4779e-12,0.0047118715,0.12114607,0.12114607,nan,0.10036037,0.51012987,0.75400066,0.9945033,0.43997934,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4992000,4981000,0,nan,nan,-9.520384e-13,7.819238e-12,0.006749419,0.0,0.0,0.0,-1.1786828e-12,9.678923e-12,0.011578732,0.008369589,2.7755576e-17,-2.220446e-16,0.0,1.831868e-13,-1.4988011e-12,0.0048838556,0.12114607,0.12114607,nan,0.10262783,0.5762462,0.7655372,1.0160717,0.45200312,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5492000,5480000,0,nan,nan,5.6555836e-11,-1.1375791e-05,0.010892751,0.0,0.0,0.0,4.1156814e-10,-6.431822e-05,0.012821645,0.00922214,2.7755576e-17,-2.220446e-16,0.0,1.8615698e-09,-0.00020846841,0.0043418254,0.121163964,0.12114607,nan,0.1,0.63724405,0.7587183,1.0183403,0.46529096,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
