magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27214542,-0.03416283,0.47435313,39939000,2_7
0.27290744,-0.034276284,0.4739073,39961000,2_7
0.2728119,-0.034505308,0.47394562,39984000,2_7
0.2729903,-0.034735817,0.473826,40007000,2_7
0.27432913,-0.034331493,0.47308126,40028000,2_7
0.27624223,-0.033018094,0.4720605,40055000,2_7
0.27693164,-0.03186329,0.4717361,40075000,2_7
0.27638564,-0.031616576,0.4720728,40096000,2_7
0.27600452,-0.032008443,0.47226936,40116000,2_7
0.27671248,-0.03270413,0.4718069,40140000,2_7
0.27787173,-0.033920877,0.471039,40160000,2_7
0.27851725,-0.03659644,0.47045565,40188000,2_7
0.27905318,-0.04163635,0.46971923,40208000,2_7
0.27969807,-0.04608233,0.46891937,40228000,2_7
0.27915156,-0.050464284,0.4687938,40252000,2_7
0.27710465,-0.053422507,0.4696796,40273000,2_7
0.27397794,-0.056217086,0.47118583,40300000,2_7
0.27294442,-0.058962893,0.47145048,40324000,2_7
0.27339238,-0.06124101,0.47090036,40347000,2_7
0.27310044,-0.062768616,0.47086883,40368000,2_7
0.27123925,-0.06334262,0.4718666,40388000,2_7
0.26941338,-0.063153565,0.47293654,40411000,2_7
0.26804638,-0.062699564,0.47377345,40432000,2_7
0.26772493,-0.062331777,0.47400373,40452000,2_7
0.2673317,-0.061816562,0.474293,40475000,2_7
0.2664561,-0.060811438,0.4749151,40500000,2_7
0.26565778,-0.059563674,0.47552007,40520000,2_7
0.26481327,-0.05810215,0.47617134,40544000,2_7
0.26343486,-0.0565868,0.47711715,40568000,2_7
0.26092073,-0.055000313,0.47868124,40591000,2_7
0.25827387,-0.05347518,0.48028746,40612000,2_7
0.25780007,-0.05228212,0.48067346,40632000,2_7
0.26058307,-0.05109019,0.47929788,40652000,2_7
0.2647703,-0.050145615,0.47709602,40672000,2_7
0.26848304,-0.04901389,0.47513673,40696000,2_7
0.26960176,-0.047412865,0.47466636,40720000,2_7
0.269063,-0.045974456,0.4751134,40740000,2_7
0.2700243,-0.044686258,0.4746903,40760000,2_7
0.2733429,-0.043624952,0.47288388,40780000,2_7
0.27819967,-0.042568844,0.47013983,40800000,2_7
0.2821321,-0.041493297,0.4678892,40820000,2_7
0.28404197,-0.040214293,0.46684515,40840000,2_7
0.28495708,-0.039096612,0.46638155,40867000,2_7
0.28855023,-0.03776408,0.4642755,40888000,2_7
0.29374173,-0.03666135,0.46109813,40908000,2_7
0.29686317,-0.03572437,0.45917007,40936000,2_7
0.29588458,-0.034765724,0.45987457,40956000,2_7
0.29308313,-0.034214623,0.46170557,40976000,2_7
0.29093167,-0.033641733,0.46310726,40996000,2_7
0.29051962,-0.03300258,0.46341205,41016000,2_7
0.29059905,-0.03235246,0.46340802,41039000,2_7
0.2891773,-0.03175012,0.46433786,41060000,2_7
0.28672186,-0.031359114,0.46588442,41084000,2_7
0.28560412,-0.031057646,0.46659112,41104000,2_7
0.2861191,-0.030649703,0.46630234,41124000,2_7
0.28745958,-0.030247688,0.46550336,41148000,2_7
0.2882514,-0.029863194,0.4650386,41171000,2_7
0.28815845,-0.029628556,0.46511123,41197000,2_7
0.28909206,-0.029443687,0.46454287,41223000,2_7
0.29155168,-0.029251823,0.46301442,41248000,2_7
0.29506516,-0.02905586,0.46079642,41272000,2_7
0.29677287,-0.028995086,0.45970288,41292000,2_7
0.2963343,-0.02906324,0.4599812,41316000,2_7
0.29526064,-0.029184682,0.46066362,41336000,2_7
0.2946235,-0.029280398,0.46106535,41360000,2_7
0.29430807,-0.029321799,0.46126413,41380000,2_7
0.29404628,-0.029341992,0.46142977,41404000,2_7
