magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27932882,-0.018203387,0.47198105,34650000,2_6
0.28040075,-0.018551378,0.4729941,34670000,2_6
0.28076813,-0.015907455,0.47213098,34690000,2_6
0.27722824,-0.01754205,0.47127634,34710000,2_6
0.27757278,-0.01758145,0.47156984,34730000,2_6
0.27694207,-0.020128608,0.4706295,34750000,2_6
0.2770235,-0.01885347,0.4724438,34770000,2_6
0.2776882,-0.018803908,0.47200203,34790000,2_6
0.27469945,-0.017851966,0.4712398,34810000,2_6
0.2789908,-0.019383034,0.47228143,34830000,2_6
0.27631578,-0.017892217,0.47206306,34850000,2_6
0.27663785,-0.017284904,0.4730055,34870000,2_6
0.27612835,-0.01940059,0.471824,34890000,2_6
0.27999762,-0.017911015,0.47240686,34910000,2_6
0.27745658,-0.01824689,0.471203,34930000,2_6
0.2794833,-0.016789002,0.47197577,34950000,2_6
0.27900985,-0.017465644,0.4741901,34970000,2_6
0.27979368,-0.02030798,0.47157416,34993000,2_6
0.2781801,-0.01947724,0.47367024,35013000,2_6
0.27647617,-0.019112874,0.47270998,35033000,2_6
0.27823913,-0.01903343,0.4702076,35057000,2_6
0.27673596,-0.018721849,0.47045806,35078000,2_6
0.28079543,-0.0175899,0.47160295,35102000,2_6
0.27831307,-0.01621283,0.4723172,35125000,2_6
0.2780477,-0.017099356,0.4733638,35149000,2_6
0.27673742,-0.019697305,0.4718715,35173000,2_6
0.27732706,-0.018959906,0.47216487,35194000,2_6
0.27947888,-0.019079773,0.4730737,35214000,2_6
0.27773863,-0.019849475,0.47263652,35237000,2_6
0.27400586,-0.0197125,0.47236234,35257000,2_6
0.27679527,-0.019478127,0.47129864,35278000,2_6
0.27771574,-0.019448033,0.47043276,35301000,2_6
0.27605522,-0.020308012,0.47434744,35322000,2_6
0.27674645,-0.018913187,0.47279426,35345000,2_6
0.27617216,-0.019660864,0.47145668,35369000,2_6
0.27784917,-0.019891055,0.47290918,35393000,2_6
0.27717388,-0.020607317,0.47367522,35413000,2_6
0.2766667,-0.020302929,0.47164184,35438000,2_6
0.2779403,-0.018090703,0.47226462,35461000,2_6
0.27795374,-0.018297538,0.47401503,35482000,2_6
0.2796833,-0.019441154,0.47152814,35506000,2_6
0.27805054,-0.018535934,0.47370905,35526000,2_6
0.27627188,-0.017302213,0.47282344,35549000,2_6
0.2773007,-0.019326454,0.47324616,35570000,2_6
0.27911887,-0.020781182,0.47181866,35590000,2_6
0.2771418,-0.018859023,0.46963543,35610000,2_6
0.27573434,-0.019421939,0.47239244,35634000,2_6
0.27623352,-0.01872413,0.47171664,35658000,2_6
0.27708805,-0.020473264,0.4732893,35678000,2_6
0.27499786,-0.017975759,0.47201976,35701000,2_6
0.27803963,-0.020696798,0.47324815,35725000,2_6
0.27588397,-0.018881341,0.4722169,35749000,2_6
0.2772186,-0.019220946,0.47302705,35769000,2_6
0.2765374,-0.019079339,0.47102353,35790000,2_6
0.27739814,-0.016266296,0.47148705,35810000,2_6
0.2782148,-0.018899903,0.4722738,35833000,2_6
0.2780811,-0.019256195,0.47146797,35857000,2_6
0.27565438,-0.020849839,0.47344786,35878000,2_6
0.27663895,-0.01900517,0.47092947,35901000,2_6
0.27600834,-0.019145532,0.4737032,35921000,2_6
0.2777115,-0.019727668,0.47263306,35941000,2_6
0.2775974,-0.019540833,0.472471,35962000,2_6
0.27530447,-0.021839138,0.473524,35982000,2_6
0.2796446,-0.019944169,0.47293276,36002000,2_6
0.2771971,-0.018472474,0.4709472,36025000,2_6
0.27789629,-0.017342612,0.47407112,36046000,2_6
0.27913466,-0.017816473,0.47311682,36069000,2_6
0.27646652,-0.020298447,0.47341508,36089000,2_6
0.27651843,-0.02058756,0.47237077,36110000,2_6
0.27723724,-0.021000098,0.47006762,36134000,2_6
0.27746934,-0.016353095,0.47130316,36154000,2_6
0.28011453,-0.01968885,0.47053495,36174000,2_6
0.27931446,-0.018557545,0.4711249,36198000,2_6
0.27807838,-0.020000521,0.4711547,36218000,2_6
0.2786085,-0.01929202,0.47198817,36242000,2_6
0.27586925,-0.020032998,0.4707463,36265000,2_6
0.2791326,-0.017561043,0.47032923,36285000,2_6
0.27656502,-0.018477544,0.4719049,36305000,2_6
0.27685654,-0.020043187,0.47105652,36330000,2_6
0.278202,-0.020721696,0.47126243,36350000,2_6
0.2794632,-0.020468572,0.47030377,36370000,2_6
0.27871192,-0.019104254,0.47167784,36390000,2_6
0.2777939,-0.019369552,0.4730451,36410000,2_6
0.27599263,-0.018399615,0.4699999,36433000,2_6
0.27589965,-0.021306772,0.47252357,36454000,2_6
0.27866945,-0.019570177,0.47118828,36478000,2_6
0.2780602,-0.021971865,0.47216997,36501000,2_6
0.27883774,-0.020828715,0.47281507,36522000,2_6
0.27916408,-0.02025004,0.4706744,36545000,2_6
0.28053656,-0.020585367,0.47034803,36566000,2_6
0.2794407,-0.018715933,0.47091025,36590000,2_6
0.27884278,-0.019717121,0.4714338,36610000,2_6
0.27813578,-0.019124579,0.46800014,36630000,2_6
0.27981767,-0.020289352,0.46996418,36654000,2_6
0.28017592,-0.018931912,0.47242612,36674000,2_6
