timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
764000,764000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000000,1000000,0.0,0.0,0.0,1.6992024e-17,-2.3654652e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031040192,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000,1500000,0.0,0.0,0.0,3.833308e-15,-3.2110545e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032806396,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999000,1999000,0.0,0.0,0.0,3.4933756e-14,-2.8958693e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030742645,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,2500000,0.0,0.0,0.0,2.7726356e-14,-2.3214135e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019832611,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2991000,2991000,0.0,0.0,0.0,-3.298279e-14,2.6542264e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011581421,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492000,3492000,0.0,0.0,0.0,7.382885e-15,-6.506143e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05873108,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4000000,0.0,0.0,0.0,-2.2584692e-13,1.850614e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06098175,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4496000,0.0,0.0,0.0,-3.2927513e-13,2.698909e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039344788,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4991000,0.0,0.0,0.0,-2.4984797e-13,2.0483643e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031391144,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5492000,0.0,0.0,0.0,9.770693e-12,-2.7101812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05078888,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5992000,5987000,0.0,0.0,0.0,5.4431837e-10,-4.5744226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03974533,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,6496000,0.0,0.0,0.0,1.7308045e-09,-0.00010076436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02619934,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6996000,6992000,0.0,0.0,0.0,-1.7680292e-06,-0.00021304007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013076782,0.0,0.0,nan,0.0,0.0,2.2016466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
