timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
516000,inf,0,1,1,1,0,0,1,1,0,1
1520000,inf,0,1,1,1,0,0,1,0,0,1
2527000,inf,0,1,1,1,0,0,1,0,0,1
3528000,inf,0,1,1,1,0,0,1,0,0,1
4534000,inf,0,1,1,1,0,0,1,0,0,1
5536000,inf,0,1,1,1,0,0,1,0,0,1
6536000,inf,0,1,1,1,0,0,1,0,0,1
7536000,inf,0,1,1,1,0,0,1,0,0,1
8540000,inf,0,1,1,1,0,0,1,0,0,1
9544000,inf,0,1,1,1,0,0,1,0,0,1
10551000,inf,0,1,1,1,0,0,1,0,0,1
11116000,inf,0,1,1,1,1,1,1,0,0,1
12124000,inf,0,1,1,1,1,1,1,0,0,1
13127000,inf,0,1,1,1,1,1,1,0,0,1
14128000,inf,0,1,1,1,1,1,1,0,0,1
15129000,inf,0,1,1,1,1,1,1,0,0,1
16135000,inf,0,1,1,1,1,1,1,0,0,1
16201000,inf,0,1,1,1,0,0,1,0,0,1
17212000,inf,0,1,1,1,0,0,1,0,0,1
18156000,inf,0,1,1,1,1,0,1,0,0,1
18884000,inf,0,1,0,0,1,0,1,0,0,1
18892000,inf,0,0,0,0,1,0,1,0,0,1
19899000,inf,0,0,0,0,1,0,0,0,0,1
20907000,inf,0,0,0,0,1,0,0,0,0,1
21914000,inf,0,0,0,0,1,0,0,0,0,1
22920000,inf,0,0,0,0,1,0,0,0,0,1
23885000,inf,0,0,0,0,0,0,0,0,0,1
24888000,inf,0,0,0,0,0,0,0,0,0,1
25892000,inf,0,0,0,0,0,0,0,0,0,1
26896000,inf,0,0,0,0,0,0,0,0,0,1
27896000,inf,0,0,0,0,0,0,0,0,0,1
28903000,inf,0,0,0,0,0,0,0,0,0,1
29912000,inf,0,0,0,0,0,0,0,0,0,1
30916000,inf,0,0,0,0,0,0,0,0,0,1
31927000,inf,0,0,0,0,0,0,0,0,0,1
32928000,inf,0,0,0,0,0,0,0,1,0,1
32987000,inf,0,0,0,0,1,1,0,1,0,1
33995000,inf,0,0,0,0,1,1,0,1,0,1
34868000,inf,0,1,0,0,1,1,1,0,0,1
35232000,inf,0,1,1,0,1,1,1,0,0,1
35568000,inf,0,1,1,1,1,1,1,0,0,1
36576000,inf,0,1,1,1,1,1,1,0,0,1
37578000,inf,0,1,1,1,1,1,1,0,0,1
