timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
997000,997000,0.998166,-8.710641e-09,-5.2827615e-10,0.060535997,-5.3884334e-16,-9.909777e-16,0.0031184033,-5.3197825e-17,-7.148063e-17,-0.0033595148,3.83447e-24,6.6205404e-23,1.1494218e-30,0.0,0.0,-2.7610803e-11,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,6.0733782e-06,0.0026786176,0.0026786178,0.0016512342,9.592982,9.592982,0.20562424,0.4011213,0.4011213,2.0465593,9.999993e-07,9.999993e-07,9.86923e-07,4.0000004e-06,4.0000004e-06,3.999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2001000,2001000,0.998166,-8.710621e-09,-5.2827487e-10,0.060535997,1.5442464e-13,-1.2798807e-12,0.011372983,3.1997767e-14,-2.653235e-13,-0.01000901,-1.5016236e-16,1.873201e-19,-4.243923e-27,0.0,0.0,1.3913477e-06,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,3.9649094e-06,0.0053007817,0.0053007887,0.0010779911,0.87469333,0.87469304,0.2486879,0.16282682,0.16282682,0.5536473,9.616316e-07,9.616316e-07,5.685092e-07,4.0000004e-06,4.0000004e-06,3.98444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3002000,3002000,0.998166,-8.709983e-09,-5.282363e-10,0.060535997,8.001722e-14,-6.6415135e-13,0.017754354,6.743291e-14,-5.5641787e-13,-0.0008896215,-4.4359175e-15,1.4229944e-18,-6.8802365e-26,0.0,0.0,6.6158946e-06,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,3.3670046e-06,0.0038330883,0.0038330902,0.0009154405,0.8814213,0.88142055,0.29875904,0.15499276,0.15499274,0.5387085,5.457502e-07,5.457504e-07,1.9512471e-07,4.0000004e-06,4.0000004e-06,3.7742782e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3997000,3997000,0.998166,-8.706718e-09,-5.280383e-10,0.060535997,-1.4221631e-12,1.1677233e-11,0.011636354,-2.4983712e-13,2.0510317e-12,-0.010370911,-2.0974984e-14,2.0562122e-18,-3.1709822e-25,0.0,0.0,3.388575e-05,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,2.5969134e-06,0.0019550957,0.001955099,0.00070606754,0.5250511,0.52505076,0.29354703,0.12590855,0.12590852,0.62809086,2.3071999e-07,2.307204e-07,7.604626e-08,4.0000004e-06,4.0000004e-06,3.1531758e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4998000,4981000,0.998166,-8.706654e-09,-5.2803456e-10,0.060535997,-1.3652347e-12,1.1217147e-11,0.015114002,-5.985388e-13,4.9164787e-12,-0.0006041672,-1.7885028e-14,2.2776989e-18,-3.8968683e-25,0.0,0.0,3.9455976e-05,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,2.068494e-06,0.0014096923,0.0014096913,0.00056239584,0.5643239,0.5643229,0.2590957,0.19497249,0.1949724,0.67781794,1.0513588e-07,1.0513634e-07,3.645592e-08,4.0000004e-06,4.0000004e-06,2.407197e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6000000,5990000,0.9981646,-2.6730877e-05,1.6201249e-06,0.060559932,3.813824e-09,-0.00023653818,0.015185051,7.174776e-10,-5.364724e-05,0.0037089281,-1.0684702e-08,1.3007031e-09,1.16404706e-14,0.0,0.0,4.9671075e-05,0.27927282,7.171561e-10,0.47143212,0.0,0.0,0.0,0.0,0.0,1.7006604e-06,0.0006821856,0.0006821866,0.00046233335,0.38150778,0.38150802,0.2088258,0.16289209,0.16289213,0.6290286,3.565818e-08,3.565874e-08,1.9806626e-08,4.0000004e-06,4.0000004e-06,1.6915475e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7001000,7001000,0.99999785,-4.3859014e-05,4.3952546e-06,-0.002079018,-2.5938562e-05,-0.00060216215,0.014440656,-3.299614e-06,-0.00018634052,0.008844333,-7.500987e-08,9.2519725e-09,4.2980364e-10,0.0,0.0,5.9271184e-05,0.27708757,-0.03486848,0.47143212,0.0,0.0,0.0,0.0,0.0,1.4502127e-06,0.0003470157,0.00034701772,0.0010377992,0.16390653,0.16390628,0.17479922,0.12759377,0.12759373,0.611285,1.2037559e-08,1.2038089e-08,1.3805475e-08,4.0000004e-06,4.0000004e-06,1.1710474e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8001000,8001000,0.99999785,-5.445292e-05,2.4501296e-06,-0.0020815828,-6.830717e-05,-0.0010510604,0.010851443,-2.7168147e-05,-0.00042433286,0.006174099,-1.6338166e-07,2.3895927e-08,1.7381687e-08,0.0,0.0,7.163903e-05,0.27708757,-0.03486848,0.47143212,0.0,0.0,0.0,0.0,0.0,1.418674e-06,0.00029151078,0.00029151372,0.00035045878,0.1760882,0.17608705,0.14371315,0.099520504,0.09952037,0.57217526,6.4117374e-09,6.4122063e-09,1.3562854e-08,4.0000004e-06,4.0000004e-06,8.011403e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9005000,9005000,0.99999785,-4.346425e-05,-1.0603028e-06,-0.0020734102,-1.6819442e-05,-0.0009439788,0.006056696,-1.8674958e-05,-0.00045826222,-0.0014266431,-2.1121674e-07,2.9785904e-08,4.7255273e-08,0.0,0.0,8.330175e-05,0.27708757,-0.03486848,0.47143212,0.0,0.0,0.0,0.0,0.0,1.4156036e-06,0.00011033752,0.00011034108,0.0002461125,0.15072688,0.15072578,0.11880442,0.101696655,0.10169644,0.5395417,5.76397e-09,5.7644063e-09,1.2691191e-08,4.0000004e-06,4.0000004e-06,5.4985037e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10002000,10002000,0.999998,-4.24735e-05,-2.6121295e-06,-0.0020632367,3.430244e-05,-0.00089016836,0.005564302,4.8345896e-06,-0.0004194352,3.0425002e-05,-2.1235881e-07,2.5044178e-08,8.6006516e-08,0.0,0.0,8.5892025e-05,0.27708757,-0.03486848,0.47143212,0.0,0.0,0.0,0.0,0.0,1.4169069e-06,5.4073542e-05,5.4078788e-05,0.00022425762,0.078619674,0.07861797,0.09849011,0.083566636,0.08356635,0.51132053,5.7567267e-09,5.7571605e-09,1.1096624e-08,4.0000004e-06,4.0000004e-06,3.8052178e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
