gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
0.013848438,0.007190536,-2.9478835e-09,0.0,1.7074048e-07,-9.782708,32274000,2_7
0.011451591,0.0061252746,-0.00053262897,0.0,1.7078224e-07,-9.785102,32286000,2_7
0.007989484,0.005326323,-0.001864212,0.0,1.706569e-07,-9.777922,32293000,2_7
0.009321065,0.005060003,-0.0010652675,0.0,1.7059423e-07,-9.77433,32297000,2_7
0.013315807,0.00452737,-8.313687e-09,0.0,1.7059423e-07,-9.77433,32301000,2_7
0.019707397,0.00426105,0.0018642023,0.0,1.70636e-07,-9.776724,32305000,2_7
0.028229514,0.0039947242,0.005326309,0.0,1.70636e-07,-9.776724,32309000,2_7
0.058589574,0.0021304598,0.018375754,0.0,1.7048976e-07,-9.768345,32320000,2_7
0.07563379,0.0010652174,0.026098948,0.0,1.7040614e-07,-9.763554,32325000,2_7
0.11451594,-1.3448235e-07,0.045273725,0.0,1.7000919e-07,-9.740809,32338000,2_7
0.13448963,-2.028786e-07,0.0561927,0.0,1.6963313e-07,-9.719263,32342000,2_7
0.14940332,0.00053248054,0.065780096,0.0,1.6927793e-07,-9.698911,32347000,2_7
0.17257276,0.004793157,0.08761821,0.0,1.682124e-07,-9.637859,32359000,2_7
0.18002959,0.008787679,0.10013519,0.0,1.67502e-07,-9.5971575,32365000,2_7
0.18349165,0.013314924,0.111853175,0.0,1.668543e-07,-9.560049,32369000,2_7
0.18375799,0.017576253,0.12197304,0.0,1.662484e-07,-9.5253315,32374000,2_7
0.18162745,0.022103397,0.13156055,0.0,1.6557982e-07,-9.487024,32378000,2_7
0.17736639,0.026897123,0.14168052,0.0,1.6482765e-07,-9.443929,32384000,2_7
0.17124106,0.031690188,0.15286595,0.0,1.6397101e-07,-9.394848,32389000,2_7
0.16245268,0.036483772,0.16644801,0.0,1.6288456e-07,-9.332598,32398000,2_7
0.1435444,0.042875685,0.19467732,0.0,1.6071165e-07,-9.208099,32409000,2_7
0.12783188,0.0447401,0.2178467,0.0,1.5914465e-07,-9.118317,32418000,2_7
0.11451623,0.043674573,0.2399509,0.0,1.5751496e-07,-9.024942,32430000,2_7
0.10759223,0.04234244,0.25273415,0.0,1.5657479e-07,-8.971075,32434000,2_7
0.102531984,0.040745568,0.26312035,0.0,1.5578084e-07,-8.925584,32438000,2_7
0.09880353,0.039414164,0.2716425,0.0,1.5513312e-07,-8.8884735,32442000,2_7
0.09480876,0.038348872,0.28016463,0.0,1.5446456e-07,-8.850166,32446000,2_7
0.09028137,0.037283566,0.28842038,0.0,1.5356615e-07,-8.798693,32450000,2_7
0.08468873,0.036218226,0.29614362,0.0,1.5231255e-07,-8.726866,32454000,2_7
0.07696556,0.035152767,0.30306786,0.0,1.508709e-07,-8.644265,32458000,2_7
0.066312894,0.03408725,0.30866054,0.0,1.4947105e-07,-8.564059,32462000,2_7
0.036485452,0.031956185,0.31611747,0.0,1.4706833e-07,-8.426395,32470000,2_7
-0.002929297,0.029292561,0.31931323,0.0,1.4541773e-07,-8.331823,32478000,2_7
-0.025832413,0.026895486,0.3193133,0.0,1.4499986e-07,-8.30788,32482000,2_7
