magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.27610406,-0.03618193,0.4719096,24055000,2_6
0.27558252,-0.035938963,0.472233,24076000,2_6
0.27533728,-0.03577704,0.47238833,24099000,2_6
0.2751347,-0.035611775,0.47251877,24120000,2_6
0.2749706,-0.035479996,0.4726242,24143000,2_6
0.27479193,-0.035331726,0.47273922,24166000,2_6
0.2746394,-0.03517262,0.4728397,24188000,2_6
0.27452338,-0.035021495,0.47291827,24212000,2_6
0.27442214,-0.034887377,0.472987,24232000,2_6
0.27432108,-0.034764793,0.47305462,24258000,2_6
0.27420235,-0.034626268,0.47313356,24283000,2_6
0.27408874,-0.03449309,0.47320914,24308000,2_6
0.27399066,-0.034364086,0.47327533,24332000,2_6
0.27390766,-0.034253728,0.4733314,24352000,2_6
0.27381945,-0.034181215,0.47338766,24376000,2_6
0.27370092,-0.034146253,0.47345874,24400000,2_6
0.2735668,-0.034150623,0.47353593,24423000,2_6
0.27344388,-0.034181528,0.47360468,24443000,2_6
0.27331677,-0.03424723,0.47367325,24465000,2_6
0.27316892,-0.034359626,0.4737504,24487000,2_6
0.27302086,-0.03449041,0.4738263,24511000,2_6
0.27285096,-0.03466639,0.4739113,24538000,2_6
0.27269116,-0.034875732,0.47398788,24562000,2_6
0.2725656,-0.035082307,0.47404486,24583000,2_6
0.2724556,-0.035284065,0.47409314,24606000,2_6
0.272368,-0.03547325,0.47412932,24628000,2_6
0.27231446,-0.035619278,0.47414914,24651000,2_6
0.27226925,-0.035763707,0.47416425,24671000,2_6
0.2722352,-0.035880804,0.47417498,24695000,2_6
0.27219597,-0.03601852,0.47418702,24715000,2_6
0.27216873,-0.03613473,0.47419387,24736000,2_6
0.27214286,-0.036256295,0.4741994,24760000,2_6
0.27210554,-0.03639333,0.47421032,24783000,2_6
0.27206242,-0.036529884,0.47422457,24803000,2_6
0.27202627,-0.036648337,0.47423613,24827000,2_6
0.2719962,-0.03679083,0.47424242,24847000,2_6
0.27197173,-0.036938205,0.47424492,24867000,2_6
0.27193013,-0.03710191,0.474256,24887000,2_6
0.27187052,-0.0373023,0.47427446,24910000,2_6
0.27183002,-0.037491478,0.47428277,24932000,2_6
0.27182445,-0.037648372,0.47427353,24956000,2_6
0.2718334,-0.037816804,0.474255,24979000,2_6
0.27184787,-0.03798291,0.47423342,25000000,2_6
0.2718662,-0.038135752,0.47421065,25020000,2_6
0.27190158,-0.038292956,0.47417775,25043000,2_6
0.27195865,-0.03841876,0.4741348,25063000,2_6
0.27203044,-0.03852198,0.47408524,25084000,2_6
