timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
1004000,1004000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
1504000,1504000,1310996,1310996,0.0,0.0,0.0,0.0,1.0264295e-09,-0.058810078,6000,6000,0,0
2000000,2000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
2503000,2503000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
3004000,3004000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
3500000,3500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
4000000,4000000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
4504000,4491000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
5000000,4988000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
5500000,5488000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
6004000,5992000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
6500000,6491000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
7004000,6993000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
7504000,7492000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
8004000,7995000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
8500000,8500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
9004000,9004000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
9504000,9504000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
10000000,10000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
10501000,10501000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
11000000,11000000,1310996,1310996,0.0,0.0,0.0,0.0,1.0264295e-09,-0.058810078,6000,6000,0,0
11503000,11503000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
12000000,12000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
12500000,12500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
13000000,13000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
13503000,13503000,1310996,1310996,0.0,0.0,0.0,0.0,1.197501e-09,-0.068611756,7000,7000,0,0
14004000,14004000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
14500000,14500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
15004000,15004000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
15503000,15503000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
16000000,16000000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
16504000,16504000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
17004000,17004000,1310996,1310996,0.0,0.0,0.0,0.0,8.553578e-10,-0.04900839,5000,5000,0,0
17504000,17504000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
18004000,18004000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
18500000,18500000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
19000000,19000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
19500000,19500000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
20000000,20000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
20496000,20496000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
21000000,21000000,1310996,1310996,0.0,0.0,0.0,0.0,6.842864e-10,-0.039206725,4000,4000,0,0
21500000,21500000,1310996,1310996,0.0,0.0,0.0,0.0,1.3685728e-09,-0.07841345,8000,8000,0,0
