timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
52000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
561000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1065000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1525000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2033000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2545000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3049000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3557000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4061000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4257000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4757000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5268000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5777000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6281000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6785000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7289000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7789000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8293000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8805000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9313000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9821000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10325000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10837000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11072000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11573000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12080000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12591000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13101000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13605000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14113000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14613000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15118000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15633000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16137000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16637000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17145000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17649000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17936000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18441000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18701000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
19015000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
19129000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19237000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19749000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20053000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20091000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20600000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21101000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21177000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21200000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21700000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22209000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22713000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23221000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23729000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24240000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24741000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25246000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25757000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26265000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26301000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
26489000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
26527000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27033000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27541000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28041000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28545000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29049000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29549000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29685000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30020000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30529000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
31029000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
31537000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
32037000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
32545000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
33060000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
33565000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
34073000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
34573000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35081000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35227000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35281000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
35309000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
35817000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
36317000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
36829000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
37337000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
37845000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
38347000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
38858000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
39361000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
39861000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
40117000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
40469000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
40973000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
