timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
2000000,135.21777,88.95906,0,100,8696,1024000,0,3,255
3005000,182.72559,72.36657,0,203,7776,1024000,0,3,255
4005000,228.37402,64.78696,0,298,8759,1024000,0,3,255
5007000,284.20312,62.779575,0,377,534,1024000,0,3,255
6008000,333.0713,60.251682,0,481,643,1024000,0,3,255
7008000,382.17383,58.543785,0,586,247,1024000,0,3,255
8012000,434.45117,57.680717,0,688,228,1024000,0,3,255
9012000,486.22656,56.98858,0,776,571,1024000,0,3,255
10013000,538.67773,56.506638,0,858,270,1024000,0,3,255
11015000,593.1045,56.29848,0,938,583,1024000,0,3,255
12016000,650.5928,56.396736,0,1027,674,1024000,0,3,255
13016000,710.9414,56.71198,0,1107,645,1024000,0,3,255
14019000,773.834,57.15592,0,1184,868,1024000,0,3,255
15021000,833.6338,57.32988,0,1279,1038,1024000,0,3,255
16021000,892.86035,57.451923,0,1354,1038,1024000,0,3,255
17021000,949.9199,57.428204,0,1458,1038,1024000,0,3,255
18024000,1008.98926,57.51193,0,1566,567,1024000,0,3,255
19025000,1068.415,57.612026,0,1668,608,1024000,0,3,255
20027000,1127.1221,57.66215,0,1758,1142,1024000,0,3,255
21028000,1184.4219,57.641712,0,1855,869,1024000,0,3,255
22032000,1240.9307,57.578445,0,1959,2087,1024000,0,3,255
23033000,1303.0654,57.777924,0,2056,2124,1024000,0,3,255
24036000,1365.916,57.98591,0,2145,2126,1024000,0,3,255
25044000,1426.9854,58.09255,0,2253,3001,1024000,0,3,255
26047000,1487.585,58.183792,0,2347,3234,1024000,0,3,255
27049000,1549.4736,58.318855,0,2461,2179,1024000,0,3,255
28052000,1608.291,58.330593,0,2565,2662,1024000,0,3,255
29052000,1665.4492,58.28956,0,2656,2438,1024000,0,3,255
30055000,1724.7578,58.3181,0,2752,2306,1024000,0,3,255
31055000,1784.4707,58.363716,0,2854,2629,1024000,0,3,255
32061000,1844.6787,58.411026,0,2957,2642,1024000,0,3,255
33064000,1906.9961,58.525536,0,3052,2663,1024000,0,3,255
34068000,1966.3291,58.542606,0,3139,2667,1024000,0,3,255
35068000,2024.4316,58.529884,0,3243,2463,1024000,0,3,255
36071000,2084.2969,58.56247,0,3355,3294,1024000,0,3,255
37071000,2142.999,58.566288,0,3463,3995,1024000,0,3,255
38072000,2203.4404,58.61461,0,3556,3912,1024000,0,3,255
39076000,2264.2227,58.6647,0,3661,3862,1024000,0,3,255
40076000,2323.8018,58.687794,0,3759,3561,1024000,0,3,255
41079000,2381.1396,58.650208,0,3856,3770,1024000,0,3,255
