timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6660000,6660000,0.99818027,0.00042537402,-0.0007336313,0.06029407,0.9982539,6.662773e-11,5.4033176e-12,0.05907078,1
6668000,6668000,0.99965787,0.0004017965,-0.0007418028,0.026143875,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
7160000,7160000,0.99965316,0.00056240073,-0.0009870984,0.026312863,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
7656000,7656000,0.9996399,0.0006457101,-0.00091741286,0.026810454,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
8160000,8160000,0.999642,0.00059716165,-0.00074174505,0.026738636,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
8656000,8656000,0.9996448,0.00043596912,-0.00071216805,0.026638867,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
9156000,9156000,0.999644,0.00055262673,-0.0006746474,0.02666755,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
9664000,9664000,0.9996398,0.0003435321,-0.00055610883,0.026831416,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
10160000,10160000,0.9996472,0.00026346982,-0.00056283583,0.026554663,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
10660000,10660000,0.99964994,0.00018979133,-0.0007211973,0.026447413,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
11164000,11164000,0.9996574,0.00018248781,-0.0008335473,0.026158616,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
11664000,11664000,0.9996634,3.0547923e-05,-0.0006100397,0.025939666,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
12156000,12156000,0.9996707,-0.00047680814,-0.00034009633,0.025656996,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
12664000,12664000,0.9996769,-0.00018626156,-0.00047449322,0.025415342,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
13164000,13164000,0.9996783,0.0003422928,-0.0006277798,0.025351265,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
13660000,13660000,0.9996777,0.00046632512,-0.0003321488,0.025378795,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
14164000,14164000,0.999676,0.00030152785,-0.00075783074,0.025440658,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
14660000,14660000,0.999675,0.00020192876,-5.346818e-05,0.025492756,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
15164000,15164000,0.9996732,0.00055048335,-0.00016543406,0.025558183,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
15664000,15664000,0.99967426,0.00089442905,-9.378314e-05,0.025508855,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
16160000,16160000,0.99967253,0.00086673617,-0.00013775843,0.025574485,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
16652000,16652000,0.9996726,0.00024089176,-0.00047445396,0.025584282,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
17160000,17160000,0.9996738,0.0004892477,-3.9034632e-05,0.025538327,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
17660000,17660000,0.99968207,0.00025425505,0.00013757272,0.025214631,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
18160000,18160000,0.99968153,0.00016798625,0.00032294443,0.02523404,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
18664000,18664000,0.999681,-0.00012310951,0.00037349475,0.025255095,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
19156000,19144000,0.99967945,6.3954053e-06,0.00022568795,0.02531846,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
19660000,19652000,0.99967885,3.99862e-05,0.0004371217,0.025341794,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
20160000,20152000,0.99967605,6.693743e-05,0.00042698998,0.025450049,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
20656000,20644000,0.9996771,-0.00046909566,0.00025232253,0.0254066,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
21160000,21152000,0.99968296,-0.0006123615,0.0002065708,0.025170855,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
21658000,21650000,0.9996902,-0.0007143079,0.00034980554,0.02487806,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
22158000,22150000,0.9996978,-0.00092524826,0.0004599685,0.02455923,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
22754000,22754000,0.9997016,-0.00071021816,0.00014659109,0.024421992,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
23162000,23162000,0.99969745,-0.0004214667,-3.418551e-05,0.024595601,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
23655000,23646000,0.999696,-0.00027865896,-0.00010921917,0.024654362,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
24163000,24154000,0.9996917,-0.0003970862,5.194961e-05,0.024827423,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
24666000,24654000,0.9996902,-0.0005682873,0.00020570662,0.024886608,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
25158000,25150000,0.9996936,-0.0007580209,-2.6946509e-05,0.024741692,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
25662000,25654000,0.9996988,-0.00084282487,9.64874e-05,0.024526028,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
26162000,26130000,0.9997024,-0.0010698334,4.6034434e-05,0.024372352,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
26662000,26662000,0.99969983,-0.0009777467,5.668141e-07,0.024480542,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
27163000,27163000,0.99969864,-0.0008149996,0.00022183091,0.024533918,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
27663000,27663000,0.9997031,-0.000189961,0.0002904806,0.024364647,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
28158000,28158000,0.99970764,0.00010256037,-0.00018929479,0.024179865,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
28662000,28662000,0.99970114,-0.00054607494,-0.00012498119,0.024443066,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
29167000,29147000,0.9997021,-0.0010385794,-0.0001336837,0.024389517,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
29663000,29631000,0.999697,-0.0005854091,8.8494264e-05,0.024607256,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
30159000,30131000,0.9997149,-0.001202927,0.00037285703,0.02384435,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
30663000,30627000,0.9998686,-0.00047502833,0.0012354187,0.01616251,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
31167000,31132000,0.9999992,0.00081868086,-0.0008277386,0.0005483598,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
31663000,31663000,0.99998015,-0.0013093489,-0.00023291349,-0.006170952,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
32163000,32163000,0.99999654,-0.0009860687,0.00040022278,-0.0023988949,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
32663000,32663000,0.99999523,0.0025014633,-0.00052998046,-0.0017680797,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
33159000,33159000,0.99999666,0.0018763575,-0.00054214144,-0.0017115152,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
33662000,33662000,0.999999,0.00047096037,0.00024190331,-0.0013239447,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
34167000,34167000,0.999999,-0.0006077591,0.00014863716,-0.0013171473,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
34663000,34663000,0.99999774,-0.001954128,-0.0005870821,-0.0006834799,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
35161000,35161000,0.99999845,-0.0015136927,0.00015579561,-0.0009130426,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
35665000,35665000,0.9999898,-0.0042246445,0.0012642115,-0.0010029625,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
36161000,36161000,0.99999946,-0.00059890153,0.000567643,-0.0007387423,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
36661000,36661000,0.999999,0.0011324894,9.018109e-05,-0.00092443737,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
37165000,37165000,0.99999875,0.000104429826,-0.0014078196,-0.0007491967,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
37661000,37661000,0.9999957,0.00030488137,-0.0028210122,-0.00065223814,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
38161000,38161000,0.9999996,0.0006297263,0.0002104577,-0.0006771242,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
38660000,38660000,0.99999964,-0.00017451729,0.00058876787,-0.00053196755,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
39159000,39159000,0.99999976,-0.00017772481,9.963372e-06,-0.000685735,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
39663000,39643000,0.9999996,0.00031428895,-0.00047681987,-0.00065269135,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
40159000,40119000,0.9999998,-1.4802627e-05,-0.00012983008,-0.00068752933,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
40667000,40659000,0.9999995,0.0004971719,-0.00049260084,-0.00070295733,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
41162000,41155000,0.99999964,-0.00040705074,-0.00026793266,-0.0006893653,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
41658000,41654000,0.9999995,-0.00042375215,-0.00018985028,-0.00094181637,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
42159000,42134000,0.99999946,0.0003193033,-0.0004753362,-0.0008429872,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
42663000,42639000,0.99999946,0.00016122863,-0.0004977233,-0.0009751314,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
43159000,43135000,0.99999976,-0.0004821649,-0.00014476814,-0.00053951965,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
43663000,43635000,0.99999964,-8.096079e-05,-0.00058364973,-0.0005861167,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
44163000,44134000,0.9999994,0.0004335018,-0.00083919603,-0.0006367618,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
44667000,44667000,0.9999998,-0.00017695886,0.00013388744,-0.0006124635,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
45162000,45162000,0.9999998,-0.00041341447,0.0003593475,-0.00043471073,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
45663000,45663000,0.99999964,-0.00050762907,-0.00059520727,-0.00042431906,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
46163000,46163000,0.9999991,-0.000824997,-0.0011355239,-0.0001624742,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
46662000,46662000,0.9999999,-0.00043645085,0.00016054261,-0.00033252742,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
47167000,47167000,0.9999999,0.00027415936,0.00029172542,-0.00035384018,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
47658000,47658000,0.99999976,0.00056779035,0.0004196017,-0.00016631871,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
48163000,48163000,0.99999994,0.00028811285,0.00024320246,-9.670065e-05,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
48663000,48647000,0.9999998,0.00025808375,-0.00054680335,0.00044147752,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
49166000,49147000,0.9999991,-0.0010496546,0.00021257572,-0.000772156,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
49663000,49651000,0.99999964,-0.00025660088,-0.0002252803,-0.0008155825,0.9994168,3.6379792e-12,8.367352e-11,-0.034147095,2
