timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
804000,804000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.270001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
988000,988000,0.0,0.0,0.0,100.25,100.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.334856,0.0,0.0,nan,0.0,0.0,0.2595557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504000,1504000,0.0,0.0,0.0,0.8534213,0.8534213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213761,0.0,0.0,nan,0.0,0.0,0.25458124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992000,1992000,0.0,0.0,0.0,0.5538395,0.5538395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.875857,0.0,0.0,nan,0.0,0.0,0.25440523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2503000,2503000,0.0,0.0,0.0,0.54510766,0.5451076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.797205,0.0,0.0,nan,0.0,0.0,0.25423893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3004000,3004000,0.0,0.0,0.0,0.551701,0.55170095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.80087,0.0,0.0,nan,0.0,0.0,0.25382575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3504000,3504000,0.0,0.0,0.0,0.55726016,0.5572602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.861171,0.0,0.0,nan,0.0,0.0,0.25333768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4004000,4004000,0.0,0.0,0.0,0.50964904,0.50964916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.903598,0.0,0.0,nan,0.0,0.0,0.25292626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4499000,4484000,0.0,0.0,0.0,0.50318605,0.5031861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9342165,0.0,0.0,nan,0.0,0.0,0.2525923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4979000,0.0,0.0,0.0,0.4778937,0.4778939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.934077,0.0,0.0,nan,0.0,0.0,0.2523183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5503000,5491000,0.0,0.0,0.0,0.461675,0.46167505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936132,0.0,0.0,nan,0.0,0.0,0.2520841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5983000,0.0,0.0,0.0,0.43773472,0.4377346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.910267,0.0,0.0,nan,0.0,0.0,0.251901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6492000,6492000,0.0,0.0,0.0,0.43064022,0.43064004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.900954,0.0,0.0,nan,0.0,0.0,0.25174037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6995000,6995000,0.0,0.0,0.0,0.42232823,0.42232823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.869712,0.0,0.0,nan,0.0,0.0,0.09572669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7508000,7508000,0.0,0.0,0.0,0.3860825,0.3860826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82667,0.0,0.0,nan,0.0,0.0,0.092290565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7995000,7995000,0.0,0.0,0.0,0.37526292,0.37526304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8000145,0.0,0.0,nan,0.0,0.0,0.09154318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8504000,8504000,0.0,0.0,0.0,0.3744291,0.37442926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.760389,0.0,0.0,nan,0.0,0.0,0.0911772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9004000,9004000,0.0,0.0,0.0,0.3821091,0.38210922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.739366,0.0,0.0,nan,0.0,0.0,0.09101909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500000,9500000,0.0,0.0,0.0,0.38115227,0.3811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.738611,0.0,0.0,nan,0.0,0.0,0.09094773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
