timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
7796000,0.0,-0.0,-0.004166821,0.0,0.99999785,0.0,-0.0,-0.002083409,0.0,0.0,-0.0,0,0,0,0,0
7804000,0.0,-0.0,-0.004166865,0.0,0.99999785,0.0,-0.0,-0.002083431,0.0,0.0,-0.0,0,0,0,0,0
7851000,0.0,-0.0,-0.004167106,0.0,0.99999785,0.0,-0.0,-0.0020835516,0.0,0.0,-0.0,0,0,0,0,0
7903000,0.0,-0.0,-0.004167348,0.0,0.99999785,0.0,-0.0,-0.0020836727,0.0,0.0,-0.0,0,0,0,0,0
7948000,0.0,-0.0,-0.004167487,0.0,0.99999785,0.0,-0.0,-0.002083742,0.0,0.0,-0.0,0,0,0,0,0
8000000,0.0,-0.0,-0.0041675935,0.0,0.99999785,0.0,-0.0,-0.0020837954,0.0,0.0,-0.0,0,0,0,0,0
8051000,0.0,-0.0,-0.0041676145,0.0,0.99999785,0.0,-0.0,-0.0020838059,0.0,0.0,-0.0,0,0,0,0,0
8101000,0.0,-0.0,-0.004167634,0.0,0.99999785,0.0,-0.0,-0.0020838156,0.0,0.0,-0.0,0,0,0,0,0
8148000,0.0,-0.0,-0.004167562,0.0,0.99999785,0.0,-0.0,-0.0020837795,0.0,0.0,-0.0,0,0,0,0,0
8204000,0.0,-0.0,-0.004167326,0.0,0.99999785,0.0,-0.0,-0.0020836615,0.0,0.0,-0.0,0,0,0,0,0
8251000,0.0,-0.0,-0.004167089,0.0,0.99999785,0.0,-0.0,-0.002083543,0.0,0.0,-0.0,0,0,0,0,0
8297000,0.0,-0.0,-0.0041668247,0.0,0.99999785,0.0,-0.0,-0.002083411,0.0,0.0,-0.0,0,0,0,0,0
8348000,0.0,-0.0,-0.00416652,0.0,0.99999785,0.0,-0.0,-0.0020832587,0.0,0.0,-0.0,0,0,0,0,0
