timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
768000,768000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001000,1001000,0.0,0.0,0.0,2.6507607e-17,-7.266126e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030002594,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1495000,1495000,0.0,0.0,0.0,2.5932312e-15,-2.3198277e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039901733,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003000,2003000,0.0,0.0,0.0,-1.6057875e-15,9.622208e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03445053,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496000,2496000,0.0,0.0,0.0,-3.0012505e-14,2.461857e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043144226,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3003000,3003000,0.0,0.0,0.0,-5.2498045e-14,4.358861e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029521942,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500000,3500000,0.0,0.0,0.0,-6.148489e-15,5.697733e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025688171,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3997000,3997000,0.0,0.0,0.0,-1.9330055e-13,1.5911879e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031604767,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4501000,4485000,0.0,0.0,0.0,-4.5555947e-13,3.741596e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030555725,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4988000,4966000,0.0,0.0,0.0,-4.4226593e-13,3.6288093e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034122467,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5488000,5473000,0.0,0.0,0.0,2.2527697e-11,-4.974388e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029754639,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5996000,5980000,0.0,0.0,0.0,6.903149e-10,-5.4012555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027568817,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6497000,6497000,0.0,0.0,0.0,1.964643e-09,-0.00010973136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06303024,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001000,7001000,0.0,0.0,0.0,-1.6461643e-06,-0.00022688568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010749817,0.0,0.0,nan,0.0,0.0,1.8451829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7496000,0.0,0.0,0.0,-1.2956101e-05,-0.00031845723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007247925,0.0,0.0,nan,0.0,0.0,4.4547953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7996000,0.0,0.0,0.0,-2.5198544e-05,-0.0004234604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03725815,0.0,0.0,nan,0.0,0.0,5.9165526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500000,8500000,0.0,0.0,0.0,-3.6449408e-05,-0.00058755826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0109939575,0.0,0.0,nan,0.0,0.0,4.189508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9000000,9000000,0.0,0.0,0.0,-3.2371474e-05,-0.00062631146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011116028,0.0,0.0,nan,0.0,0.0,4.0418003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9501000,9501000,0.0,0.0,0.0,-1.3833431e-05,-0.0005766672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025550842,0.0,0.0,nan,0.0,0.0,3.2217707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9999000,9999000,0.0,0.0,0.0,-3.831745e-07,-0.00055887486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052223206,0.0,0.0,nan,0.0,0.0,5.035661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10504000,10504000,0.05888284,-0.015411958,0.13474861,-0.0060786633,0.010816976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016403198,0.0,0.0,nan,0.0,0.0,0.0003166236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10999000,10999000,0.026518878,-0.038940087,-0.09079656,-0.00045546432,0.015347388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023311615,0.0,0.0,nan,0.0,0.0,0.0006228979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11501000,11501000,0.045724653,0.06357348,0.123992555,0.008269725,0.025156418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037994385,0.0,0.0,nan,0.0,0.0,0.002679727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12004000,12004000,0.03220055,-0.07706104,-0.030123316,-0.0033051074,-0.00459393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054683685,0.0,0.0,nan,0.0,0.0,0.0053245313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12500000,12500000,-0.10318148,-0.03310663,-0.09587538,-0.013626267,-0.0005216605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047725677,0.0,0.0,nan,0.0,0.0,0.0016532834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13001000,13001000,0.05353498,-0.02702405,-0.1046811,0.003483079,-8.5344516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057998657,0.0,0.0,nan,0.0,0.0,-6.306823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
