timestamp,speed_xy,speed_up,speed_down,want_takeoff
11352000,5.0,3.0,1.0,0
11373000,5.0,3.0,1.0,0
12348000,5.0,3.0,1.0,0
13349000,5.0,3.0,1.0,0
14347000,5.0,3.0,1.0,0
15344000,5.0,3.0,1.0,0
16347000,5.0,3.0,1.0,0
17352000,5.0,3.0,1.0,0
18344000,5.0,3.0,1.0,0
19352000,5.0,3.0,1.0,0
19432000,5.0,3.0,1.0,0
40892000,5.0,3.0,1.0,0
40915000,5.0,3.0,1.0,0
41884000,5.0,3.0,1.0,0
42892000,5.0,3.0,1.0,0
43884000,5.0,3.0,1.0,0
44904000,5.0,3.0,1.0,0
45888000,5.0,3.0,1.0,0
46892000,5.0,3.0,1.0,0
47895000,5.0,3.0,1.0,0
48895000,5.0,3.0,1.0,0
49887000,5.0,3.0,1.0,0
