timestamp,main_state_changes,main_state
52000,0,0
560000,0,0
1060000,0,0
1519000,0,0
2028000,0,0
2539000,0,0
3048000,0,0
3559000,0,0
4064000,0,0
4262000,0,0
4767000,0,0
5273000,0,0
5783000,0,0
6289000,0,0
6800000,0,0
7311000,0,0
7813000,0,0
8324000,0,0
8825000,0,0
9340000,0,0
9840000,0,0
10349000,0,0
10849000,0,0
11081000,1,4
11585000,1,4
12089000,1,4
12596000,1,4
13100000,1,4
13608000,1,4
14112000,1,4
14620000,1,4
15125000,1,4
15625000,1,4
16128000,1,4
16629000,1,4
17135000,1,4
17638000,1,4
18151000,1,4
18653000,1,4
18689000,1,4
19197000,1,4
19319000,1,4
19687000,1,4
19793000,2,7
19921000,2,7
20424000,2,7
20440000,2,7
20713000,2,7
20792000,2,7
21301000,2,7
21816000,2,7
21869000,2,7
22377000,2,7
22881000,2,7
23392000,2,7
23900000,2,7
24401000,2,7
24908000,2,7
25415000,2,7
25923000,2,7
26430000,2,7
26936000,2,7
27137000,2,7
27176000,2,7
27256000,2,7
27268000,2,7
27772000,2,7
28279000,2,7
28788000,2,7
29291000,2,7
29793000,2,7
30295000,2,7
30385000,2,7
30413000,2,7
30784000,2,7
31288000,2,7
31792000,2,7
32293000,2,7
32795000,2,7
33305000,2,7
33808000,2,7
34317000,2,7
34824000,2,7
35324000,2,7
35831000,2,7
36332000,2,7
36836000,2,7
37336000,2,7
37844000,2,7
38352000,2,7
38857000,2,7
39368000,2,7
39876000,2,7
40379000,2,7
40889000,2,7
40929000,2,7
40955000,3,11
40968000,3,11
41469000,3,11
41972000,3,11
42481000,3,11
42993000,3,11
43497000,3,11
44001000,3,11
44506000,3,11
45017000,3,11
45520000,3,11
46023000,3,11
46313000,3,11
46820000,3,11
47324000,3,11
47824000,3,11
48333000,3,11
48839000,3,11
49012000,3,11
49524000,3,11
49587000,3,11
