magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
-0.4947281,-0.23504893,0.8218908,38417970,2_6
-0.47866493,-0.25685352,0.78912175,38908170,2_6
-0.48592454,-0.24662687,0.724377,39420203,2_6
-0.4934581,-0.24518384,0.6857816,39911014,2_6
-0.49974084,-0.24670258,0.79667836,40423063,2_6
-0.48644125,-0.19420533,0.81930214,40913436,2_6
-0.49370995,-0.19049397,0.83596784,41425406,2_6
-0.48501438,-0.2260812,0.85546833,41916182,2_6
-0.49414867,-0.29626527,0.77130955,42406491,2_6
-0.48122835,-0.18757935,0.81438357,42918579,2_6
