timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
31080192,31079988,0.9980669,0.015352089,-0.028706675,0.052941803,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31090640,31090453,0.99806684,0.015371819,-0.028719598,0.052930187,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31138678,31133997,0.99806905,0.015379716,-0.028706051,0.052893795,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31188237,31188054,0.9980697,0.015376688,-0.028706921,0.052881487,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31237844,31237651,0.9980714,0.0153491795,-0.028702293,0.05286016,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31290378,31285657,0.9980629,0.015350028,-0.028724065,0.053007897,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31335457,31335254,0.99807554,0.015263224,-0.028701719,0.05280709,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31387983,31387806,0.9980736,0.015374128,-0.028691933,0.052817747,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31433036,31432854,0.99807686,0.015231775,-0.028708475,0.05278775,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31482546,31482359,0.99808025,0.015242464,-0.028638367,0.05275841,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31535108,31534914,0.99808186,0.0151303075,-0.028649557,0.052754615,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31589200,31589020,0.9980821,0.015222612,-0.02858439,0.05275704,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31637217,31637022,0.998084,0.015139171,-0.028577048,0.05274945,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31685257,31685070,0.9980843,0.015229621,-0.028572133,0.052720755,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31734812,31734624,0.9980846,0.015221167,-0.028574256,0.052715506,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31784362,31784174,0.9980878,0.015195708,-0.028545495,0.052678432,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31836898,31832224,0.9980879,0.015240339,-0.028546106,0.05266511,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31886457,31886280,0.99809194,0.015184163,-0.028514953,0.052620832,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31939021,31938835,0.99808747,0.015280272,-0.028574158,0.052644443,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
31985556,31985382,0.9980903,0.015343375,-0.02853884,0.052590754,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32035115,32034934,0.99809134,0.015299588,-0.028542968,0.05258272,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32087653,32082985,0.9980938,0.015326871,-0.028505456,0.05254947,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32138776,32138587,0.9980941,0.015311587,-0.028499678,0.052552287,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32188271,32188094,0.99809825,0.015204496,-0.028481575,0.05251322,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32236372,32236189,0.9980953,0.015421027,-0.02848118,0.052507263,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32290361,32285695,0.9980999,0.015245396,-0.028459365,0.052481342,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32339916,32335249,0.9980981,0.015386361,-0.028485462,0.052461896,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32389484,32389303,0.99810165,0.015345124,-0.028499098,0.052397862,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32434546,32434350,0.99810493,0.015155054,-0.028476194,0.0524017,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32488579,32488406,0.9981019,0.015291867,-0.028570049,0.05236929,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32538140,32537959,0.9981031,0.015195182,-0.028577272,0.05237248,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32581733,32581549,0.99810994,0.01500458,-0.028571112,0.052299287,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32637294,32637061,0.99810433,0.015181877,-0.028618274,0.052328084,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32686836,32686658,0.9981126,0.014846888,-0.028577134,0.05228981,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32739388,32739213,0.9981127,0.014889985,-0.028590797,0.05226886,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32784438,32784260,0.9981107,0.014924373,-0.028628275,0.052276533,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32833953,32833767,0.99811363,0.014781724,-0.0286179,0.052266937,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
32883495,32883318,0.9981093,0.015016668,-0.028670037,0.05225348,0.9999896,2.7028342e-09,-5.1631366e-09,-0.0045566214,1
