gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
-0.00958738,-0.0085221175,-1.0943924e-09,0.0,1.7243285e-07,-9.879675,27057000,2_6
-0.00958738,-0.0085221175,-1.4874073e-10,0.0,1.7255819e-07,-9.886856,27061000,2_6
-0.00958738,-0.008522116,-1.4874176e-10,0.0,1.7278802e-07,-9.900024,27069000,2_6
-0.00958738,-0.0085221175,-1.4874073e-10,0.0,1.7318501e-07,-9.92277,27077000,2_6
-0.009853696,-0.008522116,-1.0943992e-09,0.0,1.737491e-07,-9.9550905,27089000,2_6
-0.010652645,-0.007723167,-2.7117144e-09,0.0,1.7431324e-07,-9.987413,27097000,2_6
-0.010918961,-0.007456852,-7.9210555e-10,0.0,1.7464754e-07,-10.006567,27104000,2_6
-0.011451593,-0.007190535,-1.8454129e-09,0.0,1.7479378e-07,-10.014946,27109000,2_6
-0.011984227,-0.006657903,-4.253456e-09,0.0,1.7502362e-07,-10.028114,27117000,2_6
-0.012516859,-0.0063915877,-4.6034265e-09,0.0,1.7529526e-07,-10.043678,27121000,2_6
-0.012783175,-0.0055926396,-2.367187e-09,0.0,1.7560862e-07,-10.061634,27129000,2_6
-0.01304949,-0.0053263223,-1.7242195e-09,0.0,1.7575488e-07,-10.070014,27133000,2_6
-0.013582122,-0.005060006,-2.1923998e-09,0.0,1.7594293e-07,-10.080788,27141000,2_6
-0.013848438,-0.004527375,-5.8002367e-09,0.0,1.7615186e-07,-10.092757,27145000,2_6
-0.013848438,-0.0042610588,-1.3037265e-09,0.0,1.7633988e-07,-10.103531,27149000,2_6
-0.013848438,-0.0042610588,-7.43695e-11,0.0,1.7650703e-07,-10.113108,27153000,2_6
-0.014647386,-0.004527374,7.8980406e-10,0.0,1.76904e-07,-10.135853,27165000,2_6
-0.014913704,-0.005060006,2.6599982e-09,0.0,1.7709205e-07,-10.146628,27173000,2_6
-0.014114754,-0.0055926396,2.1483275e-09,0.0,1.7734277e-07,-10.160993,27180000,2_6
-0.013848437,-0.0061252704,2.1449378e-09,0.0,1.7742634e-07,-10.165781,27189000,2_6
-0.013582122,-0.006657903,6.639339e-09,0.0,1.775099e-07,-10.170568,27193000,2_6
-0.01304949,-0.007190536,3.467997e-09,0.0,1.775935e-07,-10.17536,27197000,2_6
-0.012783175,-0.007456852,1.6666039e-09,0.0,1.7765616e-07,-10.178948,27201000,2_6
-0.012516859,-0.007456852,5.318169e-10,0.0,1.7769797e-07,-10.181343,27205000,2_6
-0.011984227,-0.007456852,1.19377e-09,0.0,1.7773975e-07,-10.183739,27209000,2_6
-0.011717911,-0.007456852,5.318169e-10,0.0,1.7776065e-07,-10.184936,27213000,2_6
-0.011451593,-0.007190535,-5.037594e-10,0.0,1.7776063e-07,-10.184934,27220000,2_6
-0.01091896,-0.0063915867,-3.214492e-09,0.0,1.7778152e-07,-10.186131,27229000,2_6
-0.010386328,-0.0055926396,-4.0870956e-09,0.0,1.7782331e-07,-10.188525,27233000,2_6
-0.00958738,-0.005060006,-4.9021975e-10,0.0,1.7784421e-07,-10.189722,27241000,2_6
-0.00958738,-0.004527375,-1.7811985e-09,0.0,1.7784421e-07,-10.189722,27245000,2_6
-0.009321063,-0.0042610588,-0.00026631667,0.0,1.778442e-07,-10.189722,27252000,2_6
-0.00878843,-0.0042610606,-0.00079894706,0.0,1.778233e-07,-10.188525,27257000,2_6
-0.0085221175,-0.004527376,-0.0010652632,0.0,1.7778154e-07,-10.186132,27265000,2_6
-0.008255801,-0.005060006,-0.0010652608,0.0,1.7776065e-07,-10.184936,27273000,2_6
-0.0066579035,-0.006125272,-0.0010652592,0.0,1.7769797e-07,-10.181343,27285000,2_6
-0.0055926396,-0.0063915877,-0.001065264,0.0,1.7765616e-07,-10.178948,27292000,2_6
-0.005060006,-0.0066579026,-0.0010652628,0.0,1.7759349e-07,-10.175358,27301000,2_6
-0.0034621095,-0.0074568526,-0.0010652624,0.0,1.7742637e-07,-10.165783,27309000,2_6
-0.0031957938,-0.007456852,-0.0010652641,0.0,1.7736366e-07,-10.1621895,27313000,2_6
-0.0029294777,-0.007456852,-0.0010652641,0.0,1.7730098e-07,-10.158598,27321000,2_6
-0.0021305294,-0.007456852,-0.0010652641,0.0,1.7709209e-07,-10.146629,27329000,2_6
-0.002130529,-0.007190535,-0.0010652649,0.0,1.7700849e-07,-10.141839,27332000,2_6
-0.0021305287,-0.006657903,-0.0010652648,0.0,1.769249e-07,-10.137051,27337000,2_6
-0.0018642129,-0.0063915877,-0.0010652643,0.0,1.7684133e-07,-10.132261,27341000,2_6
-0.0013315806,-0.0063915877,-0.0010652636,0.0,1.767578e-07,-10.127476,27345000,2_6
-0.0010652643,-0.00612527,-0.001065264,0.0,1.7667416e-07,-10.1226845,27350000,2_6
-0.0007989482,-0.0055926396,-0.0010652641,0.0,1.766115e-07,-10.119093,27356000,2_6
2.1684043e-16,-0.0053263223,-0.0010652642,0.0,1.7652795e-07,-10.1143055,27365000,2_6
0.00026631617,-0.0053263223,-0.0010652643,0.0,1.7648614e-07,-10.111911,27369000,2_6
0.0010652647,-0.0053263227,-0.0010652633,0.0,1.7644437e-07,-10.109518,27373000,2_6
0.001864213,-0.0053263227,-0.0010652633,0.0,1.764026e-07,-10.107124,27377000,2_6
0.0029294777,-0.0053263223,-0.0010652639,0.0,1.7627721e-07,-10.099941,27385000,2_6
0.0039947424,-0.0053263223,-0.0010652639,0.0,1.7619364e-07,-10.095152,27393000,2_6
0.004527375,-0.0055926396,-0.0010652647,0.0,1.760892e-07,-10.089169,27405000,2_6
0.0050600055,-0.006125272,-0.0010652645,0.0,1.760056e-07,-10.084377,27409000,2_6
0.0053263223,-0.0063915877,-0.0010652647,0.0,1.7594293e-07,-10.080788,27413000,2_6
0.0053263223,-0.0063915877,-0.0010652648,0.0,1.7588023e-07,-10.077194,27421000,2_6
0.0053263223,-0.0063915863,-0.0010652646,0.0,1.7575486e-07,-10.070012,27428000,2_6
0.0053263223,-0.0063915877,-0.0010652648,0.0,1.7560862e-07,-10.061634,27432000,2_6
0.0053263223,-0.0061252704,-0.001065264,0.0,1.7548324e-07,-10.054449,27441000,2_6
0.00559264,-0.0055926396,-0.0010652613,0.0,1.7537879e-07,-10.048464,27445000,2_6
0.0061252713,-0.005060006,-0.0010652627,0.0,1.7529526e-07,-10.043678,27453000,2_6
0.006391587,-0.0042610583,-0.0010652604,0.0,1.7516983e-07,-10.036493,27460000,2_6
0.0066579035,-0.0023968453,-0.0010652603,0.0,1.7485647e-07,-10.0185375,27473000,2_6
0.007190536,-0.0021305296,-0.0010652633,0.0,1.7475203e-07,-10.012554,27477000,2_6
0.007456852,-0.0013315806,-0.0010652632,0.0,1.7452217e-07,-9.999384,27485000,2_6
0.007723167,-0.0010652648,-0.0010652639,0.0,1.7439682e-07,-9.992201,27493000,2_6
0.008255801,-0.0013315809,-0.0010652656,0.0,1.7427146e-07,-9.98502,27497000,2_6
0.0085221175,-0.0018642131,-0.0010652659,0.0,1.741461e-07,-9.977838,27501000,2_6
0.008788434,-0.0021305294,-0.0010652653,0.0,1.7402073e-07,-9.970654,27505000,2_6
0.00958738,-0.0023968453,-0.0010652649,0.0,1.7389537e-07,-9.96347,27513000,2_6
0.010386327,-0.0031957943,-0.0010652685,0.0,1.7377002e-07,-9.956289,27517000,2_6
0.0114515945,-0.004527375,-0.0010652659,0.0,1.7358201e-07,-9.945517,27525000,2_6
0.011984227,-0.0053263223,-0.0010652669,0.0,1.7347753e-07,-9.93953,27533000,2_6
0.012516858,-0.006125272,-0.0010652693,0.0,1.7333124e-07,-9.931149,27541000,2_6
0.012783175,-0.0063915877,-0.0010652657,0.0,1.7318501e-07,-9.92277,27545000,2_6
0.01304949,-0.0063915877,-0.0010652642,0.0,1.7308056e-07,-9.916786,27549000,2_6
0.013582122,-0.0061252713,-0.0010652624,0.0,1.7299695e-07,-9.911995,27553000,2_6
0.013848438,-0.0053263223,-0.0010652636,0.0,1.728298e-07,-9.902418,27561000,2_6
0.013848438,-0.005060006,-0.0010652631,0.0,1.7272535e-07,-9.896433,27565000,2_6
0.013848438,-0.004527375,-0.0010652621,0.0,1.726e-07,-9.889252,27569000,2_6
0.013848438,-0.0039947424,-0.0010652621,0.0,1.7249552e-07,-9.883265,27573000,2_6
0.013848439,-0.0021305294,-0.0010652548,0.0,1.7224478e-07,-9.868899,27589000,2_6
0.013848439,-0.0013315806,-0.0010652571,0.0,1.7209854e-07,-9.860521,27593000,2_6
0.01384844,-0.0010652645,-0.0010652634,0.0,1.72015e-07,-9.855733,27596000,2_6
0.013848437,-0.00079894834,-0.0010652635,0.0,1.7195227e-07,-9.85214,27605000,2_6
0.013848438,-0.00026631614,-0.0010652647,0.0,1.7174337e-07,-9.84017,27613000,2_6
0.013848438,-0.00079894846,-0.001065267,0.0,1.7168068e-07,-9.836578,27617000,2_6
0.013848438,-0.0013315806,-0.0010652657,0.0,1.7159711e-07,-9.831791,27625000,2_6
0.013848438,-0.001864213,-0.001065267,0.0,1.7155533e-07,-9.829395,27629000,2_6
0.013848438,-0.002396845,-0.0010652669,0.0,1.7149263e-07,-9.825804,27636000,2_6
0.013848438,-0.0029294773,-0.0010652686,0.0,1.7140907e-07,-9.821016,27641000,2_6
0.013848438,-0.0031957938,-0.0010652661,0.0,1.7132551e-07,-9.816229,27645000,2_6
0.014114756,-0.0031957938,-0.0010652645,0.0,1.7120013e-07,-9.809044,27656000,2_6
0.014913704,-0.0029294796,-0.00079894654,0.0,1.7105388e-07,-9.800665,27665000,2_6
0.014913704,-0.0018642143,2.6153029e-09,0.0,1.7090761e-07,-9.792284,27677000,2_6
0.014913704,-0.0013315806,5.27244e-09,0.0,1.7082407e-07,-9.787498,27681000,2_6
0.014913704,-0.00079894846,2.6338955e-09,0.0,1.7074046e-07,-9.782707,27689000,2_6
