timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
744000,744000,0.0,0.0,0.012421349,1.110223e-16,3.9752573e-05,2.782885e-07,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
757000,757000,0.0,0.0,0.012662288,1.110223e-16,0.000117659656,1.7777808e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
944000,944000,0.0,0.0,0.014925225,1.110223e-16,0.0004238952,0.006161562,512,0,1.4558166,1.7507672,0.0,nan,nan,0.002535705,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1145000,1145000,0.0,0.0,0.016349848,1.110223e-16,0.00026999996,0.005361758,512,0,1.1883374,1.2402992,0.0,nan,nan,0.0013503055,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1353000,1353000,0.0,0.0,0.01737762,1.110223e-16,0.0003681283,0.009495591,512,0,0.9622372,1.0179268,0.0,nan,nan,0.0017280881,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1553000,1553000,0.0,0.0,0.018451588,1.110223e-16,3.7447084e-05,0.0022232067,512,0,0.8350043,0.8912907,0.0,nan,nan,0.00015264687,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1749000,1749000,0.0,0.0,0.02119767,1.1123893e-16,0.00014186231,9.64771e-05,512,0,0.7255746,0.8104255,0.0,nan,nan,0.0010376913,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1953000,1953000,0.0,0.0,0.022191597,1.248307e-14,0.000521258,0.0025228567,512,0,0.6994936,0.7617715,0.0,nan,nan,0.0004652996,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2153000,2153000,0.0,0.0,0.022608863,3.9213102e-14,0.00033417484,0.0016449443,512,0,0.6667338,0.74554515,0.0,nan,nan,0.00090445933,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2348000,2348000,0.0,0.0,0.021041794,1.4975557e-13,0.0008020103,0.0028072365,512,0,0.6526626,0.72294295,0.0,nan,nan,0.0012058351,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2553000,2553000,0.0,0.0,0.019837882,2.8704125e-13,0.0005830135,0.0017828641,512,0,0.6836051,0.7185868,0.0,nan,nan,0.00011586372,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2744000,2744000,0.0,0.0,0.019328836,4.1017154e-14,0.0010744352,0.0023724334,512,0,0.69607353,0.7193396,0.0,nan,nan,5.3758944e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2949000,2949000,0.0,0.0,0.018996274,4.2792735e-14,0.00088641606,0.0020369855,512,0,0.52022153,0.736125,0.0,nan,nan,5.3758944e-05,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3145000,3145000,0.0,0.0,0.018627243,9.538481e-13,0.0015373509,0.003036131,512,0,0.781679,0.74562246,0.0,nan,nan,0.0016116734,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3353000,3353000,0.0,0.0,0.019648556,1.590332e-12,0.0015895935,0.0032226983,512,0,0.7526877,0.7524603,0.0,nan,nan,0.0010184443,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3545000,3545000,0.0,0.0,0.02108046,2.2089969e-12,0.0014466587,0.0029542015,512,0,0.73425287,0.75998545,0.0,nan,nan,0.0023563455,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3749000,3749000,0.0,0.0,0.021499079,2.9471148e-12,0.0010685641,0.002321182,512,0,0.6997522,0.78209335,0.0,nan,nan,0.0021481824,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3944000,3944000,0.0,0.0,0.022523804,4.526754e-12,0.0025395602,0.0049410453,512,0,0.67411315,0.7844712,0.0,nan,nan,0.0022720296,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4152000,4152000,0.0,0.0,0.022470681,5.075884e-12,0.0011136853,0.0024886008,512,0,0.66376275,0.7898298,0.0,nan,nan,0.002510053,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4344000,4341000,0.0,0.0,0.02335227,3.7440606e-12,0.0012815348,0.0022607143,512,0,0.63395566,0.8059437,0.0,nan,nan,0.0011460995,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4553000,4548000,0.0,0.0,0.021134043,2.5334873e-12,0.002226971,0.0045879805,512,0,0.6430043,0.792054,0.0,nan,nan,0.0022056568,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4726000,4722000,0.0,0.0,0.029494282,1.7757532e-12,0.0029636757,0.0061318693,512,0,0.5471131,0.79712373,0.0,nan,nan,0.0045040627,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4944000,4940000,0.0,0.0,0.033829965,2.7064254e-12,0.00065961666,0.0018236339,512,0,0.58463365,0.77865475,0.0,nan,nan,0.0020605077,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5148000,5144000,0.0,0.0,0.027649488,1.0866743e-05,0.00023015741,0.00020003064,512,0,0.6104321,0.7850442,0.0,nan,nan,0.0018840294,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5356000,5345000,0.0,0.0,0.033953715,1.5107166e-05,0.0005338379,0.0013432904,512,0,0.5549673,0.8006423,0.0,nan,nan,0.00046083363,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5545000,5541000,0.0,0.0,0.03816748,2.1338266e-05,0.000988486,0.0022046603,512,0,0.5433285,0.7823115,0.0,nan,nan,0.0022567112,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5668000,5664000,0.0,0.0,0.032747436,1.8004754e-05,0.0011793606,0.0029443686,512,0,0.4982741,0.7733194,0.0,nan,nan,0.0011885542,0.0,0.0,0.0,0.15799999,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5952000,5952000,0.0,0.0,0.029519692,1.5411524e-05,0.000804149,0.0017450104,512,0,0.5152049,0.7583949,0.0,nan,nan,0.00095924217,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6149000,6149000,0.0,0.0,0.026711365,1.3902592e-05,0.0012310552,0.00315968,512,0,0.5383872,0.7579563,0.0,nan,nan,0.00016843005,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6348000,6348000,0.0,0.0,0.026024519,1.2046974e-05,0.0016195292,0.0042860573,512,0,0.52892494,0.745826,0.0,nan,nan,0.00040316366,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6548000,6548000,0.0,0.0,0.02348742,1.1558235e-05,0.00063032814,0.0017213834,512,0,0.5175646,0.7534597,0.0,nan,nan,0.00065568817,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6749000,6749000,0.0,0.0,0.019943457,1.1371736e-05,0.00036323335,0.0008918778,512,0,0.5133317,0.74590707,0.0,nan,nan,0.0011137738,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
6952000,6952000,0.0,0.0,0.019441932,1.0630254e-05,0.0006805197,0.0020061636,512,0,0.50722474,0.73889244,0.0,nan,nan,0.0026864407,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
7145000,7145000,0.0,0.0,0.018718679,9.688557e-06,0.0007979073,0.002477806,531,0,0.485932,0.7407641,6.5585996e-06,nan,nan,0.0010047605,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7344000,7344000,0.0,0.0,0.020914452,1.0372436e-05,0.0009787796,0.0030830163,531,0,0.46704498,0.7304924,2.6445625e-05,nan,nan,0.002049284,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7545000,7545000,0.0,0.0,0.01988375,1.0918481e-05,0.0011809899,0.0036388445,531,0,0.4473478,0.72255576,4.1167972e-05,nan,nan,0.0013452267,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7756000,7756000,0.0,0.0,0.019963764,8.52819e-06,0.00013468077,0.0002187181,531,0,0.44050187,0.725232,5.239246e-05,nan,nan,0.0011899258,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
7937000,7937000,0.0,0.0,0.020698678,5.361941e-06,0.00059961755,0.0013718569,531,0,0.42208028,0.71798444,5.764732e-05,nan,nan,0.0017569114,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8144000,8144000,0.0,0.0,0.020388985,2.8213926e-06,0.00033714986,0.0008484587,531,0,0.4168118,0.7334129,5.878195e-05,nan,nan,0.00015229866,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8348000,8348000,0.0,0.0,0.020247784,1.9617974e-06,0.0011524307,0.0026086469,531,0,0.41265008,0.7314616,5.5764573e-05,nan,nan,0.00056810334,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8552000,8552000,0.0,0.0,0.018479303,3.906838e-06,0.0006912032,0.0016572977,531,0,0.41732994,0.7338766,5.2793053e-05,nan,nan,0.0014228348,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8748000,8748000,0.0,0.0,0.018414252,6.5661966e-06,0.0012180295,0.0026310023,531,0,0.4187801,0.73430204,4.293004e-05,nan,nan,0.003592432,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
8953000,8953000,0.0,0.0,0.019611502,7.2747257e-06,0.0013131894,0.0029053648,531,0,0.4235355,0.73833764,3.464311e-05,nan,nan,0.0007553068,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
9152000,9152000,0.0,0.0,0.019123798,7.926009e-06,0.0014420483,0.0031315798,531,0,0.42178833,0.7560954,2.821482e-05,nan,nan,0.0019858186,0.0,0.0,0.0,0.284,1310996,1310996,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
