timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7033000,7033000,0.99999785,-3.7854057e-05,4.6894356e-06,-0.0020852112,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
7035000,7035000,0.99999785,-3.7886228e-05,4.6934256e-06,-0.0020850855,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
7541000,7541000,0.99999785,-4.630869e-05,4.305712e-06,-0.0020819479,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
8036000,8036000,0.99999785,-5.285273e-05,3.446729e-06,-0.0020834836,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
8533000,8533000,0.99999785,-5.220683e-05,1.8462799e-06,-0.002082954,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
9033000,9033000,0.99999785,-4.6133482e-05,-8.9370396e-08,-0.0020794284,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
9533000,9533000,0.99999785,-4.111731e-05,-1.4465284e-06,-0.0020744288,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
10036000,10036000,0.99999785,-3.8304832e-05,-2.6080247e-06,-0.0020681059,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
10533000,10533000,0.99999785,-0.0001633422,-0.000292469,-0.00207529,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
11034000,11034000,0.999997,-0.0005082468,-0.0011170254,-0.0021103106,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
11533000,11533000,0.99999666,-0.00034227537,-0.0015881628,-0.0020443762,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
12033000,12033000,0.9999937,-0.002429191,-0.00011316158,-0.0026282377,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
12536000,12536000,0.99999404,-0.0013195504,0.0002657674,-0.0031810666,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
13036000,13036000,0.9999939,-0.00075508014,-0.00055775396,-0.0033707311,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
13533000,13533000,0.99999404,-0.00056349015,-0.000101778314,-0.0034064166,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
14033000,14033000,0.99999404,-0.0004229236,-0.0004656941,-0.0033831755,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
14533000,14533000,0.99999416,-1.3051941e-05,-0.00093685155,-0.0033090655,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
15033000,15033000,0.9999949,0.00021644069,-0.00083318877,-0.0030787194,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
15536000,15536000,0.9999951,0.0004376863,-0.0013685486,-0.0028045662,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
16036000,16036000,0.9999964,4.5997407e-05,-0.00095397455,-0.0025143255,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
16533000,16533000,0.999997,0.0002713396,0.00010578784,-0.0024345363,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
17014000,17014000,0.999997,-0.00010452928,0.0006505616,-0.0023690427,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
17537000,17537000,0.9999969,-0.00038293243,0.00059242727,-0.0023993058,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
18040000,18040000,0.9999969,0.00035126065,0.0006909411,-0.002393961,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
18528000,18528000,0.9999969,3.9094168e-05,0.0010071505,-0.0022815259,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
19037000,19037000,0.99999714,-0.00010315264,0.00082957937,-0.0022737954,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
19533000,19533000,0.9999968,0.0005142018,0.0012147666,-0.002210467,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
20036000,20036000,0.99999785,1.7626337e-05,-5.1805227e-06,-0.0020889663,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
20535000,20535000,0.99999505,0.00014919872,-0.002504071,-0.0019504094,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
21036000,21036000,0.9999912,-0.0017280249,-0.0035955682,-0.0013056183,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
21533000,21533000,0.9999911,-0.00074713695,0.0040431856,0.00096568844,0.9980351,-2.8421714e-12,6.8212113e-13,-0.062658995,2
