magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
-0.552866,-0.17645584,0.4243,65395412,2_6
-0.56513846,-0.14999117,0.5044751,65416701,2_6
-0.5610204,-0.17009962,0.44797644,65438336,2_6
-0.5533778,-0.14299558,0.45678553,65459578,2_6
-0.56137097,-0.1317534,0.5017734,65480870,2_6
-0.5762098,-0.1578767,0.443027,65502111,2_6
-0.5705011,-0.17136146,0.3964969,65523427,2_6
-0.55405754,-0.16472252,0.36695072,65545100,2_6
-0.5699248,-0.15088193,0.47266865,65566390,2_6
-0.5628253,-0.14782289,0.50980437,65587628,2_6
-0.5792438,-0.18362933,0.4425447,65608894,2_6
-0.55652374,-0.1502727,0.44151172,65630165,2_6
-0.56150925,-0.17534257,0.4834912,65651818,2_6
-0.57545114,-0.15030241,0.44316983,65673098,2_6
-0.56142753,-0.16570401,0.4942881,65694358,2_6
-0.56322396,-0.16800563,0.45712712,65715600,2_6
-0.56845194,-0.16592652,0.46705812,65736839,2_6
-0.5698536,-0.13515422,0.48206955,65758477,2_6
-0.5700614,-0.18310966,0.4546093,65779830,2_6
-0.5688852,-0.14403573,0.5099245,65801120,2_6
-0.5688646,-0.16485666,0.41252473,65822360,2_6
-0.56284034,-0.17203093,0.50781405,65843611,2_6
-0.57362556,-0.14504537,0.4841773,65865337,2_6
-0.57702976,-0.1925699,0.43477508,65886492,2_6
-0.55547357,-0.14875823,0.4801784,65907726,2_6
-0.562466,-0.16573334,0.45716596,65929016,2_6
-0.56916577,-0.18043657,0.47284082,65950258,2_6
-0.5683397,-0.14348593,0.48189464,65971897,2_6
-0.5687462,-0.17880243,0.42816284,65993136,2_6
-0.5725096,-0.1634024,0.53154653,66014380,2_6
-0.5562601,-0.15095623,0.47635248,66035653,2_6
-0.57932496,-0.18948075,0.4318221,66056899,2_6
-0.56655884,-0.16842209,0.5170059,66078538,2_6
-0.56082886,-0.15468393,0.47328296,66099778,2_6
-0.56362754,-0.18362895,0.40378162,66121017,2_6
-0.56800187,-0.14663492,0.5265372,66142283,2_6
-0.5581366,-0.15229239,0.42860264,66163561,2_6
-0.56023586,-0.18153536,0.45153487,66185185,2_6
-0.5644299,-0.13243653,0.49799442,66206422,2_6
-0.5617538,-0.16182731,0.45117524,66227665,2_6
-0.5600629,-0.17516425,0.47439086,66248908,2_6
-0.56186604,-0.1456241,0.4363391,66270205,2_6
-0.56947404,-0.17130242,0.4321042,66291829,2_6
-0.5696277,-0.15847148,0.51192015,66313097,2_6
-0.56266344,-0.14400521,0.4310727,66334344,2_6
-0.56924653,-0.18325825,0.46217763,66355590,2_6
-0.5619419,-0.14966464,0.52643186,66376855,2_6
-0.57179695,-0.16207954,0.42548302,66398558,2_6
-0.5811649,-0.17165944,0.48901638,66419796,2_6
