timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
51864489,51864360,6946826,6684682,2.8639002e-05,-5.562876e-05,3.0198037e-06,0.0005117984,0.0018994638,-0.04847956,4498,5000,0,1
51873481,51868861,6946826,6684682,4.891505e-07,-5.1892935e-06,-5.767036e-05,0.00052677473,0.0019606187,-0.048362173,4501,5003,0,1
52368271,52360656,6946826,6684682,-7.394181e-05,-2.5325879e-05,7.3990435e-05,0.0008041445,0.0012829739,-0.048961885,4494,5004,0,1
52867620,52867493,6946826,6684682,-7.507223e-05,1.6907501e-05,1.970548e-05,0.0017904459,0.0038148877,-0.08441498,9042,8753,0,1
53371372,53371239,6946826,6684682,2.8354356e-05,-3.6370417e-05,-1.9426807e-05,0.0007594845,0.0031684588,-0.08529068,8950,8752,0,1
53866164,53866034,6946826,6684682,-6.418775e-05,-1.1523122e-05,-4.581826e-05,0.0013453199,0.0034768146,-0.048251104,4499,5000,0,1
54369950,54369827,6946826,6684682,2.0152684e-05,3.4292276e-05,3.4624976e-05,0.00036145898,0.003756358,-0.048739817,4500,5002,0,1
54869294,54869166,6946826,6684682,-5.5637935e-05,5.6911617e-06,-6.402734e-05,0.0013997718,0.0030364376,-0.08482161,9041,8749,0,1
55364092,55363962,6946826,6684682,5.9712107e-05,2.0370926e-05,-2.0163543e-05,0.00064811995,0.0026456453,-0.04857628,4546,4999,0,1
55872339,55872204,6946826,6684682,-2.7667791e-05,-4.978469e-05,-6.52592e-05,0.00169675,0.00088795216,-0.047755055,5950,4969,0,1
56371624,56371499,6946826,6684682,7.4738105e-05,-3.4115325e-05,-3.5528315e-05,0.0011207855,0.0008661711,-0.048292037,4500,5001,0,1
56870966,56870838,6946826,6684682,7.399691e-05,9.704552e-06,-1.8078041e-06,0.0012866646,0.0026213743,-0.048431296,4545,5002,0,1
57365759,57365635,6946826,6684682,2.8199935e-05,-4.3623528e-05,-6.887988e-05,-0.0007111375,0.00016970541,-0.04826416,4546,5001,0,1
57869510,57869381,6946826,6684682,0.0002471319,6.4815686e-05,1.741615e-06,0.00027224823,-0.0014394996,-0.04862253,4500,4998,0,1
