timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
3293000,3293000,1310988,-8.781206e-13,1.9526934e-16,-1.0577031e-23,0.34906584,4.449192e-05,4.449192e-05,1.4107445e-05,1310988,0.0,0.0,0.0012453115,0.4,0.00039244277,0.00039244277,0.00035490704,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
3933000,3933000,1310988,-1.5813255e-12,2.362199e-16,-2.0536929e-23,0.34906584,2.6965785e-05,2.696578e-05,7.961799e-06,1310988,0.0,0.0,0.0024259053,0.4,0.00039812978,0.00039812978,0.00031749182,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4525000,4516000,1310988,-1.8351002e-12,2.4668532e-16,-3.1873275e-23,0.34906584,1.5280728e-05,1.5280722e-05,5.0367094e-06,1310988,0.0,0.0,0.0035966234,0.4,0.000399241,0.000399241,0.00027286285,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
5049000,5041000,1310988,-2.2862085e-12,3.957473e-14,7.572648e-21,0.34906584,1.0169298e-05,1.0169294e-05,3.4713137e-06,1310988,0.0,0.0,0.0047215465,0.4,0.00039910479,0.00039910479,0.00023178989,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
5529000,5521000,1310988,-2.2100261e-07,2.690391e-08,1.10584264e-13,0.34906584,5.2727437e-06,5.2727414e-06,2.5563663e-06,1310988,0.0,0.0,0.005734292,0.4,0.00039805355,0.00039805355,0.00019733685,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
6221000,6205000,1310988,-2.1134786e-06,2.5728207e-07,3.2604039e-12,0.34906584,2.722278e-06,2.7222786e-06,1.7479146e-06,1310988,0.0,0.0,0.006888542,0.4,0.00039997775,0.00039997775,0.00015575167,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
9093000,9093000,1310988,-2.149689e-05,3.0198175e-06,5.1357238e-06,0.34906584,5.697692e-07,5.6977586e-07,1.2355708e-06,1310988,0.0,0.0,0.00792839,0.4,0.00040103868,0.00040103868,5.2932995e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
10461000,10461000,1310988,-8.932638e-05,-0.00021253426,8.8111765e-06,0.34906584,5.589547e-07,5.589608e-07,9.975129e-07,1310988,0.0,0.0,0.008937581,0.4,0.00040012383,0.00040012383,3.2882475e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
10941000,10941000,1310988,-0.00036349526,-0.0004197402,1.2128396e-05,0.34906584,4.952698e-07,4.952734e-07,9.020544e-07,1310988,0.0,0.0,0.0074946964,0.4,0.0004001133,0.0004001133,2.9665835e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
11357000,11357000,1310988,0.00028437437,-0.00013380397,-4.8941267e-05,0.34906584,4.1116434e-07,4.1116553e-07,8.170874e-07,1310988,0.0,0.0,0.008855049,0.4,0.0004008086,0.0004008086,2.7463868e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
11553000,11553000,1310988,0.001003293,-0.00086120394,2.8684293e-05,0.34906584,3.6891257e-07,3.6891296e-07,7.749579e-07,1310988,0.0,0.0,0.007378174,0.4,0.00040084883,0.00040084883,2.6566555e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
11653000,11653000,1310988,0.0010807366,-0.0006656467,8.855348e-05,0.34906584,3.4911363e-07,3.4911366e-07,7.5816746e-07,1310988,0.0,0.0,0.0055228453,0.4,0.00040080232,0.00040080232,2.6045092e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
11753000,11753000,1310988,0.0011194445,-0.00041577715,0.00016590608,0.34906584,3.3044782e-07,3.3044762e-07,7.3751744e-07,1310988,0.0,0.0,0.0035071156,0.4,0.00040077904,0.00040077904,2.5531834e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12057000,12057000,1310988,0.00053501583,-0.00080059766,0.00032802802,0.34906584,2.8075112e-07,2.8075047e-07,6.814157e-07,1310988,0.0,0.0,0.005275947,0.4,0.00040077482,0.00040077482,2.401589e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12161000,12161000,1310988,0.00058392226,-0.00087356893,0.00036801043,0.34906584,2.6454296e-07,2.6454228e-07,6.5448535e-07,1310988,0.0,0.0,0.0073303576,0.4,0.00039839637,0.00039839637,2.337223e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12361000,12361000,1310988,0.0003698734,-8.4822386e-05,0.0004254613,0.34906584,2.390753e-07,2.3907455e-07,6.210971e-07,1310988,0.0,0.0,0.005439976,0.4,0.0003984211,0.0003984211,2.238267e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12461000,12461000,1310988,0.0003064967,7.493717e-05,0.00044125254,0.34906584,2.2841456e-07,2.2841381e-07,6.0909144e-07,1310988,0.0,0.0,0.0041436255,0.4,0.00040001955,0.00040001955,2.1974263e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12561000,12561000,1310988,0.00024888004,0.0001743322,0.0004534573,0.34906584,2.175331e-07,2.1753236e-07,5.911618e-07,1310988,0.0,0.0,0.0028329731,0.4,0.00039997554,0.00039997554,2.1475005e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
