timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
288000,inf,0,1,1,1,0,0,1,1,0,1
1288000,inf,0,1,1,1,0,0,1,0,0,1
2288000,inf,0,1,1,1,0,0,1,0,0,1
3288000,inf,0,1,1,1,0,0,1,0,0,1
4288000,inf,0,1,1,1,0,0,1,0,0,1
5296000,inf,0,1,1,1,0,0,1,0,0,1
6308000,inf,0,1,1,1,0,0,1,0,0,1
7308000,inf,0,1,1,1,0,0,1,0,0,1
8316000,inf,0,1,1,1,0,0,1,0,0,1
9321000,inf,0,1,1,1,0,0,1,0,0,1
10336000,inf,0,1,1,1,0,0,1,0,0,1
11112000,inf,0,1,1,1,1,1,1,0,0,1
12112000,inf,0,1,1,1,1,1,1,0,0,1
13112000,inf,0,1,1,1,1,1,1,0,0,1
14112000,inf,0,1,1,1,1,1,1,0,0,1
15116000,inf,0,1,1,1,1,1,1,0,0,1
15996000,inf,0,1,1,1,0,0,1,0,0,1
16996000,inf,0,1,1,1,0,0,1,0,0,1
17996000,inf,0,1,1,1,0,0,1,0,0,1
18056000,inf,0,1,1,1,1,0,1,0,0,1
18784000,inf,0,1,0,0,1,0,1,0,0,1
18792000,inf,0,0,0,0,1,0,1,0,0,1
19792000,inf,0,0,0,0,1,0,0,0,0,1
20796000,inf,0,0,0,0,1,0,0,0,0,1
21804000,inf,0,0,0,0,1,0,0,0,0,1
22808000,inf,0,0,0,0,1,0,0,0,0,1
23784000,inf,0,0,0,0,0,0,0,0,0,1
24784000,inf,0,0,0,0,0,0,0,0,0,1
25784000,inf,0,0,0,0,0,0,0,0,0,1
26784000,inf,0,0,0,0,0,0,0,0,0,1
27784000,inf,0,0,0,0,0,0,0,0,0,1
28789000,inf,0,0,0,0,0,0,0,0,0,1
29793000,inf,0,0,0,0,0,0,0,0,0,1
30804000,inf,0,0,0,0,0,0,0,0,0,1
31804000,inf,0,0,0,0,0,0,0,0,0,1
32804000,inf,0,0,0,0,0,0,0,0,0,1
33808000,inf,0,0,0,0,0,0,0,0,0,1
34816000,inf,0,0,0,0,0,0,0,0,0,1
35816000,inf,0,0,0,0,0,0,0,0,0,1
36816000,inf,0,0,0,0,0,0,0,0,0,1
37820000,inf,0,0,0,0,0,0,0,0,0,1
38824000,inf,0,0,0,0,0,0,0,0,0,1
39832000,inf,0,0,0,0,0,0,0,0,0,1
40832000,inf,0,0,0,0,0,0,0,0,0,1
41836000,inf,0,0,0,0,0,0,0,0,0,1
42840000,inf,0,0,0,0,0,0,0,0,0,1
43844000,inf,0,0,0,0,0,0,0,0,0,1
44712000,inf,0,0,0,0,1,1,0,1,0,1
45712000,inf,0,0,0,0,1,1,0,1,0,1
46452000,inf,0,1,0,0,1,1,1,0,0,1
46816000,inf,0,1,1,0,1,1,1,0,0,1
47155000,inf,0,1,1,1,1,1,1,0,0,1
48160000,inf,0,1,1,1,1,1,1,0,0,1
49164000,inf,0,1,1,1,1,1,1,0,0,1
