timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
726000,726000,0,nan,nan,1.9144687e-19,-9.144862e-19,1.8469379e-07,0.0,0.0,0.0,2.6640912e-17,-1.0656365e-16,5.900072e-05,5.9160047e-05,4.1633363e-17,-2.220446e-16,0.0,-2.3129647e-15,1.8503718e-14,0.009577101,0.12114607,0.12114607,nan,0.10000029,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
994000,994000,0,nan,nan,-1.3596667e-16,5.887612e-16,-0.00687775,0.0,0.0,0.0,-1.1149622e-15,5.648242e-15,0.0033880956,-0.0033038375,4.1633363e-17,-2.220446e-16,0.0,-6.9388935e-15,4.163336e-14,0.00957772,0.12114607,0.12114607,nan,0.10001322,0.79017085,1.4300715,4.377368,0.45275718,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1501000,1501000,0,nan,nan,-4.9015726e-15,3.829738e-14,0.0074278414,0.0,0.0,0.0,-1.4735036e-14,1.1465002e-13,0.009191267,0.013812463,4.1633363e-17,-2.220446e-16,0.0,2.3129647e-14,-2.0354089e-13,0.009564683,0.12114607,0.12114607,nan,0.1,0.81446016,0.89010656,1.8960912,0.46902165,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1997000,1997000,0,nan,nan,2.3635558e-14,-1.9805635e-13,0.009801222,0.0,0.0,0.0,7.832888e-14,-6.543075e-13,0.013416731,0.013634476,4.1633363e-17,-2.220446e-16,0.0,1.07057226e-13,-8.881784e-13,0.0095250355,0.12114607,0.12114607,nan,0.1,0.5370665,0.75918096,1.2523707,0.4978048,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2500000,2500000,0,nan,nan,6.455735e-14,-5.37872e-13,0.015732357,0.0,0.0,0.0,1.5023014e-13,-1.2496281e-12,0.01778556,0.016490415,4.1633363e-17,-2.220446e-16,0.0,4.978656e-13,-4.093947e-12,0.0093383705,0.12114607,0.12114607,nan,0.1,0.64630026,0.72348195,1.5560204,0.5276064,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3002000,3002000,0,nan,nan,9.744073e-14,-8.0735977e-13,0.024068972,0.0,0.0,0.0,1.9515542e-13,-1.6151961e-12,0.021987364,0.02017501,4.1633363e-17,-2.220446e-16,0.0,2.1337097e-13,-1.7624789e-12,0.009473412,0.12114607,0.12114607,nan,0.1,0.52189076,0.750557,1.2632296,0.55014,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3502000,3502000,0,nan,nan,1.12133244e-13,-9.252852e-13,0.027366387,0.0,0.0,0.0,3.663669e-13,-3.018306e-12,0.022509068,0.015012993,4.1633363e-17,-2.220446e-16,0.0,1.9029914e-12,-1.5640265e-11,0.008672475,0.12114607,0.12114607,nan,0.1,0.6112721,0.77711457,1.2880539,0.5531552,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3993000,3993000,0,nan,nan,-1.0817528e-13,8.8427106e-13,0.024084179,0.0,0.0,0.0,2.7030496e-13,-2.2311575e-12,0.01944954,0.0040263208,4.1633363e-17,-2.220446e-16,0.0,4.2466026e-12,-3.4888755e-11,0.0075614075,0.12114607,0.12114607,nan,0.1,0.6781936,0.7873042,1.2889231,0.5384021,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4493000,4493000,0,nan,nan,-3.881796e-13,3.1824803e-12,0.020312844,0.0,0.0,0.0,3.0968506e-13,-2.559957e-12,0.016908806,-0.00039061083,4.1633363e-17,-2.220446e-16,0.0,6.719625e-12,-5.521139e-11,0.006389618,0.12114607,0.12114607,nan,0.1,0.52908725,0.80165225,1.034569,0.5224415,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4998000,4998000,0,nan,nan,-5.9348457e-13,4.8632196e-12,0.022531368,0.0,0.0,0.0,3.139735e-13,-2.6055937e-12,0.017009342,0.0030272389,4.1633363e-17,-2.220446e-16,0.0,5.8460177e-12,-4.8017142e-11,0.006803311,0.12114607,0.12114607,nan,0.1,0.6077638,0.8172941,1.0633239,0.50685376,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5501000,5501000,0,nan,nan,5.884093e-11,-1.1666491e-05,0.024322892,0.0,0.0,0.0,4.4039172e-10,-6.685453e-05,0.01637688,0.0031596813,4.1633363e-17,-2.220446e-16,0.0,2.0505817e-09,-0.00021845131,0.003846362,0.12116487,0.12114607,nan,0.1,0.4985764,0.8034598,0.84481525,0.4803872,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
6002000,6002000,5513000,40.1540302,116.25952090000001,1.0203314e-09,-8.4179104e-05,0.022487108,0.0,0.0,0.0,4.024476e-09,-0.0002700268,0.014181246,4.263129e-07,4.1633363e-17,-2.220446e-16,0.0,9.450225e-09,-0.00046535025,0.0037327406,0.121188454,0.12114607,49.951645,0.101912335,0.55829704,0.79464287,0.8418876,0.4575375,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6502000,6502000,5513000,40.1540302,116.25952090000001,3.9741725e-09,-0.00021061664,0.02741987,0.0,0.0,0.0,1.1420442e-08,-0.00051569863,0.015013649,0.0045978385,4.1633363e-17,-2.220446e-16,0.0,1.8866531e-08,-0.00065207947,0.0035464761,0.12121136,0.12114607,49.951645,0.1,0.4537613,0.793167,0.67109126,0.43943578,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6995000,6995000,5513000,40.1540302,116.25952090000001,-4.391463e-06,-0.00034415798,0.028539242,0.0,0.0,0.0,-2.9607509e-05,-0.0007353893,0.013966171,0.0026406662,4.1633363e-17,-2.220446e-16,0.0,-8.859471e-05,-0.00078342075,0.0031799078,-0.004157735,-0.1253876,49.951645,0.1,0.4763966,0.7875036,0.5640508,0.4213865,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7506000,7506000,5513000,40.1540302,116.25952090000001,-2.7470693e-05,-0.0005100862,0.02585189,0.0,0.0,0.0,-7.106276e-05,-0.0010172323,0.011505961,-0.0022844255,4.1633363e-17,-2.220446e-16,0.0,-7.738868e-05,-0.000979106,0.0050051347,-0.0041619632,-0.1253876,49.951645,0.1,0.49002653,0.77196044,0.5523783,0.3996901,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
