timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
744000,744000,0.0,0.0,0.0101709245,1.110223e-16,4.472211e-05,3.354382e-07,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
756000,756000,0.0,0.0,0.010845774,1.110223e-16,0.00010257926,1.3954941e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
941000,941000,0.0,0.0,0.012151148,1.110223e-16,0.00045973365,0.004546646,512,0,1.4558148,1.5658454,0.0,nan,nan,0.001451243,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1141000,1141000,0.0,0.0,0.012537192,1.110223e-16,0.00015517662,0.00093600387,512,0,1.2269611,1.2409065,0.0,nan,nan,0.00085678697,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1342000,1342000,0.0,0.0,0.012441548,1.110223e-16,0.00015549944,0.003211766,512,0,0.9590719,1.0188313,0.0,nan,nan,0.0032961527,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1537000,1537000,0.0,0.0,0.013048282,1.110223e-16,0.000529971,0.006373718,512,0,0.7969151,0.8906028,0.0,nan,nan,0.0034747617,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1737000,1737000,0.0,0.0,0.013798677,1.7902346e-15,0.0005969843,0.00507988,512,0,0.71473324,0.8095267,0.0,nan,nan,0.0011111378,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1945000,1945000,0.0,0.0,0.015126461,1.2491983e-14,0.00042725075,0.0023287171,512,0,0.6982531,0.7610532,0.0,nan,nan,0.0016635561,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2145000,2145000,0.0,0.0,0.016063496,3.5666087e-14,0.0003921925,0.00086131226,512,0,0.680605,0.7311348,0.0,nan,nan,0.0036879594,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2338000,2338000,0.0,0.0,0.017050894,4.2799243e-14,4.8754737e-05,0.0008405149,512,0,0.6630945,0.728029,0.0,nan,nan,0.0002301661,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2546000,2546000,0.0,0.0,0.016426947,1.7828794e-13,0.00021420652,0.000119516626,512,0,0.6791469,0.7217725,0.0,nan,nan,0.0014552909,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2745000,2745000,0.0,0.0,0.014872577,1.46189e-13,2.7979724e-05,0.00097522093,512,0,0.69850564,0.72656,0.0,nan,nan,0.0003614389,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2941000,2941000,0.0,0.0,0.016058154,4.2430648e-13,0.0007571168,0.00059930515,512,0,0.66798735,0.72888553,0.0,nan,nan,0.001495622,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
