gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
-0.012250556,0.026365297,-0.0029294326,-0.04070143,-0.04429256,-9.734824,39611000,2_8
-0.011717886,0.03062636,-0.0007989699,0.0059855045,-0.011970838,-9.757569,39616000,2_8
-0.0071904957,0.029028475,0.0023967954,0.031124622,0.0047885757,-9.818622,39620000,2_8
-0.0069242422,0.019174755,-0.001597867,0.04189853,-0.02753315,-9.755175,39631000,2_8
-0.013315809,0.019174764,-0.0018641409,0.055066638,-0.004788234,-9.698911,39636000,2_8
-0.015446329,0.023435827,-0.0013315867,0.039504327,0.019153785,-9.721657,39640000,2_8
-0.020240014,0.02370214,0.0015979257,-0.016759412,-0.04189836,-9.8677025,39651000,2_8
-0.02157162,0.025566341,0.0010652613,-0.01436521,-0.06105198,-9.7396145,39655000,2_8
-0.02077265,0.025832674,0.0018642046,0.0011971012,-0.0023940338,-9.70849,39659000,2_8
-0.021038968,0.003994737,0.0015979969,-0.09097968,-0.046686772,-9.627085,39667000,2_8
-0.020772645,-0.021837916,0.0026633418,-0.09217678,-0.067037486,-9.645043,39671000,2_8
-0.02183788,-0.07190534,0.0037287634,-0.089782566,-0.034715753,-9.842564,39676000,2_8
-0.02423453,-0.13662021,-0.00079843367,-0.05267244,-0.01795634,-9.879673,39683000,2_8
-0.025832517,-0.2237056,-0.003194694,-0.023942016,-0.022744747,-9.788693,39687000,2_8
-0.0266316,-0.45193845,0.0013329407,-0.0071826056,-0.06943168,-9.982624,39699000,2_8
-0.030625764,-0.5803029,-0.00053170143,0.029927526,-0.049080964,-9.917982,39703000,2_8
-0.040213615,-0.7305052,-0.0013319147,0.031124622,0.025139296,-9.885659,39707000,2_8
-0.04447433,-0.8599348,-0.0034614273,0.056263745,0.04070161,-10.005371,39711000,2_8
-0.04367665,-0.9656623,-0.0010634852,0.039504327,-0.01675924,-10.007763,39715000,2_8
-0.04181253,-1.0687268,0.0015999789,-0.019153617,-0.010773735,-9.909603,39719000,2_8
-0.044474408,-1.259409,-0.0018644262,-0.011971008,0.0323219,-9.842566,39727000,2_8
-0.051665384,-1.3464944,-0.0018659642,-0.021547817,-0.0023940308,-9.837774,39731000,2_8
-0.05048153,-1.5206536,-0.0006838007,0.026086824,-0.015013468,-9.929453,39755000,2_8
-0.049003158,-1.5891082,0.0026613434,-0.009576809,-0.02633605,-9.816229,39759000,2_8
-0.05033235,-1.5755264,-9.546908e-07,-0.02633622,-0.043095466,-9.815032,39763000,2_8
-0.044472557,-1.5502262,-0.0042584324,-0.021547817,-0.035912853,-9.8281975,39767000,2_8
-0.039413363,-1.5174693,-0.0069221156,0.023942016,0.0011972729,-9.844957,39772000,2_8
-0.037017807,-1.4711301,-0.0069234893,0.03351882,0.023942187,-9.813832,39779000,2_8
-0.03302518,-1.3946974,-0.0042593046,0.035913028,0.010774079,-9.78989,39783000,2_8
-0.029293256,-1.2066786,-0.007724392,0.04070143,0.029927697,-9.8281975,39791000,2_8
-0.03382226,-1.1238539,-0.0069268695,-0.0023942022,0.050278418,-9.937136,39795000,2_8
-0.033823427,-1.0311759,-0.00293054,-0.0023942017,0.02274509,-9.949105,39800000,2_8
-0.021838775,-0.80507374,0.0034633058,-0.035913028,0.059855223,-9.811439,39808000,2_8
-0.014647234,-0.6902915,0.0023979272,0.023942018,0.0359132,-9.807847,39816000,2_8
-0.014646952,-0.38402784,-0.0008008103,0.023942016,0.0395045,-9.749189,39831000,2_8
-0.010119031,-0.19680765,-0.004794279,-0.0047884043,0.08379724,-9.794682,39835000,2_8
-0.0010650199,-0.04367586,-0.0047936137,-0.029927526,0.070629135,-9.866505,39839000,2_8
0.004261186,0.06791062,-0.0013315415,0.023942016,0.013168283,-9.859323,39843000,2_8
0.0015979233,0.15446335,-0.0018640271,0.049081136,-0.027533151,-9.792285,39847000,2_8
0.0018643738,0.3009372,0.0013314076,0.0011971008,-0.05746067,-9.776724,39860000,2_8
0.008522674,0.4583301,0.0018633155,0.053869545,-0.06105198,-9.71208,39871000,2_8
0.012783595,0.50147325,0.004793171,0.025139123,-0.026336052,-9.663,39875000,2_8
0.01464691,0.5209143,0.0021303091,0.02633622,0.0059856726,-9.645041,39880000,2_8
0.019440202,0.5281049,-0.0018652001,0.06344634,0.0023943698,-9.629478,39887000,2_8
0.020239528,0.5222459,-0.0034624133,0.071826056,0.003591471,-9.629478,39891000,2_8
0.014913312,0.50360376,-0.005591829,0.031124625,-0.014365043,-9.670182,39895000,2_8
0.011983914,0.47990167,-0.007190153,0.017956514,-0.03591286,-9.583989,39899000,2_8
0.013316008,0.45699853,-0.0055929357,0.020350715,-0.013167944,-9.558852,39903000,2_8
0.013848383,0.42663842,-0.0055928477,0.005985504,0.03591319,-9.645043,39907000,2_8
0.011717801,0.3877563,-0.005858824,0.04548984,0.034716092,-9.661802,39911000,2_8
0.012250841,0.3472762,-0.0029296984,0.06464346,-0.031124458,-9.667787,39915000,2_8
0.012516839,0.28842035,-0.0021306174,0.007182605,-0.05865778,-9.616313,39923000,2_8
0.01091926,0.2423476,0.0013315462,0.0047884034,-0.039504156,-9.691729,39928000,2_8
0.004527011,0.15020229,-0.002396885,-0.037110124,0.0023943696,-9.618706,39940000,2_8
0.008788561,0.11105383,0.0002659776,-0.01436521,-0.0035911326,-9.738417,39944000,2_8
0.01038641,0.07856325,0.0023966923,0.007182605,0.004788575,-9.781511,39948000,2_8
0.01012001,0.054594807,0.0015978216,0.022744916,0.011971178,-9.7719345,39955000,2_8
0.008788538,0.0316916,0.004260966,0.023942016,-0.01316794,-9.759963,39959000,2_8
0.005326383,0.0069242073,0.0066578677,0.019153617,0.0059856744,-9.683351,39963000,2_8
0.004261087,-0.00932106,0.0037283986,0.029927522,0.055066805,-9.679758,39968000,2_8
0.009853725,-0.01890843,4.368715e-09,0.010773907,0.075417526,-9.716867,39975000,2_8
0.013582111,-0.02743057,0.0010652562,-0.039504327,0.055066817,-9.698913,39979000,2_8
0.004793713,-0.021837916,-0.0034621262,0.01436521,-0.021547649,-9.668983,39987000,2_8
0.005858944,-0.012783181,-0.00053261034,-0.0071826046,-0.035912853,-9.716867,39991000,2_8
0.0061252797,0.0007989508,-0.0018641852,-0.056263745,-0.062249076,-9.817424,39995000,2_8
0.009054758,0.012516856,-0.0015978735,-0.062249243,-0.049080964,-9.792285,39999000,2_8
0.013049506,0.026098972,0.00026634094,-0.040701427,-0.020350546,-9.64983,40003000,2_8
0.0151799815,0.04314324,-0.003994685,-0.017956514,-0.028730255,-9.647436,40007000,2_8
0.0066579767,0.075633794,-0.0045272005,0.0011971008,-0.067037486,-9.827002,40015000,2_8
0.0079895,0.09534118,-0.0050599948,0.002394202,-0.007182435,-9.787498,40019000,2_8
0.011451609,0.115048565,-0.0055926954,-0.0023942022,0.05267261,-9.737221,40023000,2_8
0.012517024,0.13235913,-0.0021305017,0.021547817,0.04189871,-9.725247,40027000,2_8
0.011185204,0.17177393,0.0013318172,0.02633622,-0.04070126,-9.692927,40035000,2_8
0.0050597126,0.2141182,-0.0034615973,0.06105215,-0.008379536,-9.809044,40039000,2_8
0.004527422,0.27190876,-0.003728286,0.035913028,0.005985678,-9.9862175,40043000,2_8
0.010386819,0.35473305,0.00053223246,-0.019153617,-0.005985329,-10.070014,40047000,2_8
0.015446756,0.46365634,0.0042608446,-0.017956514,-0.02513894,-10.102334,40052000,2_8
0.016244767,0.6087986,0.0029302677,-0.01316811,-0.049080953,-10.224439,40059000,2_8
0.0143795675,0.82451475,-0.0002635955,-0.010773908,-0.02753314,-10.420765,40063000,2_8
0.010385915,1.0881679,-0.0018618323,0.0047884043,0.0023943866,-10.579977,40067000,2_8
-0.0005315581,1.5393074,0.00026862812,0.009576809,-0.02154763,-10.793063,40075000,2_8
0.0015978778,1.753159,0.00026521555,-0.02873042,0.022745106,-10.900801,40080000,2_8
0.004206396,3.2337723,0.0018726882,0.01389239,-0.011178957,-10.493897,40111000,2_8
0.0087053245,3.3311777,-0.0064584846,0.0018278398,0.030875897,-10.42816,40115000,2_8
-0.00023006528,3.479391,-0.0054635415,-0.007063393,0.041505698,-10.605032,40123000,2_8
0.004737029,3.538735,-0.0020847875,-0.007201947,0.028609747,-10.592953,40127000,2_8
0.008822048,3.6200953,-0.0012984067,0.032495957,-0.03866229,-10.518234,40135000,2_8
0.012250484,3.63864,0.0018009549,0.06477456,0.01018517,-10.454593,40139000,2_8
0.013400071,3.6552563,-0.00074108114,0.0067902636,-0.008371642,-10.464043,40144000,2_8
0.020633185,3.6608849,-0.0035200843,-0.07277084,-0.0026081754,-10.613223,40148000,2_8
0.024835737,3.6311986,-0.0068797944,-0.09288569,0.015510073,-10.619736,40155000,2_8
0.022501148,3.5306761,-0.0060185394,-0.076915845,0.0023505706,-10.564677,40159000,2_8
0.027014019,3.3977623,0.00015200915,-0.008186197,0.056622934,-10.664478,40164000,2_8
0.029404046,3.2489667,0.006541972,0.015026334,0.032785334,-10.815085,40172000,2_8
0.023809688,2.7694297,7.760182e-05,-0.041959047,-0.055664983,-10.918339,40179000,2_8
0.023097433,2.5694976,0.00010494338,-0.011807449,-0.029033938,-11.002103,40184000,2_8
0.025336096,2.2172318,-0.0030737752,0.028917018,0.04130773,-11.182819,40192000,2_8
0.030707434,1.8098624,-0.0067889756,0.027809134,0.06858899,-11.229748,40199000,2_8
0.026935782,1.291812,-0.0051468206,0.028826902,0.071876414,-11.161926,40203000,2_8
0.02074145,1.028797,-0.0030037935,0.041525424,0.09159319,-11.144121,40207000,2_8
