timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
997000,997000,0.998166,-8.710641e-09,-5.2827615e-10,0.060535997,-1.2257881e-15,4.537349e-15,0.001420781,-7.6049424e-17,2.464879e-16,-0.006903585,2.2959018e-22,4.5161416e-23,8.228008e-31,0.0,0.0,-1.8936847e-08,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,6.662532e-06,0.0026287946,0.0026287942,0.0018114136,10.258456,10.258456,0.20478448,0.3114849,0.3114849,2.0445137,9.999997e-07,9.999997e-07,9.913629e-07,4.0000004e-06,4.0000004e-06,3.9999977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2000000,2000000,0.998166,-8.710635e-09,-5.2827587e-10,0.060535997,4.305503e-14,-3.6177523e-13,0.006065637,8.020834e-15,-6.793364e-14,0.0007490991,-3.9425883e-17,1.733632e-19,1.0508767e-27,0.0,0.0,3.9635376e-07,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,3.966653e-06,0.0051909615,0.0051909653,0.0010784647,0.7943299,0.79432964,0.24786246,0.15250245,0.15250245,0.5762793,9.655748e-07,9.655748e-07,5.856223e-07,4.0000004e-06,4.0000004e-06,3.9879196e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2998000,2998000,0.998166,-8.7107965e-09,-5.282857e-10,0.060535997,-1.7364414e-14,1.4539384e-13,0.0120242685,-1.4782936e-14,1.2155548e-13,0.011413692,9.73245e-16,5.1354433e-19,2.7112286e-26,0.0,0.0,-1.4774698e-06,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,3.3925776e-06,0.0038127827,0.0038127843,0.00092239317,0.8307917,0.8307914,0.3002696,0.1416201,0.1416201,0.55284137,5.5153487e-07,5.515351e-07,2.013761e-07,4.0000004e-06,4.0000004e-06,3.7965265e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3997000,3997000,0.998166,-8.7082155e-09,-5.2812915e-10,0.060535997,-1.2360196e-12,1.0146516e-11,0.0058742836,-3.2504617e-13,2.6684642e-12,0.0019354614,-1.252292e-14,4.3205654e-19,-1.671893e-25,0.0,0.0,1.9060677e-05,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,2.6099847e-06,0.0026775787,0.00267758,0.00070962147,0.8726166,0.8726164,0.292223,0.2462144,0.24621433,0.62337273,2.780855e-07,2.7808608e-07,7.733326e-08,4.0000004e-06,4.0000004e-06,3.1666673e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4994000,4977000,0.998166,-8.709101e-09,-5.2818305e-10,0.060535997,-5.1968716e-13,4.2814107e-12,0.010048717,-2.3573038e-13,1.9381233e-12,0.011149536,-7.397248e-15,5.957652e-19,-1.8385657e-25,0.0,0.0,1.652164e-05,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,2.0862822e-06,0.0014032573,0.001403264,0.0005672322,0.56779337,0.56779224,0.2564887,0.18037207,0.18037204,0.66145056,1.0766933e-07,1.0767008e-07,3.745435e-08,4.0000004e-06,4.0000004e-06,2.4225121e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5989000,5977000,0.9981646,-2.5998204e-05,1.5756898e-06,0.06055936,3.495932e-09,-0.00022218673,0.0084462995,6.126349e-10,-4.6685323e-05,0.010742502,-1.1027007e-08,1.3423753e-09,1.2377958e-14,0.0,0.0,2.5168478e-05,0.27927282,7.171552e-10,0.4714321,0.0,0.0,0.0,0.0,0.0,1.7129719e-06,0.0006643224,0.0006643257,0.00046568215,0.35732684,0.35732567,0.2072675,0.14604479,0.14604463,0.61638457,3.5807137e-08,3.5807656e-08,2.0252367e-08,4.0000004e-06,4.0000004e-06,1.7025976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6997000,6997000,0.9999979,-4.0795658e-05,4.7380327e-06,-0.0020821814,-8.5336005e-06,-0.00057829753,0.009237677,-3.808639e-07,-0.00017952608,0.016766079,-7.5860584e-08,9.234944e-09,1.883912e-11,0.0,0.0,2.836006e-05,0.27708757,-0.034868475,0.4714321,0.0,0.0,0.0,0.0,0.0,1.4427765e-06,0.00030281508,0.00030281846,0.0017647543,0.2038514,0.20385076,0.17549098,0.12685119,0.12685113,0.6073436,1.2270353e-08,1.2270776e-08,1.2592763e-08,4.0000004e-06,4.0000004e-06,1.1855221e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7993000,7993000,0.9999979,-5.551603e-05,3.1950317e-06,-0.002084287,-7.11236e-05,-0.0010351423,0.0068316436,-2.4636971e-05,-0.00040533746,0.014947918,-1.6706089e-07,2.345702e-08,1.0490039e-08,0.0,0.0,3.6070418e-05,0.27708757,-0.034868475,0.4714321,0.0,0.0,0.0,0.0,0.0,1.3831251e-06,0.00028187092,0.000281874,0.00039524861,0.14818679,0.14818561,0.14292502,0.09558979,0.095589615,0.5584165,5.85718e-09,5.8575123e-09,1.2467761e-08,4.0000004e-06,4.0000004e-06,8.0652717e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8998000,8998000,0.9999979,-4.50699e-05,-5.273415e-07,-0.0020771571,-3.281803e-05,-0.0010163854,0.0042753294,-2.4701309e-05,-0.00048815427,0.011816946,-2.302963e-07,3.2964913e-08,3.6387938e-08,0.0,0.0,4.2320917e-05,0.27708757,-0.034868475,0.4714321,0.0,0.0,0.0,0.0,0.0,1.3783329e-06,0.00012774425,0.00012774643,0.00025271456,0.15180369,0.15180273,0.11930309,0.09628802,0.09628776,0.5375054,4.839876e-09,4.840177e-09,1.1845052e-08,4.0000004e-06,4.0000004e-06,5.5409595e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10002000,10002000,0.9999979,-4.005205e-05,-2.7028925e-06,-0.0020647151,2.8458782e-05,-0.00086683565,0.0027431473,-1.334129e-07,-0.00042234286,0.009588802,-2.3531688e-07,2.9653796e-08,6.537471e-08,0.0,0.0,4.5674664e-05,0.27708757,-0.034868475,0.4714321,0.0,0.0,0.0,0.0,0.0,1.3789647e-06,4.9928116e-05,4.993108e-05,0.00022143943,0.08474263,0.08474172,0.098675534,0.083172336,0.08317216,0.5107878,4.8224815e-09,4.8227804e-09,1.06119575e-08,4.0000004e-06,4.0000004e-06,3.8216274e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10993000,10993000,0.99999803,0.00027787755,-0.00039102865,-0.0019502856,0.0143010495,-0.0010544237,0.080842726,0.006717469,-0.0013371784,0.05424296,-1.837083e-06,1.8790129e-06,-3.1903738e-07,0.0,0.0,8.119208e-05,0.27708757,-0.034868475,0.4714321,0.0,0.0,0.0,0.0,0.0,1.3807502e-06,6.613327e-05,6.613736e-05,0.00021540993,0.014520332,0.014519971,0.01666209,0.022582099,0.022582078,0.29983363,4.439729e-09,4.43995e-09,8.895234e-09,4.0000004e-06,4.0000004e-06,2.969531e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
