timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
48000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
556000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1067000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1508000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2011000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2519000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3027000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3528000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4028000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4230000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4735000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5236000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5743000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6248000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6757000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7259000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7768000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8268000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8768000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9275000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9778000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10279000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10782000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11051000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11560000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12064000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12564000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13068000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13572000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14080000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14592000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15095000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15599000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16108000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16616000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17116000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17625000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17672000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18172000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18302000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18511000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
18680000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
18852000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19360000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19372000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19877000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19963000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20004000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20508000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21008000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21207000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
21256000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21767000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22268000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22770000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23279000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23783000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24283000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24784000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25288000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25799000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26299000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26517000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
26668000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26704000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27208000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27716000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28219000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28728000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29240000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29744000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29911000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
29922000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30112000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
30619000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
31123000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
31627000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
32134000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
32639000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
33142000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
33648000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
34159000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
34664000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35168000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35312000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
35408000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
35423000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
35932000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
36448000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
36952000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
37463000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
37967000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
38472000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
38983000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
39488000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
39991000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
40147000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
40595000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
41100000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
