timestamp,main_state_changes,main_state
49000,0,0
552000,0,0
1056000,0,0
1520000,0,0
2028000,0,0
2528000,0,0
3028000,0,0
3532000,0,0
4040000,0,0
4261000,0,0
4769000,0,0
5280000,0,0
5785000,0,0
6288000,0,0
6796000,0,0
7300000,0,0
7809000,0,0
8312000,0,0
8812000,0,0
9316000,0,0
9818000,0,0
10320000,0,0
10824000,0,0
11044000,1,4
11556000,1,4
12068000,1,4
12577000,1,4
13077000,1,4
13588000,1,4
14097000,1,4
14608000,1,4
15114000,1,4
15620000,1,4
15844000,1,4
16348000,1,4
16577000,1,4
16832000,1,4
16988000,2,7
17097000,2,7
17605000,2,7
17641000,2,7
17705000,2,7
17728000,2,7
18230000,2,7
18740000,2,7
18961000,2,7
19037000,2,7
19548000,2,7
20052000,2,7
20560000,2,7
21062000,2,7
21572000,2,7
22076000,2,7
22583000,2,7
23092000,2,7
23592000,2,7
24101000,2,7
24349000,2,7
24421000,2,7
24436000,2,7
24940000,2,7
25452000,2,7
25957000,2,7
26468000,2,7
26977000,2,7
27477000,2,7
27676000,2,7
27689000,2,7
27864000,2,7
28364000,2,7
28868000,2,7
29371000,2,7
29877000,2,7
30380000,2,7
30892000,2,7
31396000,2,7
31898000,2,7
32412000,2,7
32917000,2,7
33428000,2,7
33937000,2,7
34437000,2,7
34940000,2,7
35447000,2,7
35952000,2,7
36458000,2,7
36969000,2,7
37477000,2,7
37916000,2,7
38004000,3,11
38017000,3,11
38525000,3,11
39028000,3,11
39536000,3,11
40044000,3,11
40553000,3,11
41056000,3,11
41564000,3,11
42065000,3,11
42576000,3,11
43000000,3,11
43232000,3,11
43732000,3,11
