timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
748000,748000,0,nan,nan,9.2623685e-20,-7.409895e-19,7.6564675e-08,0.0,0.0,0.0,1.33187775e-17,-1.0655022e-16,2.6460733e-05,2.662824e-05,2.7755576e-17,-2.220446e-16,0.0,-2.7755576e-15,2.220446e-14,0.0049717724,0.12114607,0.12114607,nan,0.100000344,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
995000,995000,0,nan,nan,-1.195613e-16,7.411051e-16,-0.014567983,0.0,0.0,0.0,-1.1007678e-15,6.9876123e-15,0.00158549,-0.011902964,2.7755576e-17,-2.220446e-16,0.0,-6.938894e-15,3.7007435e-14,0.004972021,0.12114607,0.12114607,nan,0.1,0.7215072,1.566091,4.5282984,0.4521607,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1504000,1504000,0,nan,nan,-2.3814134e-15,1.8133502e-14,-0.011762961,0.0,0.0,0.0,-4.8174605e-15,3.5470396e-14,0.004596891,-0.0022747957,2.7755576e-17,-2.220446e-16,0.0,8.326673e-15,-6.661338e-14,0.004966557,0.12114607,0.12114607,nan,0.10006911,0.8048628,0.9185974,1.8829442,0.46879965,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2000000,2000000,0,nan,nan,1.5251802e-14,-1.2753088e-13,-0.012084809,0.0,0.0,0.0,4.790037e-14,-3.982746e-13,0.0067388653,0.0003467688,2.7755576e-17,-2.220446e-16,0.0,8.0182775e-14,-6.661338e-13,0.004931457,0.12114607,0.12114607,nan,0.1,0.51483583,0.75138897,1.218211,0.4946665,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2504000,2504000,0,nan,nan,3.5851262e-14,-2.9524153e-13,-0.009044022,0.0,0.0,0.0,9.714723e-14,-7.976464e-13,0.008964884,0.004457118,2.7755576e-17,-2.220446e-16,0.0,4.177214e-13,-3.4305891e-12,0.004772842,0.12114607,0.12114607,nan,0.1,0.60708636,0.7165216,1.5412308,0.5231437,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3005000,3005000,0,nan,nan,3.27534e-14,-2.6542839e-13,-0.0037916957,0.0,0.0,0.0,4.7575144e-14,-3.8358222e-13,0.01152,0.009135941,2.7755576e-17,-2.220446e-16,0.0,3.0839528e-14,-2.5905206e-13,0.004954636,0.12114607,0.12114607,nan,0.1,0.7476401,0.7231196,1.6553158,0.5424226,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3504000,3504000,0,nan,nan,6.940384e-14,-5.6664526e-13,-0.0039674686,0.0,0.0,0.0,2.5262518e-13,-2.0729334e-12,0.010818293,0.00466246,2.7755576e-17,-2.220446e-16,0.0,9.731798e-13,-7.993605e-12,0.0045066695,0.12114607,0.12114607,nan,0.1,0.595679,0.76341105,1.2956574,0.553126,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4003000,4003000,0,nan,nan,-3.0488538e-14,2.4939e-13,-0.0083077345,0.0,0.0,0.0,2.0797359e-13,-1.7135668e-12,0.008135578,-0.0026166467,2.7755576e-17,-2.220446e-16,0.0,3.949222e-12,-3.2450233e-11,0.003097313,0.12114607,0.12114607,nan,0.1,0.6625019,0.77644974,1.2954524,0.5405826,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4504000,4495000,0,nan,nan,-1.9153699e-13,1.571111e-12,-0.0112770805,0.0,0.0,0.0,2.5697706e-13,-2.113848e-12,0.0067093205,-0.0034863441,2.7755576e-17,-2.220446e-16,0.0,2.8925276e-12,-2.3758773e-11,0.0035986304,0.12114607,0.12114607,nan,0.10049873,0.5224475,0.80180484,1.0125316,0.528442,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5000000,4994000,0,nan,nan,-1.107078e-13,-1.0235019e-11,-0.0058345967,0.0,0.0,0.0,4.242281e-13,-2.2324567e-09,0.009012275,0.004380018,2.7755576e-17,-2.220446e-16,0.0,4.008368e-12,-3.295512e-11,0.0030683975,0.12114607,0.12114607,nan,0.1,0.5872207,0.79879266,1.0341655,0.5034897,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
