timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
916000,1310988,1310988,0,0,0,0,0,172.26276,172.26276,172.26276,172.26276,0.015251685,2.2663235e-05,5.402244e-10,0.002112531,0.0030985496,-9.778765,-0.00046996947,-0.0006579575,-0.0021931916,25.0,25.0
1941000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.015525385,2.7147265e-05,6.2966876e-10,-0.0054925797,-0.0018306877,-9.821718,-0.001033933,0.0021305291,3.718475e-11,25.0,25.0
2965000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.014209758,2.6492591e-05,5.812716e-10,0.005915086,0.00676027,-9.792848,-0.00040730694,0.00012532523,-9.399392e-05,25.0,25.0
3980000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016744213,2.60047e-05,5.244024e-10,0.018488556,-0.0062513556,-9.794014,7.761022e-11,-0.0011540365,-2.9590648e-05,25.0,25.0
4997000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016691532,2.5847869e-05,5.081791e-10,-0.0038573253,0.015562483,-9.779917,0.00073976704,0.00088772026,0.002633571,25.0,25.0
5961000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016850205,2.7576209e-05,6.216279e-10,-0.025068698,-0.004224891,-9.828621,-0.00050130096,-0.0026318298,-0.00025065048,25.0,25.0
6976000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.018249419,2.723611e-05,6.410045e-10,0.003192269,0.0025539855,-9.782868,0.00031957933,-0.00095873803,0.0006036497,25.0,25.0
8000000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016281828,3.067969e-05,7.497376e-10,0.013726758,0.037349723,-9.78239,0.0012072999,0.0025566346,-0.00031957933,25.0,25.0
8917000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.020513646,3.0653406e-05,7.6422857e-10,-0.004489128,-0.013916126,-9.8314905,0.00096539594,0.0007989483,0.00013315807,25.0,25.0
9941000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.021599453,3.0929907e-05,7.003654e-10,0.019020602,-0.008778569,-9.829528,0.0002663161,0.0020417566,0.0027815239,25.0,25.0
10965000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016897786,2.99433e-05,7.145378e-10,0.009435972,-0.030561112,-9.824255,-6.266267e-05,-0.00025065045,0.00034464436,25.0,25.0
11992000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.016965821,2.9611027e-05,6.0077365e-10,-0.0017101439,0.003990508,-9.803116,0.0015471699,-0.00012681718,-2.5363419e-05,25.0,25.0
12917000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.014630304,2.6236126e-05,5.300455e-10,0.0035282976,0.009198945,-9.800224,-0.000588699,-0.0010652645,-0.0014016639,25.0,25.0
13941000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.017493699,2.7793736e-05,5.771576e-10,0.003441665,-0.028430974,-9.779865,0.0017643443,0.00026631606,0.0008655272,25.0,25.0
14957000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.015219514,2.6365242e-05,5.74338e-10,-0.011548501,-0.008590788,-9.802566,-1.3695921e-10,-0.00078328274,0.00059529487,25.0,25.0
16008000,1310988,1310988,0,0,0,0,0,174.02164,174.02164,174.02164,174.02164,0.021459576,2.8347926e-05,6.8756767e-10,-0.026507232,-0.0027360602,-9.793311,0.0018261676,0.00038045167,0.0024729357,25.0,25.0
