timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11079000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
22772000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
49539000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
53684000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53732000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53776000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53832000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53879000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53932000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
53980000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54031000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54076000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54136000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54180000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54228000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54276000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54336000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54376000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54428000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
54480000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
